bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title
s2498-113,113,2014-06-19,Finance and Financial Sector,"Administrative law and regulatory procedures|Business investment and capital|Financial services and investments|Higher education|Marketing and advertising|Securities|Securities and Exchange Commission (SEC)|Social work, volunteer service, charitable organizations",A bill to clarify the definition of general solicitation under Federal securities law.,HALOS Act
hr3945-109,109,2005-09-29,Finance and Financial Sector,Administrative remedies|Alabama|Bank capital|Bank deposits|Checks|Credit unions|Department of the Treasury|Disaster insurance|Disaster relief|Electronic funds transfers|Federal Deposit Insurance Corporation|Federal Reserve System|Fees|Financial services|Floods|Government corporations|Hurricane aftermath legislation|Hurricanes|Louisiana|Mississippi|National Credit Union Administration|Rebates|User charges,"Agreed to amend the title so as to read: ""A Bill to facilitate recovery from the effects of Hurricane Katrina by providing greater flexibility for, and temporary waivers of certain requirements and fees imposed on, depository institutions, credit unions, and Federal regulatory agencies, and for other purposes"".",Hurricane Katrina Financial Services Relief Act of 2005
hr2341-107,107,2001-06-27,Law,Appellate procedure|Class actions (Civil procedure)|Congressional reporting requirements|Corporate governance|Court records|Damages|Discovery (Law)|Discrimination|District courts|Government paperwork|Injunctions|Judicial review|Jurisdiction|Legal advertising and soliciting|Legal fees|Limitation of actions|Newspapers|Periodicals|Radio broadcasting|Securities|State courts|Stockholders|Television broadcasting,"To amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, to outlaw certain practices that provide inadequate settlements for class members, to assure that attorneys do not receive a disproportionate amount of settlements at the expense of class members, to provide for clearer and simpler information in class action settlement notices, to assure prompt consideration of interstate class actions, to amend title 28, United States Code, to allow the application of the principles of Federal diversity jurisdiction to interstate class actions, and for other purposes.",Class Action Fairness Act of 2002
s365-111,111,2009-02-03,Crime and Law Enforcement,"Criminal investigation, prosecution, interrogation|Department of Justice|Executive agency funding and structure|Fraud offenses and financial crimes|Housing finance and home ownership|Intergovernmental relations|Licensing and registrations","A bill to establish in the Department of Justice the Nationwide Mortgage Fraud Task Force to address mortgage fraud in the United States, and for other purposes.",Nationwide Mortgage Fraud Task Force Act of 2009
s172-113,113,2013-01-29,Finance and Financial Sector,"Administrative law and regulatory procedures|Administrative remedies|Bank accounts, deposits, capital|Banking and financial institutions regulation|Civil actions and liability|Congressional oversight|Consumer Financial Protection Bureau|Consumer credit|Government studies and investigations|Internet and video services|Jurisdiction and venue","A bill to amend the Truth in Lending Act to address certain issues related to the extension of consumer credit, and for other purposes.",SAFE Lending Act of 2013
hr1584-114,114,2015-03-24,Crime and Law Enforcement,"Bank accounts, deposits, capital|Consumer credit|Fraud offenses and financial crimes|Jurisdiction and venue","To amend title 18, United States Code, to provide greater extraterritorial criminal jurisdiction over certain credit card and other access device fraud offenses.",CARDER Act of 2015
hr1564-113,113,2013-04-15,Finance and Financial Sector,Accounting and auditing|Administrative law and regulatory procedures|Congressional oversight|Corporate finance and management|Financial services and investments|Government corporations and government-sponsored enterprises|Government studies and investigations|Securities,To amend the Sarbanes-Oxley Act of 2002 to prohibit the Public Company Accounting Oversight Board from requiring public companies to use specific auditors or require the use of different auditors on a rotating basis.,Audit Integrity and Job Protection Act
hr3036-108,108,2003-09-09,Crime and Law Enforcement,"Accounting|Administrative remedies|Americans in foreign countries|Anniversaries|Antitrust law|Appellate courts|Appellate procedure|Arrest|Auditing|Authorization|Automation|Automobile theft|Awards, medals, prizes|Bankruptcy|Block grants|Books|Boundaries|Building construction|Building laws|Child abuse|Child safety|Child sexual abuse|Citizen participation|Collection of accounts|Commemorations|Community development|Community organization|Community policing|Compensation for victims of crime|Computers|Conferences|Confidential communications|Congressional reporting requirements|Corrections|Counterintelligence|Courts of special jurisdiction|Crime prevention|Crimes against women|Criminal investigation|Criminal justice information|Criminal statistics|DNA|Data banks|Department of Justice|Deportation|Detention of persons|Drug Enforcement Administration (DEA)|Drug abuse|Drug abuse prevention|Drug abuse treatment|Drug courts|Drug law enforcement|Drug traffic|Electronic government information|Elementary and secondary education|Emergency medicine|Employee training|Equality before the law|Espionage|Ex-offenders|Executive reorganization|Extradition|Family services|Family violence|Federal Bureau of Investigation (FBI)|Federal aid to Indians","To authorize appropriations for the Department of Justice for fiscal years 2004 through 2006, and for other purposes.","Department of Justice Appropriations Authorization Act, Fiscal Years 2004 through 2006"
hr3179-108,108,2003-09-25,Crime and Law Enforcement,Administrative remedies|Bank records|Business records|Civil actions and liability|Civil procedure|Classified defense information|Confidential communications|Consumer credit|Criminal investigation|Criminal procedure|Department of Homeland Security|Discovery (Law)|EBB Terrorism|Electronic surveillance|Evidence (Law)|Financial statements|Fines (Penalties)|Foreign agents|Obstruction of justice|Official secrets|Searches and seizures|State-sponsored terrorism|Subpoena|Telecommunication industry|Terrorism,"To strengthen anti-terrorism investigative tools and promote information sharing, and for other purposes.",Anti-Terrorism Intelligence Tools Improvement Act of 2003
s3467-114,114,2016-09-29,Finance and Financial Sector,Banking and financial institutions regulation|Caribbean area|Financial services and investments|Puerto Rico|Securities|U.S. territories and protectorates|Virgin Islands,"A bill to amend the Investment Company Act of 1940 to terminate an exemption for companies located in Puerto Rico, the Virgin Islands, and any other possession of the United States.",U.S. Territories Investor Protection Act of 2016
hr4452-113,113,2014-04-10,Crime and Law Enforcement,Business ethics|Corporate finance and management|Criminal justice information and records|Government information and archives,"To establish a corporate crime database, and for other purposes.",Corporate Crime Database Act
s1659-111,111,2009-09-10,Finance and Financial Sector,Aging|Civil actions and liability|Criminal procedure and sentencing|Financial services and investments|Fraud offenses and financial crimes|Securities|U.S. Sentencing Commission,A bill to enhance penalties for violations of securities protections that involve targeting seniors.,Senior Investor Protections Enhancement Act of 2009
hr1472-111,111,2009-03-12,Finance and Financial Sector,"Administrative remedies|Bank accounts, deposits, capital|Business records|Department of Labor|Employment discrimination and employee rights|Financial crises and stabilization|Government information and archives|Public contracts and procurement|Telephone and wireless communication","To establish reporting requirements each time funds from Troubled Assets Relief Program or the American Recovery and Reinvestment Act of 2009 are received or redistributed, and to establish a waste, fraud, and abuse hotline for such funds, and for other purposes.",TARP and ARRA Reporting and Waste Prevention Act
hr742-113,113,2013-02-15,Finance and Financial Sector,Banking and financial institutions regulation|Business records|Commodities markets|Commodity Futures Trading Commission|Contracts and agency|Executive agency funding and structure|Government information and archives|Securities|Securities and Exchange Commission (SEC)|Trade secrets and economic espionage,To amend the Securities Exchange Act of 1934 and the Commodity Exchange Act to repeal the indemnification requirements for regulatory authorities to obtain access to swap data required to be provided by swaps entities under such Acts.,Swap Data Repository and Clearinghouse Indemnification Correction Act of 2013
hr5541-114,114,2016-06-21,Finance and Financial Sector,"Bank accounts, deposits, capital|Banking and financial institutions regulation|Community life and organization|Government information and archives|Rural conditions and development","To amend the Federal Credit Union Act to establish procedures for Federal credit unions to provide credit union services to underserved areas, and for other purposes.",Financial Services for the Underserved Act of 2016
hr3890-114,114,2015-11-03,Finance and Financial Sector,Banking and financial institutions regulation|Financial crises and stabilization|Housing finance and home ownership,"To exempt safe and sound depository institutions, credit unions, and depository institution holding companies from certain titles of the Dodd-Frank Wall Street Reform and Consumer Protection Act, and for other purposes.",FILES Act of 2015
s2012-113,113,2014-02-11,Crime and Law Enforcement,Administrative law and regulatory procedures|Congressional oversight|Criminal procedure and sentencing|Drug trafficking and controlled substances|Fraud offenses and financial crimes|Government information and archives|Trade restrictions|U.S. Sentencing Commission,A bill to amend the Controlled Substances Act to more effectively regulate anabolic steroids.,Designer Anabolic Steroid Control Act of 2014
s378-110,110,2007-01-24,Law,Assault|Authorization|Bankruptcy courts|Computer security measures|Conflict of interests|Congressional reporting requirements|Criminal procedure|Department of Justice|District courts|Federal aid to law enforcement|Financial disclosure|Fines (Penalties)|Firearms|Fraud|Government attorneys|Government employees' life insurance|Government ethics|Government procurement|Guam|Homicide|Informers|Judges|Judicial ethics|Judicial officers|Juries|Law enforcement officers|Liens|Magistrates|Northern Mariana Islands|Obstruction of justice|Office of Government Ethics|Parking facilities|Prosecution|Public prosecutors|Recruiting of employees|Right of privacy|Security measures|State courts|Sunset legislation|Tax courts|Victims of crimes|Violence|Virgin Islands|Weapons|Witnesses,"A bill to amend title 18, United States Code, to protect judges, prosecutors, witnesses, victims, and their family members, and for other purposes.",Court Security Improvement Act of 2007
hr3647-106,106,2000-02-14,Finance and Financial Sector,Bank deposits|Checking accounts|Corporate finance|Dividends|Interest|NOW accounts|Savings accounts,To facilitate transfers between interest-bearing accounts and transactions accounts at depository institutions for small businesses.,Small Business Banking Improvement Act
s1656-108,108,2003-09-25,Finance and Financial Sector,Administrative procedure|Advice and consent of the Senate|Bank capital|Bank examination|Bank management|Bank records|Consumer credit|Corporate debt|Corporate finance|Corporate management|Department of Housing and Urban Development|Department of the Treasury|Economists|Employee rights|Executive compensation|Executive reorganization|Executives|Federal advisory bodies|Federal employees|Federally-assisted loans|Fines (Penalties)|Government officials|Government paperwork|Governmental investigations|Housing finance|Injunctions|Judicial review|Mortgage banks|Mortgages|Presidential appointments|Price indexes|Recruiting of employees|Removal of officials|Secondary mortgage market|Securities|Securities regulation|Transfer of employees|User charges,"A bill to address regulation of secondary mortgage market enterprises, and for other purposes.",Federal Housing Enterprise Oversight Modernization Act of 2003
hr4505-107,107,2002-04-18,Finance and Financial Sector,Corporate reorganizations|Federal preemption|Holding companies|Incorporation|Insurance|Insurance companies|State laws|Subsidiary corporations,To repeal subtitle B of title III of the Gramm-Leach-Bliley Act.,Protection of Policyholders Act
hr544-104,104,1995-01-17,Finance and Financial Sector,Administrative procedure|Air pollution control|Asbestos|Asbestos abatement|Bank loans|Building construction|Building laws|Business records|Employee training|Environmental Protection Agency|Financial institutions|Foreclosure|Government paperwork|Government publications|Indoor air pollution|Labeling|Liability (Law)|Liability for toxic substances pollution damages|Licenses|Liens|Maintenance and repair|Mortgage loans|Occupational health and safety|Subsidiary corporations,"To protect financial institutions from liability for damages caused by failure to remove asbestos from a residential or commercial building in which the financial institution holds a security interest if an accredited asbestos management planner has recommended in-place management of the asbestos, and for other purposes.",Asbestos Management Incentive Act
s2059-108,108,2004-02-10,Finance and Financial Sector,Accounting|Administrative procedure|Advertising|Auditing|Auditing and auditors|Brokers|Business ethics|Chief executive officers|Commercial arbitration|Conflict of interests|Congressional investigations|Congressional reporting requirements|Consultants|Consumer education|Contracts|Corporate finance|Corporate management|Corporation directors|Corporation reports|Cost accounting|Crime prevention|Deceptive advertising|Derivative securities|Disciplining of employees|Discrimination in employment|Dismissal of employees|Electronic government information|Executive compensation|Executive reorganization|Federal-state relations|Fees|Financial services|Financial statements|Government paperwork|Government publicity|Governmental investigations|Grievance procedures|Independent regulatory commissions|Information disclosure (Securities law)|Information services|Insider trading in securities|Internet|Investment advisers|Investment banking|Investments|Investors|Lawyers|Legislation|Marketing|Mutual funds|Restrictive trade practices|Sales promotion|Securities and Exchange Commission|Securities fraud|Securities industry|Securities regulation|Stock exchanges|Stockholders|Telephone|Trusts and trustees|Valuation|Web sites|Whistle blowing,"A bill to improve the governance and regulation of mutual funds under the securities laws, and for other purposes.",Mutual Fund Reform Act of 2004
hr1062-113,113,2013-03-12,Finance and Financial Sector,Administrative law and regulatory procedures|Corporate finance and management|Financial services and investments|Government studies and investigations|Securities|Securities and Exchange Commission (SEC)|Small business,To improve the consideration by the Securities and Exchange Commission of the costs and benefits of its regulations and orders.,SEC Regulatory Accountability Act
s195-111,111,2009-01-09,Finance and Financial Sector,"Advisory bodies|Aviation and airports|Banking and financial institutions regulation|Business records|Congressional oversight|Corporate finance and management|Credit and credit markets|Criminal investigation, prosecution, interrogation|Financial crises and stabilization|Fraud offenses and financial crimes|Government lending and loan guarantees|Government studies and investigations|Public participation and lobbying|Wages and earnings","A bill to extend oversight, accountability, and transparency provisions of the Emergency Economic Assistance Act of 2008 to all Federal emergency economic assistance to private entities, to impose tough conditions for all recipients of such emergency economic assistance, to set up a Federal task force to investigate and prosecute criminal activities that contributed to our economic crisis, and to establish a bipartisan financial market investigation and reform commission, and for other purposes.",Taxpayer Protection Act
hr4771-113,113,2014-05-29,Crime and Law Enforcement,Criminal procedure and sentencing|Drug trafficking and controlled substances|Fraud offenses and financial crimes|Government information and archives|Trade restrictions,To amend the Controlled Substances Act to more effectively regulate anabolic steroids.,Designer Anabolic Steroid Control Act of 2014
s1199-112,112,2011-06-15,Crime and Law Enforcement,Administrative law and regulatory procedures|Civil actions and liability|Computer security and identity theft|Congressional oversight|Consumer affairs|Department of Justice|Fraud offenses and financial crimes|Government information and archives|Government studies and investigations|Internet and video services|Retail and wholesale trades|Right of privacy|Social security and elderly assistance,"A bill to amend title 18, United States Code, to limit the misuse of Social Security numbers, to establish criminal penalties for such misuse, and for other purposes.",Protecting the Privacy of Social Security Numbers Act
hr4278-115,115,2017-11-07,Finance and Financial Sector,Currency|Federal Reserve System|Monetary policy|Securities,"To ensure that the operations of the Board of Governors of the Federal Reserve System remain independent from the credit policy of the United States, and for other purposes.",Independence from Credit Policy Act of 2017
hr1414-116,116,2019-02-27,Finance and Financial Sector,"Crime prevention|Criminal investigation, prosecution, interrogation|Currency|Digital media|Federal-Indian relations|Fraud offenses and financial crimes|Law enforcement administration and funding|Terrorism","To amend the duties of the Financial Crimes Enforcement Network (FinCEN) to ensure FinCEN works with Tribal law enforcement agencies, protects against all forms of terrorism, and focuses on virtual currencies.",FinCEN Improvement Act of 2019
s398-107,107,2001-02-27,Finance and Financial Sector,Accounting|Administrative procedure|Bank accounts|Bank directors|Bank employees|Bank examination|Bank records|Congressional reporting requirements|Correspondent banks|Criminal justice information|Department of the Treasury|EBB Terrorism|Elite (Social sciences)|Employee selection|Federal advisory bodies|Financial institutions|Fines (Penalties)|Foreign banks and banking|Foreign leaders|Government paperwork|Income tax|Informers|International competitiveness|International cooperation|Legislation|Liability (Law)|Misconduct in office|Money laundering|Personnel records|Public corruption|Tax havens|Taxation of foreign income,"A bill to combat international money laundering and to protect the United States financial system, and for other purposes.",International Counter-Money Laundering and Foreign Anticorruption Act of 2001
s2528-110,110,2007-12-19,Finance and Financial Sector,Bonds|Community development|Community development banking|Depressed areas|Economic development|Employment of the disadvantaged|Federally-guaranteed loans|Financial services|Home ownership|Income tax|Infrastructure|Interest rates|Job creation|Low-income housing|Mortgages|Rural economic development|Tax exemption,A bill to authorize guarantees for bonds and notes issued for community or economic development purposes.,Full Faith and Credit in Our Communities Act of 2007
s2402-109,109,2006-03-13,Crime and Law Enforcement,Bank records|Cartels|Checks|Conspiracy|Consumer credit|Counterfeiting|Criminal investigation|Electronic funds transfers|Extraterritoriality|Foreign banks and banking|Forgery|Government securities|Grand jury|Indictments|Money laundering|Obstruction of justice|Right of privacy|Securities|Smuggling|Subpoena,"A bill to improve the prohibitions on money laundering, and for other purposes.",Combating Money Laundering and Terrorist Financing Act of 2006
s630-103,103,1993-03-23,Finance and Financial Sector,Accounting|Auditing|Financial statements|Fines (Penalties)|Information disclosure (Securities law)|Securities|Securities fraud|Securities regulation,"A bill to facilitate the detection and disclosure of auditors of financial fraud in connection with securities issues, and for other purposes.",Financial Fraud Detection and Disclosure Act
hr79-115,115,2017-01-03,Finance and Financial Sector,"Administrative law and regulatory procedures|Business investment and capital|Financial services and investments|Higher education|Marketing and advertising|Securities|Securities and Exchange Commission (SEC)|Social work, volunteer service, charitable organizations",To clarify the definition of general solicitation under Federal securities law.,HALOS Act
hr3472-105,105,1998-03-17,Finance and Financial Sector,Administrative procedure|Automated clearing houses|Checks|Congressional reporting requirements|Consumer credit|Consumer protection|Credit cards|Cryptography|Electronic data interchange|Electronic funds transfers|Federal preemption|Fees|Financial deregulation|Identification devices|International banking|International cooperation|Licenses|State laws,"To amend the Bank Protection Act of 1968 for purposes of facilitating the use of electronic authentication techniques by financial institutions, and for other purposes.",Digital Signature and Electronic Authentication Law (SEAL) of 1998
hr1965-114,114,2015-04-22,Finance and Financial Sector,Administrative law and regulatory procedures|Business investment and capital|Business records|Competition and antitrust|Congressional oversight|Corporate finance and management|Financial services and investments|Government studies and investigations|Securities|Securities and Exchange Commission (SEC)|Small business,"To exempt smaller public companies from requirements relating to the use of Extensible Business Reporting Language for periodic reporting to the Securities and Exchange Commission, and for other purposes.",Small Company Disclosure Simplification Act
hr2308-112,112,2011-06-23,Finance and Financial Sector,Administrative law and regulatory procedures|Corporate finance and management|Financial services and investments|Government studies and investigations|Securities|Securities and Exchange Commission (SEC),To improve the consideration by the Securities and Exchange Commission of the costs and benefits of its regulations and orders.,SEC Regulatory Accountability Act
hr833-108,108,2003-02-13,Finance and Financial Sector,Administrative procedure|Administrative remedies|Affiliated corporations|Auctions|Civil actions and liability|Class actions (Civil procedure)|Commercial arbitration|Computer software|Confidential communications|Consumer complaints|Consumer credit|Consumer education|Continuing education|Counseling|Criminal justice information|Criminal liability|Damages|Data banks|Debtor and creditor|Department of Housing and Urban Development|Department of the Treasury|District courts|Electronic government information|Employment tests|Evidence (Law)|Executive reorganization|Express service|Facsimile transmission|Federal Reserve System|Federal aid to housing|Federal preemption|Federally-assisted loans|Federally-guaranteed loans|Fees|Finance charges|Financial services|Financial statements|Fines (Penalties)|Foreclosure|Government contractors|Government lending|Government liability|Government publications|Government publicity|Higher education|Home ownership|Home repair and improvement|Housing finance|Identification of criminals|Income|Insurance premiums|Internet|Judicial review|Jurisdiction|Liability (Law)|Licenses|Liens|Loan defaults|Loans|Mortgage banks|Mortgage guaranty insurance|Mortgage interest rates|Mortgages|Performance measurement|Profit|Public service advertising,"To combat unfair and deceptive practices in the high-cost mortgage market, establish a consumer mortgage protection board, and establish licensing and minimum standards for mortgage brokers, and for other purposes.",Responsible Lending Act
hr4248-111,111,2009-12-09,Finance and Financial Sector,"Criminal investigation, prosecution, interrogation|Currency|Fraud offenses and financial crimes|Metals|Sales and excise taxes|State and local taxation","To repeal the legal tender laws, to prohibit taxation on certain coins and bullion, and to repeal superfluous sections related to coinage.",Free Competition in Currency Act of 2009
hr5465-114,114,2016-06-14,Finance and Financial Sector,Administrative law and regulatory procedures|Banking and financial institutions regulation|Consumer Financial Protection Bureau|Consumer credit,"To repeal section 1075 of the Consumer Financial Protection Act of 2010 relating to rules for payment card transactions, and for other purposes.",
hr4252-113,113,2014-03-14,Finance and Financial Sector,"Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Corporate finance and management|Department of the Treasury|Federal Reserve System|Federally chartered organizations","To amend the Federal Deposit Insurance Act to allow mutual capital certificates to satisfy capital requirements for mutual depositories, to amend the Revised Statutes of the United States to establish mutual national banks, and for other purposes.",Mutual Bank Choice and Continuity Act of 2014
hr1242-111,111,2009-03-02,Finance and Financial Sector,"Accounting and auditing|Bank accounts, deposits, capital|Banking and financial institutions regulation|Congressional oversight|Financial crises and stabilization|Government information and archives|Government studies and investigations",To amend the Emergency Economic Stabilization Act of 2008 to provide for additional monitoring and accountability of the Troubled Asset Relief Program.,
s3048-112,112,2012-05-09,Finance and Financial Sector,"Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Department of the Treasury|Federal Deposit Insurance Corporation (FDIC)|Federal Reserve System|Foreign and international banking","A bill to provide for a safe, accountable, fair, and efficient banking system, and for other purposes.","Safe, Accountable, Fair, and Efficient Banking Act of 2012"
hr1466-114,114,2015-03-19,Crime and Law Enforcement,"Administrative remedies|Computer security and identity theft|Computers and information technology|Congressional oversight|Criminal investigation, prosecution, interrogation|Employment discrimination and employee rights|Evidence and witnesses|Fraud offenses and financial crimes|Government employee pay, benefits, personnel management|Government ethics and transparency, public corruption|Government information and archives|Government studies and investigations|Intelligence activities, surveillance, classified information|Judges|Public contracts and procurement|Right of privacy|Specialized courts","To repeal the USA PATRIOT Act and the FISA Amendments Act of 2008, and for other purposes.",Surveillance State Repeal Act
hr4745-103,103,1994-07-13,Finance and Financial Sector,Administrative procedure|Brokers|Business records|Capital|Derivative securities|Financial statements|Government paperwork|Government securities|Independent regulatory commissions|Information disclosure (Securities law)|Insurance companies|Licenses|Risk assessment|Risk management|Securities|Securities and Exchange Commission|Securities fraud|Securities industry|Securities regulation|Stock exchanges|Trade associations,"To provide a framework for Securities and Exchange Commission supervision and regulation of derivatives activities, and for other purposes.",Derivatives Dealers Act of 1994
s1821-111,111,2009-10-21,Crime and Law Enforcement,"Aging|Crime victims|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Domestic violence and child abuse|Employment and training programs|Fraud offenses and financial crimes|Government information and archives|Government studies and investigations|Homelessness and emergency shelter|Housing for the elderly and disabled|Judicial procedure and administration|Law enforcement administration and funding|Law enforcement officers|Lawyers and legal services|Medicaid|Mental health|Poverty and welfare assistance|Social security and elderly assistance|State and local courts|State and local government operations","A bill to protect seniors in the United States from elder abuse by establishing specialized elder abuse prosecution and research programs and activities to aid victims of elder abuse, to provide training to prosecutors and other law enforcement related to elder abuse prevention and protection, to establish programs that provide for emergency crisis response teams to combat elder abuse, and for other purposes.",Elder Abuse Victims Act of 2009
s3372-112,112,2012-07-11,Crime and Law Enforcement,"Elections, voting, political campaign regulation|Fraud offenses and financial crimes|Manufacturing|Marketing and advertising|Military personnel and dependents|Personnel records|Trade restrictions","A bill to amend section 704 of title 18, United States Code.",Military Service Integrity Act of 2012
hr4081-115,115,2017-10-19,Crime and Law Enforcement,"Administrative law and regulatory procedures|Civil actions and liability|Computer security and identity theft|Congressional oversight|Consumer affairs|Consumer credit|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Federal Trade Commission (FTC)|Federal preemption|Fraud offenses and financial crimes|Right of privacy|State and local government operations|Telephone and wireless communication","To ensure the privacy and security of sensitive personal information, to prevent and mitigate identity theft, to provide notice of security breaches involving sensitive personal information, and to enhance law enforcement assistance and other protections against security breaches, fraudulent access, and misuse of personal information.",Consumer Privacy Protection Act of 2017
hr2079-116,116,2019-04-04,Finance and Financial Sector,"Bank accounts, deposits, capital|Banking and financial institutions regulation|Civil actions and liability|Consumer credit|Credit and credit markets|Federal Reserve System|Firearms and explosives|Interest, dividends, interest rates|Licensing and registrations|Monetary policy|Retail and wholesale trades","To amend the Federal Reserve Act to prohibit certain member banks from using discount window lending programs, and for other purposes.",Freedom Financing Act
s1895-107,107,2002-01-24,Finance and Financial Sector,Administrative procedure|Conferences|Corporate collapse|Corporate mergers|Corporate reorganizations|Debt|Fees|Independent regulatory commissions|Information disclosure (Securities law)|Investment advisers|Investments|Public speaking|Radio broadcasting|Securities|Securities and Exchange Commission|Securities regulation|Stocks|Television broadcasting,"A bill to require investment advisers to make prominent public disclosures of ties with companies being analyzed by them, and for other purposes.",Independent Investment Advisers Act of 2002
hr7260-110,110,2008-10-03,Finance and Financial Sector,"Accounting and auditing|Bank accounts, deposits, capital|Census and government statistics|Congressional oversight|Consumer credit|Credit and credit markets|Currency|Economic performance and conditions|Federal Reserve System|Foreign loans and debt|Government information and archives|Interest, dividends, interest rates|Monetary policy|Unemployment","To increase the quality and public accessibility of research by the Board of Governors of the Federal Reserve System on the effects of monetary policy on the distribution of wealth in the United States, and the proportion of newly created monetary resources directed into various sectors of the economy, and for other purposes.",Transparency in the Creation of Wealth Act of 2008
s639-113,113,2013-03-21,Crime and Law Enforcement,"Civil actions and liability|Computers and information technology|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Criminal procedure and sentencing|Evidence and witnesses|Fraud offenses and financial crimes|Right of privacy|Telephone and wireless communication","A bill to amend title 18, United States Code, to specify the circumstances in which a person may acquire geolocation information and for other purposes.",Geolocational Privacy and Surveillance Act
