bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,summary,,is_related,bill_type,reason
hr5810-110,110,4/15/2008,"To amend title V of the Social Security Act to provide grants for school-based mentoring programs for at risk teenage girls to prevent and reduce teen pregnancy, and to provide student loan forgiveness for mentors participating in such programs.",Mentor-Mentee Teen Pregnancy Reduction Act of 2008,Education,Child development|Child welfare|Compensatory education|Counseling|Elementary and secondary education|Elementary education|Federal aid to education|Federally-guaranteed loans|Government lending|Higher education|Mentoring|Secondary education|Sex education|Sexual abstinence|Student loan funds|Teacher education|Teenage pregnancy|Women,1,Wage Hour & Benefits,"Mentor-Mentee Teen Pregnancy Reduction Act of 2008 - Amends title V (Maternal and Child Health Services) of the Social Security Act to direct the Secretary of Health and Human Services to award competitive grants to local educational agencies or community-based organizations for the creation of school-based programs that provide mentoring to at-risk teenage girls to prevent and reduce teen pregnancy. Requires program mentors to be women who: (1) have received at least a baccalaureate degree from an institution of higher education; (2) are mentoring no more than two program mentees; and (3) are trained and screened to encourage mentees to engage in responsible, goal-orientated behavior, delay their sexual activity, and increase their participation in school. Authorizes the Secretary to provide student loan forgiveness, under the Federal Family Education Loan, Direct Loan, or Perkins Loan programs of the Higher Education Act of 1965, to program mentors who serve for at least 200 hours in an academic year.",,False,,"The bill focuses on grants for school-based mentoring programs and student loan forgiveness for mentors, which do not relate to private employer obligations on employee wages, hours, or benefits."
hr6056-111,111,7/30/2010,"To amend the Internal Revenue Code of 1986 to treat certain employee-funded pensions created before June 25, 1959, in the same manner as qualified trusts for purposes of unrelated debt-financed income derived from real property, and to increase the limitation on elective deferrals to such employee-funded pensions.",,Taxation,Employee benefits and pensions|Income tax deferral|Real estate business|Tax-exempt organizations,1,Wage Hour & Benefits,"Amends the Internal Revenue Code to: (1) exempt certain tax-exempt employee-funded pension plans created before June 25, 1959, from rules imposing a tax on unrelated debt-financed income derived from real property; and (2) make the limits on contributions to such employee-funded pension plans equal to the limits allowed for other tax-exempt retirement accounts.",,True,other,"The bill modifies the tax treatment of certain employee-funded pensions, which relates to private employer obligations on employee benefits by affecting how these pensions are managed and funded."
s3730-110,110,12/10/2008,"A bill to expand, train, and support all sectors of the health care workforce to care for the growing population of older individuals in the United States.",Retooling the Health Care Workforce for an Aging America Act of 2008,Health,Caregivers|Chronically ill|Department of Health and Human Services|Dislocated workers|Elementary and secondary education|Federal advisory bodies|Geriatrics|Gerontology|Governmental investigations|Higher education|Home care services|Long-term care|Medicaid|Medical education|Medical personnel|Medical research|Medicare|National Institutes of Health (NIH)|Nursing|Paramedical personnel|Research centers|Secondary education|Veterans' employment,1,Wage Hour & Benefits,"Retooling the Health Care Workforce for an Aging America Act of 2008 - Amends the Public Health Service Act to require the Secretary of Health and Human Services to expand training for health professionals in the fields of geriatrics, long-term care, and chronic care management. Requires an analysis of the health and long-term care workforce.Amends the Workforce Investment Act of 1998 to provide for information to adults and dislocated workers about health care and long-term care occupations. Provides for information to veterans about training, internship, and employment opportunities in geriatrics, gerontology, and long-term care.Amends the Older Americans Act of 1965 to require the Assistant Secretary for Aging to: (1) develop family caregiver training materials; and (2) provide for the establishment and operation of a National Resource Center on Volunteers, Students, and Seniors to promote partnerships between entities in the aging network and institutions of higher education and secondary schools.Requires the Secretary to: (1) provide for the development of core training competencies for personal or home care aides and additional training content for nurse aides and home health aides; and (2) establish a panel of long-term care workforce experts.Provides for the development of information and referral protocols for family caregivers of Medicare beneficiaries.Amends title XIX (Medicaid) of the Social Security Act to provide for coverage of assessments of family caregiver support needs.Provides for studies on: (1) the mental health workforce; (2) the aging network's capacity to meet current and future needs; (3) retention and tenure of nurse aides and home health aides; and (4) spending by the National Institutes of Health (NIH) on conditions and illnesses that disproportionately impact the health of older individuals.",,False,,"The bill focuses on expanding and training the healthcare workforce and providing information and resources for caregivers, without directly addressing private employer obligations on employee wages, hours, or benefits."
hr1438-113,113,4/9/2013,"To amend title 38, United States Code, to exempt reimbursements of certain medical expenses and other payments related to accident, theft, loss, or casualty loss from determinations of annual income with respect to pensions for veterans and surviving spouses and children of veterans, and for other purposes.",Veterans Pensions Protection Act of 2013,Armed Forces and National Security,"Accidents|Civil actions and liability|Health care costs and insurance|Life, casualty, property insurance|Veterans' pensions and compensation",1,Wage Hour & Benefits,"Veterans Pensions Protection Act of 2013 - Excludes from annual income, for purposes of eligibility for pensions for veterans and their surviving spouses and children, reimbursements resulting from: (1) any accident; (2) any theft or loss; (3) any casualty loss; (4) medical expenses resulting from any such accident, theft, or loss; and (5) pain and suffering (including insurance settlement payments and general damages awarded by a court) related to such accident, theft, or loss.",,False,,"The bill pertains to veterans' pensions and the determination of annual income for eligibility, which is a government benefit program, not a private employer obligation."
s1229-108,108,6/10/2003,"A bill to amend chapter 23 of title 5, United States Code, to clarify the disclosures of information protected form prohibited personnel practices, require a statement in nondisclosure policies, forms, and agreements that such policies, forms, and agreements conform with certain disclosure protections, provide certain authority for the Special Counsel, and for other purposes.",Federal Employee Protection of Disclosure Act,Government Operations and Politics,Administrative remedies|Appellate courts|Civil actions and liability|Classified defense information|Congressional investigations|Congressional oversight|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Employee rights|Evidence (Law)|Executive orders|Federal employees|Government attorneys|Government paperwork|Governmental investigations|Information leaking|Infrastructure|Infrastructure (Economics)|Judicial review|Jurisdiction|Legal fees|Merit Systems Protection Board|Office of Special Counsel|Parties to actions|Personnel management|Promotions|Security clearances|Security measures|Waste in government spending|Whistle blowing,1;24,Wage Hour & Benefits;Government Reporting & Compliance,"Federal Employee Protection of Disclosures Act - Includes as a protected disclosure by a Federal employee any lawful disclosure an employee or applicant reasonably believes is credible evidence of waste, fraud, abuse, or gross mismanagement, without restriction as to time, place, form, motive, context, or prior disclosure. Allows a presumption relating to the performance of a duty by an employee to be rebutted by substantial evidence.Requires each non-disclosure policy, form, or agreement to contain a statement that the restrictions are consistent with and do not supersede specified employee obligations, rights, or liabilities. Authorizes the Merit Systems Protection Board or any reviewing court, in any appeal relating to a suspension or other action relating to a security clearance, to determine whether there was a violation of prohibited personnel practices. Prohibits the Board from ordering the President to restore the clearance, but authorizes the Board to issue declaratory and other appropriate relief. Authorizes the Board to impose disciplinary action, a civil penalty, or a combination against employees found to have committed a prohibited personnel practice. Requires each agency to establish a process for providing confidential advice to employees on making lawful disclosures to Congress of information required to be kept secret in the interests of national defense or the conduct of foreign affairs. Permits representation by attorneys for the Office of the Special Counsel in civil actions brought in connection with such disclosures of information or provisions relating to political activities. Authorizes the Office of Personnel Management to obtain judicial review of Board decisions. Amends the Homeland Security Act of 2002 to provide that, for purposes of provisions regarding the protection of voluntarily shared critical infrastructure information, a permissible use of independently obtained critical infrastructure information includes any lawful disclosure an employee or applicant reasonably believes is credible evidence of waste, fraud, abuse, or gross mismanagement, without restriction as to time, place, form, motive, context, or prior disclosure.",,False,,"The bill focuses on protections for federal employees regarding disclosures of information and prohibited personnel practices, not on private employer obligations related to employee wages, hours, or benefits."
hr3786-110,110,10/9/2007,To amend the Servicemembers Civil Relief Act to allow individuals called to military service to terminate telecommunications contracts entered into before the individual receives notice of a permanent change of station or deployment orders.,Servicemembers Telecom Contract Relief Act,Armed Forces and National Security,Armed forces abroad|Cable television|Contracts|Internet|Iraq compilation|Military personnel|Telephone|Television relay systems|Wireless communication,1,Wage Hour & Benefits,"Servicemembers Telecom Contract Relief Act - Allows a person in military service to terminate a telecommunications contract for cellular phone service, cable or satellite television service, or internet service at any time after: (1) entry into military service; or (2) the date of the station or deployment orders. Requires for termination that: (1) the contract is executed by or on behalf of a person who thereafter and during the term of the contract enters military service (or receives order to enter military service) under an order specifying a period of not less than 90 days (or who enters military service under an order specifying a period of 90 days or less and who, without a break in service, receives orders extending the period of military service to a period of not less than 90 days); or (2) the person enters into the contract while in military service and thereafter receives military orders for a permanent change of station outside of the continental United States, or to deploy with a military unit for a period of not less than 90 days, to a location that does not support continuation of the service under the contract.",,False,,"The bill pertains to the rights of servicemembers to terminate telecommunications contracts due to military service, not to private employer obligations on employee wages, hours, or benefits."
s109-116,116,1/10/2019,A bill to prohibit taxpayer funded abortions.,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2019,"Civil Rights and Liberties, Minority Issues","Abortion|Appropriations|Assault and harassment offenses|Comprehensive health care|Consumer affairs|Crimes against women|Employee benefits and pensions|Government buildings, facilities, and property|Health care costs and insurance|Health care coverage and access|Health facilities and institutions|Health programs administration and funding|Income tax credits|Sex offenses|Small business",1,Wage Hour & Benefits,"No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2019

This bill modifies provisions relating to federal funding for, and health insurance coverage of, abortions.

Specifically, the bill prohibits the use of federal funds for abortions or for health coverage that includes abortions. Such restrictions extend to the use of funds in the budget of the District of Columbia. Additionally, abortions may not be provided in a federal health care facility or by a federal employee.

Historically, language has been included in annual appropriations bills for the Department of Health and Human Services (HHS) that prohibits the use of federal funds for abortions—such language is commonly referred to as the Hyde Amendment. Similar language is also frequently included in appropriations bills for other federal agencies and the District of Columbia. The bill makes these restrictions permanent and extends the restrictions to all federal funds (rather than specific agencies).

The bill's restrictions regarding the use of federal funds do not apply in cases of rape, incest, or where a physical disorder, injury, or illness endangers a woman's life unless an abortion is performed. The Hyde Amendment provides the same exceptions.

The bill also prohibits qualified health plans from including coverage for abortions. Currently, qualified health plans may cover abortion, but the portion of the premium attributable to abortion coverage is not eligible for subsidies.",,False,,"The bill primarily addresses the prohibition of federal funding for abortions and health insurance coverage of abortions, which does not relate to private employer obligations on employee wages, hours, or benefits."
hr5556-110,110,3/6/2008,To amend the Internal Revenue Code of 1986 to allow certain individuals who have attained age 50 and who are unemployed to receive distributions from qualified retirement plans without incurring a 10 percent additional tax.,,Taxation,Age and employment|Income tax|Pension funds|Tax exclusion|Tax penalties|Tax-deferred compensation plans|Unemployment|Unemployment insurance,1,Wage Hour & Benefits,Amends the Internal Revenue Code to make the 10% additional tax on early distributions from qualified retirement plans inapplicable to individuals who have attained the age of 50 and who have been receiving unemployment compensation for 12 consecutive weeks.,,False,,"The bill modifies tax penalties for individuals withdrawing from retirement plans, not private employer obligations on employee wages, hours, or benefits."
hr2197-111,111,4/30/2009,"To assist the Administrator of the Small Business Administration to determine whether a franchisee is affiliated with a franchisor in the temporary employee services industry, and for other purposes.",Temporary Employees Franchise Improvement Act of 2009,Commerce,Administrative law and regulatory procedures|Employment and training programs|Small Business Administration|Small business|Temporary and part-time employment,1,Wage Hour & Benefits,"Temporary Employees Franchise Improvement Act of 2009 - Directs the Administrator of the Small Business Administration (SBA), in determining whether a franchisee is affiliated with a franchisor in the temporary employee services industry (industry), to: (1) continue to apply historically considered affiliation factors; (2) promulgate necessary rules and regulations to determine affiliation in a manner consistent with the Small Business Act; and (3) consider the processing of payroll and billing by a franchisor as customary and common practice in the industry that does not provide probative weight on affiliation, to the extent that temporary staffing personnel are interviewed, hired, trained, assigned, and subject to discharge by the franchisee.",,False,,"The bill focuses on determining the affiliation status between franchisees and franchisors in the temporary employee services industry, which is related to administrative and regulatory procedures rather than private employer obligations on employee wages, hours, or benefits."
s273-113,113,2/11/2013,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1;10;11,Wage Hour & Benefits;Securities & Investor Protection;Accounting Financial Reporting & Tax,Amends the Employee Retirement Income and Security Act of 1974 (ERISA) to exclude appraisers of employee stock ownership plans (ESOPs) from the meaning of a fiduciary subject to ERISA.,,True,enforcement,"The bill modifies the definition of fiduciary under ERISA, which affects the enforcement and stringency of rules governing private employer obligations related to employee benefit plans."
s1145-107,107,6/29/2001,"A bill to amend the Internal Revenue Code of 1986 to extend the work opportunity credit to encourage the hiring of certain veterans, and for other purposes.",Veterans Opportunity to Work Act,Taxation,Business income tax|Employment of the disadvantaged|Employment tax credits|Income tax|Veterans' employment,1,Wage Hour & Benefits,"Veterans Opportunity to Work Act - Amends the Internal Revenue Code to include a ""qualified low-income veteran"" (a veteran whose gross income for the preceding taxable year was below the poverty line) as a member of a targeted group for purposes of computing the work opportunity credit. Provides special rules for determining the credit amount, and makes the credit permanent with respect to such veterans.",,True,tax_credit_introduction,"The bill introduces a new tax credit incentive for private employers to hire certain veterans, which relates to employer obligations on employee wages and employment."
s545-108,108,3/6/2003,A bill to amend title I of the Employee Retirement Income Security Act of 1974 to improve access and choice for entrepreneurs with small businesses with respect to medical care for their employees.,Small Business Health Fairness Act of 2003,Health,Administrative fees|Administrative procedure|Bankruptcy|Collective bargaining|Congressional reporting requirements|Delegation of powers|Department of Labor|Discrimination in insurance|Discrimination in medical care|Employee health benefits|Federal advisory bodies|Federal preemption|Federal-state relations|Fines (Penalties)|Flexible benefit plans|Franchises (Retail trade)|Government paperwork|Government trust funds|Health care fraud|Health insurance|Injunctions|Insurance|Insurance agents|Insurance premiums|Labor contracts|Labor unions|Licenses|Medical economics|Medically uninsured|Professional associations|Small business|Standards|State laws|State taxation|Surety and fidelity|Tax rates|Trade associations|Trusts and trustees|Valuation,1,Wage Hour & Benefits,"Small Business Health Fairness Act of 2003 - Amends the Employee Retirement Income Security Act of 1974 (ERISA) to revise provisions relating to access and choice for small business employers with respect to medical care for their employees.Establishes rules governing association health plans (group health plans whose sponsors are trade, industry, professional, chamber of commerce, or similar business associations), including requirements relating to certification, sponsors and boards of trustees, participation, coverage, plan documents, contribution rates, benefit options, applications for certification, notice for voluntary termination, corrective actions, and mandatory termination.Requires association health plans which provide health benefits in addition to health insurance coverage to maintain certain reserves and comply with other solvency provisions. Directs the Secretary of Labor to apply for appointment, and carry out specified duties, as trustee of any such insolvent association health plans which provide health benefits in addition to health insurance coverage.Allows a State to impose a contribution tax on any association health plan commencing operations in such State after the enactment of this Act.Requires association health plans to include in their summary plan descriptions, in connection with each benefit option, a description of the form of any solvency or guarantee fund protection secured under ERISA or applicable State law.Revises provisions relating to treatment of: (1) single employer arrangements; and (2) certain collectively bargained arrangements.Provides for association health plans with respect to: (1) enforcement; (2) cooperation between Federal and State authorities; and (3) treatment of certain existing health benefit programs.",,True,other,"The bill amends ERISA to establish rules for association health plans, impacting private employer obligations regarding employee health benefits, including solvency and certification requirements."
hr6726-112,112,1/1/2013,To prevent the 2013 pay adjustment for Members of Congress and persons holding other offices or positions in the Federal Government from being made.,Congressional Pay Freeze and Fiscal Responsibility Act,Government Operations and Politics,"Federal officials|Government employee pay, benefits, personnel management|Inflation and prices|Members of Congress",1,Wage Hour & Benefits,"Congressional Pay Freeze and Fiscal Responsibility Act - Amends the Continuing Appropriations Act, 2011, as amended by the Continuing Appropriations Resolution, 2013 (P.L. 112-175), to extend the freeze on adjustments to pay of federal employees and officials, including Members of Congress, through December 31, 2013. Eliminates the delayed statutory pay adjustment contained in the Resolution that was permitted to take effect with the first applicable pay period beginning after March 27, 2013.",,False,,"The bill pertains to freezing pay adjustments for federal employees and officials, including Members of Congress, and does not involve private employer obligations on employee wages, hours, or benefits."
hr6279-111,111,9/29/2010,"To amend title 10, United States Code, to provide for the retention of members of the reserve components on active duty for a period of 45 days following an extended deployment in contingency operations or homeland defense missions to support their reintegration into civilian life, and for other purposes.",National Guard and Reserve Soft Landing Reintegration Act,Armed Forces and National Security,Employee leave|Military personnel and dependents|National Guard and reserves,1,Wage Hour & Benefits,"National Guard and Reserve Soft Landing Reintegration Act - Requires that a member of a reserve component of the Armed Forces who was deployed for more than 179 days for a contingency operation or a homeland defense mission be: (1) retained on active duty in the Armed Forces for 45 days after the end of the member's demobilization from a deployment; (2) allowed to use accrued leave; and (3) paid specified pay and allowances. Requires a member requesting an early release from such active duty to be released within 14 days after such request. Allows such request to be denied only for medical or personal safety reasons. Directs the Secretary of the military department concerned to provide each member so retained (and, as practicable, appropriate family members) reintegration counseling and services.",,False,,"The bill pertains to military personnel and their reintegration into civilian life, focusing on active duty retention and benefits for reserve members, not private employer obligations."
hr5220-109,109,4/27/2006,"To establish the Veterans Advisory Committee on Certification, Credentialing, and Licensure.",Veterans Certification and Licensure Act of 2006,Armed Forces and National Security,Congressional reporting requirements|Department of Labor|Executive reorganization|Federal advisory bodies|Licenses|Veterans' employment,1,Wage Hour & Benefits,"Veterans Certification and Licensure Act of 2006 - Establishes within the Department of Labor the Veterans Advisory Committee on Certification, Credentialing, and Licensure to carry out a national program to: (1) facilitate the transition of members of the Armed Forces from active-duty service to employment in the private sector through credentialing; (2) collect and disseminate data on certification, licensing, and credentialing programs of the states and of the Departments of Defense, Labor, and Veterans Affairs; and (3) advise the Secretary of Labor on certification, licensing, and credentialing issues related to converting the skills acquired by veterans while serving in the Armed Forces to skills relevant to civilian occupations.",,False,,"The bill focuses on facilitating veterans' transition to civilian employment through certification and credentialing, not on private employer obligations related to employee wages, hours, or benefits."
s1256-111,111,6/11/2009,"A bill to amend title XIX of the Social Security Act to establish financial incentives for States to expand the provision of long-term services and supports to Medicaid beneficiaries who do not reside in an institution, and for other purposes.",Home and Community Balanced Incentives Act of 2009,Health,"Government information and archives|Health information and medical records|Home and outpatient care|Long-term, rehabilitative, and terminal care|Medicaid|Nursing",1,Wage Hour & Benefits,"Home and Community Balanced Incentives Act of 2009 - Amends title XIX (Medicaid) of the Social Security to increase the federal medical assistance percentage (FMAP) for a balancing incentive payment state and any other state in which less than 50% of the total FY2009 expenditures for medical assistance for long-term services and supports (LTSS) are for non-institutionally-based (home and community-based) LTSS. Directs the Secretary of Health and Human Services to award grants to states to: (1) support the development of a common national set of coding methodologies and databases related to the provision of home and community-based LTSS; and (2) make certain structural changes to the state Medicaid program. Directs the Secretary to develop specifications for standardization of: (1) reporting of assessment data for LTSS for each population served; and (2) outcomes measures that track assessment processes for LTSS for each such population that maintain and enhance individual function, independence, and stability. Directs the Secretary to promulgate regulations to ensure that all states develop service systems that are designed to: (1) allocate resources for services in a manner that is responsive to the changing needs and choices of beneficiaries receiving home and community-based LTSS, and that provides strategies for beneficiaries receiving such services to maximize their independence; (2) provide the support and coordination needed for a beneficiary in need of such services to design an individualized, self-directed, community-supported life; and (3) improve coordination among all providers of such services under federally and state-funded programs. Directs the Secretary to assess, on an ongoing basis and based on measures specified by the Agency for Healthcare Research and Quality, the safety, quality, and outcomes of home and community-based LTSS. Changes from 150% of the poverty line to 300% of the supplemental security income (SSI) benefit rate the income eligibility level for providing home and community-based services under the state plan amendment option for elderly and disabled individuals. Authorizes additional state options to provide home and community-based services. Removes the limitation on the scope of services. Creates an eligibility category to provide full Medicaid benefits to individuals receiving home and community-based services under a state plan amendment. Applies spousal impoverishment protections to recipients of home and community-based services. Authorizes states to elect to exclude up to six months of the average cost of nursing facility services from assets or resources for home and community-based services eligibility determinations. Directs the Secretary to create a template to streamline the process of approving, monitoring, evaluating, and renewing state proposals to conduct a program that combines Medicaid waiver authorities into a single program under which the state provides home and community-based services to individuals based on individualized assessments and care plans.",,False,,"The bill primarily addresses Medicaid and state incentives for expanding long-term services and supports for Medicaid beneficiaries, which are government-funded programs, not obligations owed by private employers to their employees."
hr2127-112,112,6/3/2011,"To authorize funding for the creation and implementation of infant mortality pilot programs in standard metropolitan statistical areas with high rates of infant mortality, and for other purposes.",Nationally Enhancing the Wellbeing of Babies through Outreach and Research Now Act,Health,Child health|Health care coverage and access|Health information and medical records|Health programs administration and funding|Health promotion and preventive care|Medical research|Sex and reproductive health|Women's health|World health,1,Wage Hour & Benefits,"Nationally Enhancing the Wellbeing of Babies through Outreach and Research Now Act or the NEWBORN Act - Requires the Secretary of Health and Human Services (HHS), acting through the Administrator of the Health Resources and Services Administration, to award five-year grants to eligible entities to create, implement, and oversee infant mortality pilot programs. Defines ""eligible entity"" to mean a county, city, territorial, or tribal health department that has submitted a proposal to the Secretary that the Secretary deems likely to reduce infant mortality rates within the standard metropolitan statistical area involved. Requires the Secretary to give preference to eligible entities proposing to serve any of the 15 counties or groups of counties with the highest rates of infant mortality in the United States in the past three years. Sets forth uses of grant funds, which may include: (1) developing a plan that identifies the individual needs of each community to be served and strategies to address those needs; (2) providing outreach to at-risk mothers; (3) developing and implementing standardized systems for improved access, utilization, and quality of social, educational, and clinical services to promote healthy pregnancies, full-term births, and healthy infancies delivered to women and their infants; (4) establishing a rural outreach program to provide care to at-risk mothers in rural areas; (5) establishing a regional public education campaign; and (6) coordinating efforts between health departments to be served through the infant mortality program and existing entities that work to reduce the rate of infant mortality within an area.",,False,,"The bill focuses on funding and implementing infant mortality pilot programs through health departments, not on private employer obligations related to employee wages, hours, or benefits."
hr2354-115,115,5/4/2017,To amend the Longshore and Harbor Workers' Compensation Act to provide a definition of recreational vessel for purposes of such Act.,Longshore and Harbor Workers' Compensation Clarification Act of 2017,Labor and Employment,"Administrative law and regulatory procedures|Department of Labor|Disability assistance|Marine and inland water transportation|Navigation, waterways, harbors|Transportation employees|Worker safety and health",1,Wage Hour & Benefits,"Longshore and Harbor Workers' Compensation Clarification Act of 2017

This bill amends the Longshore and Harbor Workers' Compensation Act to define ""recreational vessel"" as a vessel:

 being manufactured or operated primarily for pleasure; or leased, rented, or chartered to another for the latter's pleasure. In applying such definition under such Act, the following rules apply:

 a vessel being manufactured or built, or being repaired under warranty by its manufacturer or builder, is a recreational vessel if the vessel appears intended, based on its design and construction, to be for ultimate recreational uses (the manufacturer or builder must bear the burden of establishing that a vessel is recreational under this standard); a vessel being repaired, dismantled for repair, or dismantled at the end of its life will be treated as recreational at the time of repair or dismantling, provided that such vessel shares elements of design and construction of traditional recreational vessels and is not normally engaged in a military, commercial, or traditionally commercial undertaking; and a vessel will be treated as a recreational vessel if it is a public vessel (such as a vessel owned or chartered and operated by the United States or a state or local government) at the time of repair, or dismantling, provided that such vessel shares elements of design and construction with traditional recreational vessels and is not normally engaged in a military, commercial, or traditionally commercial undertaking. The Department of Labor must revise a specified federal regulation defining a ""recreational vessel"" to conform with the definition set forth in this bill.",,False,,"The bill focuses on defining 'recreational vessel' under the Longshore and Harbor Workers' Compensation Act, which pertains to worker compensation for maritime employees, not private employer obligations on wages, hours, or benefits."
hr2591-110,110,6/6/2007,"To amend part B of title XVIII of the Social Security Act to limit the penalty for late enrollment under part B of the Medicare Program to 10 percent and twice the period of no enrollment, and to exclude periods of COBRA and retiree coverage from such late enrollment penalty.",,Health,Employee health benefits|Health insurance continuation|Insurance premiums|Medicare|Retiree health benefits,1,Wage Hour & Benefits,Amends part B (Supplementary Medical Insurance) of title XVIII (Medicare) of the Social Security Act to: (1) limit the penalty for late enrollment under part B to 10% and twice the period of no enrollment; and (2) exclude periods of COBRA and retiree coverage from such late enrollment penalty. Provides for a special enrollment period for individuals whose COBRA or retiree coverage terminates.,,False,,"The bill primarily addresses Medicare enrollment penalties and does not impose obligations on private employers regarding employee wages, hours, or benefits."
s944-116,116,3/28/2019,"A bill to enhance the security operations of the Transportation Security Administration and the stability of the transportation security workforce by applying a unified personnel system under title 5, United States Code, to employees of the Transportation Security Administration who are responsible for screening passengers and property, and for other purposes.",Strengthening American Transportation Security Act of 2019,Transportation and Public Works,"Aviation and airports|Department of Homeland Security|Department of Transportation|Government employee pay, benefits, personnel management|Labor-management relations|Transportation safety and security|Worker safety and health",1;3,Wage Hour & Benefits;Labor Relations,"Strengthening American Transportation Security Act of 2019

This bill expresses the sense of Congress that the personnel system used by the Transportation Security Administration (TSA) provides insufficient workplace protections for its workforce and such personnel should be entitled to protections under the civil service system applicable to all federal employees.

Among other things, the bill

 eliminates personnel authorities of the Department of Homeland Security (DHS) and the Department of Transportation governing the conditions of employment for TSA employees, thus making TSA employees subject to the personnel management system applicable to other federal employees; sets forth transition rules that protect the pay rates and other rights of TSA employees; requires DHS to consult with the labor organization certified by the Federal Labor Relations Authority to carry out the conversion of such positions; and does not affect the prohibitions against disloyalty and asserting the right to strike against the federal government.",,False,,"The bill pertains to the personnel system and workplace protections for TSA employees, who are federal employees, not private employers. It does not address private employer obligations on employee wages, hours, or benefits."
hr209-108,108,1/7/2003,To extend the Temporary Extended Unemployment Compensation Act of 2002.,American Worker Temporary Relief Act,Labor and Employment,Unemployment insurance,1,Wage Hour & Benefits,"American Worker Temporary Relief Act - Amends the Temporary Extended Unemployment Compensation Act of 2002 (TEUCA) to extend the TEUC program to weeks of unemployment ending before April 1, 2003.",,False,,"The bill extends unemployment compensation, which is a public assistance program, not a private employer obligation."
hr1982-109,109,4/28/2005,"To amend titles 10 and 38, United States Code, to increase benefits for members of the Armed Forces who, after September 11, 2001, serve on active duty outside the United States or its territories or possessions as part of a contingency operation (including a humanitarian operation, peacekeeping operation, or similar operation) or a combat operation.",Welcome Home G.I. Bill Act of 2005,Armed Forces and National Security,Armed forces reserves|Disabled|Higher education|Home ownership|Housing finance|Housing subsidies|Income tax|Iraq compilation|Medical screening|Medical tests|Medically uninsured|Military medicine|Military operations|Peacekeeping forces|Physical examinations|Post-traumatic stress disorder|Scholarships|Student loan funds|Tax exclusion|Veterans' benefits|Veterans' education|Veterans' medical care,1,Wage Hour & Benefits,"Welcome Home G.I. Bill Act of 2005 - Increases and extends the duration of basic educational assistance for individuals who serve at least six consecutive months (with exceptions from the six consecutive months requirement due to medical, hardship, or involuntary separation ) on active duty outside the United States as part of a combat or contingency operation (including a humanitarian or peacekeeping operation) beginning on September 11, 2001, and ending five years after enactment of this Act. Permits assistance use for student loan repayment. Provides for refund of educational contributions made under the Montgomery G.I. Bill program. Increases and extends the duration of educational assistance for reserve component members called or ordered to active service in response to a war or national emergency who perform active duty service for 180 consecutive days before the five-year period beginning on the date of enactment of this Act. Permits assistance use for student loan repayment. Provides $5,000 for a residential purchase downpayment for a veteran who: (1) performs active duty service outside the United States as part of a combat or contingency operation (including a humanitarian or peacekeeping operation) for at least six consecutive months (or a lesser time period for an individual with a service-connected disability) after September 11, 2001; and (2) has not previously obtained a veterans' guaranteed or insured housing loan. Makes such benefit available for five years from the date eligible service is completed. Amends the the Internal Revenue Code to exclude such housing benefit from gross income. Provides transitional health care benefits during the five-year period after separation from active duty for an individual who is not covered under an employer-provided or a spouse's employer-provided group health plan who: (1) serves in the active military, naval, or air service; (2) after September 11, 2001, is deployed outside the United States as part of a combat or contingency operation (including a humanitarian or peacekeeping operation) for at least six consecutive months (or a lesser time period for an individual with a service-connected disability); and (3) is discharged or released under conditions other than dishonorable. Revises predeployment and postdeployment medical exam provisions.",,False,,"The bill primarily addresses benefits for members of the Armed Forces and veterans, including educational assistance, housing benefits, and transitional health care, which are not obligations owed by private employers to their employees."
