bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,bill_type,reason,summary,gpt_categories,gpt_bill_type,gpt_reason
s2625-114,114,2016-03-03,A bill to protect our servicemembers' children from convicted pedophiles and other felons infiltrating the classroom.,Protecting Our Servicemembers' Children from Sexual and Violent Predators Act,Education,Assault and harassment offenses|Child safety and welfare|Crimes against children|Criminal justice information and records|Domestic violence and child abuse|Elementary and secondary education|Employee hiring|Military personnel and dependents|Personnel records|Pornography|Sex offenses|User charges and fees|Violent crime,1;2,Wage Hour & Benefits;Employment Discrimination,enforcement,"The bill mandates criminal background checks for school employees and prohibits the employment of individuals convicted of certain crimes, directly regulating the hiring practices of non-governmental employers and relating to potential discrimination and wage/hour issues if background checks are used improperly or result in unfair dismissal.","Protecting Our Servicemembers' Children from Sexual and Violent Predators Act

This bill requires each Department of Defense domestic dependent elementary and secondary school and each local educational agency (LEA) that receives, under the Elementary and Secondary Education Act of 1965, specified funds for children with a parent on active duty in the uniformed services to:

 require, for each employee of the LEA or school, a criminal background check that includes a search of specified registries and repositories; prohibit the employment of an individual who refuses to consent to, or who makes a false statement in connection with, a background check or who has been convicted of one of specified crimes; require background checks to be periodically repeated or updated in accordance with established policies; provide an employee with a timely process to appeal the results of a background check; and allow the LEA or school to share the results of a school employee's recent background check with another LEA that is considering that individual for employment.",,,"The bill focuses on criminal background checks for school employees to protect children, which does not involve corporate misconduct or private employer obligations."
hr4966-112,112,2012-04-27,To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to replace the sequester established by the Budget Control Act of 2011.,Sequester Replacement Act of 2012,Economics and Public Finance,"Appropriations|Budget deficits and national debt|Budget process|Defense spending|Veterans' education, employment, rehabilitation|Veterans' loans, housing, homeless programs|Veterans' medical care|Veterans' pensions and compensation",1,Wage Hour & Benefits,,"The bill relates to veterans' medical care, pensions, and compensation, which are government benefits and do not involve regulating private employer conduct.","Sequester Replacement Act of 2012 - Amends the Balanced Budget and Emergency Deficit Control Act of 1985 (Gramm-Rudman-Hollings Act) to remove veterans medical care from the accounts subject to a sequester. Abolishes the distinction between security and nonsecurity categories of discretionary spending for new budget authority in FY2013. Combines the dollar amounts of the current categories ($686 billion for the security category and $361 billion for the nonsecurity category) into a single amount of $1.047 trillion in new budget authority. Revises sequestration requirements for FY2013 to require a $19.104 billion across-the-board decrease in the discretionary spending category as of January 2, 2013. Directs the Office of Management and Budget (OMB) to issue a supplemental sequestration report for FY2013 to eliminate any discretionary spending breach of the $1.047 trillion spending limit, as adjusted by the $19.104 billion across-the-board reduction requirement of this Act. Directs the President to order a sequestration, if any, as required by such report. Amends the Congressional Budget Act of 1974 to authorize the chair of the Committee on the Budget of the House of Representatives or the Senate to make adjustments to any legislative measure to conform to the discretionary spending limits of this Act. Nullifies any sequestration order the President may issue under the Gramm-Rudman-Hollings Act to carry out reductions to direct spending for the FY2013 defense function (050).",,,"The bill addresses budgetary and sequestration adjustments related to government spending, not private employer conduct or corporate misconduct."
hr372-116,116,2019-01-09,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the eligibility of Transportation Security Administration employees to receive public safety officers' death benefits, and for other purposes.",Honoring Our Fallen TSA Officers Act,Transportation and Public Works,"Department of Homeland Security|Government employee pay, benefits, personnel management|Law enforcement officers|Transportation safety and security",1,Wage Hour & Benefits,,"The bill relates to benefits paid to government employees (TSA), not to regulating the conduct of non-governmental employers regarding wages, benefits, or other misconduct.","Honoring Our Fallen TSA Officers Act

This bill extends public safety officers' death benefits to Transportation Security Administration employees performing official duties related to protecting the nation's transportation systems.",,,"The bill extends death benefits to TSA employees, which involves government employee benefits and does not relate to private employer misconduct or obligations."
hr4201-109,109,2005-11-02,"To amend title 5, United States Code, to increase the amount of additional compensation payable to an employee who is disabled and requires the services of an attendant, and for other purposes.",Joseph E. Keane Federal Employees Freedom Act,Government Operations and Politics,Caregivers|Cost of living adjustments|Disabled|Federal employees|Workers' compensation,1,Wage Hour & Benefits,enforcement,"The bill increases compensation for disabled federal employees requiring attendant services, which relates to benefits provided to employees and could be considered an adjustment to wage/benefit obligations, although it pertains to federal employees and not non-governmental employers.",Joseph E. Keane Federal Employees Freedom Act - Increases the amount of additional compensation payable to an employee who is disabled and requires the services of an attendant.,,,"The bill addresses compensation for federal employees, which does not involve private employer wage or benefit obligations."
s3602-112,112,2012-09-20,A bill to repeal the nutrition entitlement programs and establish a food stamp block grant program.,Food Stamp Restoration Act of 2012,Agriculture and Food,"Budget deficits and national debt|Citizenship and naturalization|Congressional oversight|Drug, alcohol, tobacco use|Employment and training programs|Food assistance and relief|Government information and archives|State and local government operations",1,Wage Hour & Benefits,enforcement,"The bill establishes a food stamp block grant program with work requirements and mandatory drug testing for recipients, which indirectly affects employer conduct related to employment and potential benefits eligibility.","Food Stamp Restoration Act of 2012 - Directs the Secretary of Agriculture (USDA), for each of FY2014-FY2021, to establish a food stamp block grant program under which the Secretary shall make annual grants to each participating state that establishes a food stamp program and submits a specified annual report to the Secretary. Requires a participating state to certify that its program includes: (1) work requirements; (2) mandatory drug testing; (3) verification of citizenship or lawful U.S. permanent residency; and (4) limitations on the eligible uses of benefits that are at least as restrictive as those in place for the supplemental nutrition assistance program (SNAP, formerly the food stamp program). Provides a grant to a participating state in an amount equal to the product of: (1) the specified amount made available for the applicable fiscal year, and (2) the proportion that the number of legal residents in the state whose income does not exceed 100% of the poverty line (applicable to a family of the size involved) bears to the number of such individuals in all participating states for the applicable fiscal year. Requires an annual Government Accountability Office (GAO) audit and report to Congress regarding the effectiveness of the nutritional assistance block grant program and the manner in which each participating state is implementing the program. Permits a participating state to use the grant in any appropriate manner to provide food stamps to its legal residents. Authorizes funds to remain available to a state for five years and requires any funds remaining unused after five years to be deposited in the Treasury.) Repeals: (1) the Food and Nutrition Act of 2008, effective September 30, 2013; and (2) specified mandatory and direct funding provisions.",,,"The bill addresses the restructuring of food assistance programs, which does not involve private employer misconduct or obligations."
hr5620-114,114,2016-07-05,"To amend title 38, United States Code, to provide for the removal or demotion of employees of the Department of Veterans Affairs based on performance or misconduct, and for other purposes.",VA Accountability First and Appeals Modernization Act of 2016,Armed Forces and National Security,"Administrative remedies|Congressional oversight|Congressional tributes|Department of Veterans Affairs|Disability and paralysis|Drug trafficking and controlled substances|Drug, alcohol, tobacco use|Emergency medical services and trauma care|Employee hiring|Employee performance|Employment discrimination and employee rights|Evidence and witnesses|Executive agency funding and structure|Federal officials|Government employee pay, benefits, personnel management|Government ethics and transparency, public corruption|Government information and archives|Government studies and investigations|Health care coverage and access|Health care quality|Health facilities and institutions|Health information and medical records|Health personnel|Health technology, devices, supplies|Hearing, speech, and vision care|Hospital care|Medical education|Medical research|Medical tests and diagnostic methods|Merit Systems Protection Board|Military medicine|Military personnel and dependents|National Guard and reserves|Pedestrians and bicycling|Performance measurement|Prescription drugs|Public contracts and procurement|Transportation costs|Veterans' education, employment, rehabilitation|Veterans' medical care|Veterans' organizations and recognition|Veterans' pensions and compensation|Women's health",1;22,Wage Hour & Benefits;Government Contracting,enforcement,"The bill focuses on removing or demoting VA employees based on performance or misconduct, and establishes expedited appeals processes, directly relating to government employee performance and potential fraud/misconduct within the VA, which, while not a private employer, involves accountability measures for individuals handling federal programs and funds.","VA Accountability First and Appeals Modernization Act of 2016

This bill authorizes the Department of Veterans Affairs (VA) to remove or demote a VA employee based on performance or misconduct and provides that specified federal employee performance appraisal provisions shall not apply to such removals or demotions. The VA may remove such individual from the civil service or demote the individual through a reduction in grade or annual pay rate.

 A demoted individual shall not be placed on administrative leave or any other category of paid leave during the appeals period and can receive pay only if he or she reports for duty.

 An expedited appeals process is established under which: (1) an employee shall have the right to an appeal before the Merit Systems Protection Board (MSPB) within seven days of removal or demotion, (2) the MSPB shall issue a decision within 60 days of the appeal or the removal or demotion becomes final, (3) an MSPB decision and any final removal or demotion may be appealed to the U.S. Court of Appeals, and (4) the MSPB may not stay any removal or demotion.

The VA may not remove or demote an employee: (1) without the approval of the Special Counsel if the individual seeks corrective action from the Office of Special Counsel based on an alleged prohibited personnel practice, and (2) until a final decision in the case of a whistle blower complaint.

 The VA shall reduce the federal annuity of an individual removed from the VA Senior Executive Service (SES) who is convicted of a felony that influenced his or her performance while employed in such position.

The VA may reduce the federal annuity of an individual who was convicted of such a felony and was subject to removal or transfer from the SES but who left the VA before final action was taken.

 The VA may recoup an award, a bonus, or relocation expenses paid to a VA employee under specified circumstances.

 The VA may suspend, reprimand or admonish an SES employee for misconduct or performance that does not merit removal. The VA must notify an individual 10 days before taking such proposed action. Appeals may be made to the Senior Executive Disciplinary Appeals Board (as provided for by this bill) and may not be appealed to the MSPB.

 The bill establishes an additional whistle blower complaint process, which shall include suspension and removal actions against supervisory employees who commit prohibited personnel actions against a whistle blower.

The bill amends the disability benefits appeals process.

 The bill amends the Veterans Access, Choice, and Accountability Act of 2014 to prohibit payment of an award or bonus to any SES employee during each of FY2017-FY2021.

 The bill requires that a veteran enrolled in the VA health care program who requests a medical examination or treatment at an emergency department of a VA medical facility be provided with a medical screening examination to determine whether an emergency medical condition exists and, if so, be provided stabilizing medical treatment or a transfer to another VA or non-VA medical facility.

 If a non-stabilized emergency medical condition exists, the VA hospital may not transfer the veteran unless: (1) the veteran, after being made aware of the risks, makes a written transfer request; or (2) a physician (or a qualified medical person if a physician is not present) certifies that the medical benefits of a transfer outweigh the risks.

 The VA may not take adverse action against a VA employee because the employee refuses to authorize the transfer of an enrolled veteran with a non-stabilized emergency medical condition or because the employee reports a violation of a requirement of this bill.

 The bill establishes the positions of Directors of Veterans Integrated Service Networks.

 The VA shall require a VA employee (including a temporary full-time, part-time, or without-compensation employee) who is authorized to prescribe any controlled substance to complete at least one accredited continuing education course on pain management every two years. Such requirement: (1) shall apply to an employee who is employed by the VA for at least 180 days during any 24-month period; and (2) shall not apply to an employee licensed or certified by a state licensure or specialty board that requires the completion of pain management or substance use disorder management continuing education.

 During each calendar quarter, the VA shall review each covered whistle blower complaint filed with the Office of the Special Counsel during the previous quarter.

 The VA shall identify: (1) the number of members of the Armed Forces who are physicians working part-time in VA facilities, and (2) the process by which such physicians are hired.

 The VA may disclose to non-VA entities that provide hospital care or medical treatment to veterans records of the identity, diagnosis, prognosis, or treatment of any patient in connection with a program relating to drug abuse, alcoholism or alcohol abuse, infection with the human immunodeficiency virus, or sickle cell anemia.

 The Veterans Benefits Act of 2003 is amended to extend through 2017 VA authority to provide for the performance of medical disability evaluations by contract physicians.

 Any person who is entitled to retired pay for non-regular (reserve) service or who, but for age, would be so entitled shall be honored as a veteran. A person shall not be entitled to any benefit by reason of such recognition.

 The VA may: (1) furnish rehabilitative equipment to any veteran who is entitled to a prosthetic appliance, and (2) appoint licensed hearing aid specialists to the Veterans Health Administration.",,,"The bill addresses internal management and accountability within the Department of Veterans Affairs, focusing on employee performance and misconduct, which does not involve private employer conduct or corporate misconduct."
s1055-112,112,2011-05-24,"A bill to amend the Internal Revenue Code of 1986 to encourage teachers to pursue teaching science, technology, engineering, and mathematics subjects at elementary and secondary schools.",National STEM Education Tax Incentive for Teachers Act of 2011,Taxation,"Education of the disadvantaged|Elementary and secondary education|Income tax credits|Science and engineering education|Student aid and college costs|Teaching, teachers, curricula",1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces a tax credit for teachers, which, while not directly regulating employer conduct, incentivizes them to pursue STEM education, potentially impacting the quality of the workforce and indirectly relating to employer benefits and skills.","National STEM Education Tax Incentive for Teachers Act of 2011 - Amends the Internal Revenue Code to allow certain full-time elementary and secondary school teachers of mathematics, science, engineering, or technology courses a refundable tax credit for 10% of their undergraduate tuition up to $1,000 in any taxable year, limited to a 10-year period. Increases such credit amount to $1,500 for teachers in schools serving disadvantaged children.",,,"The bill provides a tax credit for teachers, which does not relate to corporate misconduct or private employer obligations."
s381-109,109,2005-02-15,A bill to amend the Internal Revenue Code of 1986 to encourage guaranteed lifetime income payments from annuities and similar payments of life insurance proceeds at dates later than death by excluding from income a portion of such payments.,Retirement Security for Life Act of 2005,Taxation,Annuities|Cost of living adjustments|Income tax|Indexing (Economic policy)|Life insurance|Tax exclusion|Tax-deferred compensation plans,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces a tax exclusion for guaranteed payments from annuities and life insurance contracts, which relates to retirement benefit plans and could incentivize employers to offer these plans.","Retirement Security for Life Act of 2005 - Amends the Internal Revenue Code to allow an exclusion from gross income for 50 percent of the amount otherwise includible in gross income as guaranteed payments from certain annuity or life insurance contracts. Limits the amount of such exclusion to $20,000 in any taxable year. Provides for an inflation adjustment of the $20,000 limitation beginning in 2007.",,,"The bill provides a tax exclusion for annuity and life insurance payments, which does not relate to private employer wage or benefit obligations or any other category of corporate misconduct."
hr5810-110,110,2008-04-15,"To amend title V of the Social Security Act to provide grants for school-based mentoring programs for at risk teenage girls to prevent and reduce teen pregnancy, and to provide student loan forgiveness for mentors participating in such programs.",Mentor-Mentee Teen Pregnancy Reduction Act of 2008,Education,Child development|Child welfare|Compensatory education|Counseling|Elementary and secondary education|Elementary education|Federal aid to education|Federally-guaranteed loans|Government lending|Higher education|Mentoring|Secondary education|Sex education|Sexual abstinence|Student loan funds|Teacher education|Teenage pregnancy|Women,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces student loan forgiveness for mentors participating in school-based teen pregnancy prevention programs, which incentivizes individuals to serve in a role that supports at-risk teenage girls, indirectly relating to potential future wage and benefit considerations.","Mentor-Mentee Teen Pregnancy Reduction Act of 2008 - Amends title V (Maternal and Child Health Services) of the Social Security Act to direct the Secretary of Health and Human Services to award competitive grants to local educational agencies or community-based organizations for the creation of school-based programs that provide mentoring to at-risk teenage girls to prevent and reduce teen pregnancy. Requires program mentors to be women who: (1) have received at least a baccalaureate degree from an institution of higher education; (2) are mentoring no more than two program mentees; and (3) are trained and screened to encourage mentees to engage in responsible, goal-orientated behavior, delay their sexual activity, and increase their participation in school. Authorizes the Secretary to provide student loan forgiveness, under the Federal Family Education Loan, Direct Loan, or Perkins Loan programs of the Higher Education Act of 1965, to program mentors who serve for at least 200 hours in an academic year.",,,"The bill focuses on education and mentoring programs to reduce teen pregnancy, with no connection to corporate misconduct or private employer obligations."
hr6056-111,111,2010-07-30,"To amend the Internal Revenue Code of 1986 to treat certain employee-funded pensions created before June 25, 1959, in the same manner as qualified trusts for purposes of unrelated debt-financed income derived from real property, and to increase the limitation on elective deferrals to such employee-funded pensions.",,Taxation,Employee benefits and pensions|Income tax deferral|Real estate business|Tax-exempt organizations,1,Wage Hour & Benefits,tax_credit_introduction,"The bill relates to employee-funded pensions and increases contribution limits, which directly affects private employer benefit plans and incentivizes contributions, though it does not directly regulate or enforce conduct.","Amends the Internal Revenue Code to: (1) exempt certain tax-exempt employee-funded pension plans created before June 25, 1959, from rules imposing a tax on unrelated debt-financed income derived from real property; and (2) make the limits on contributions to such employee-funded pension plans equal to the limits allowed for other tax-exempt retirement accounts.",,,The bill addresses tax treatment of certain employee-funded pensions and does not involve private employer wage or benefit obligations or enforcement against corporate misconduct.
s3730-110,110,2008-12-10,"A bill to expand, train, and support all sectors of the health care workforce to care for the growing population of older individuals in the United States.",Retooling the Health Care Workforce for an Aging America Act of 2008,Health,Caregivers|Chronically ill|Department of Health and Human Services|Dislocated workers|Elementary and secondary education|Federal advisory bodies|Geriatrics|Gerontology|Governmental investigations|Higher education|Home care services|Long-term care|Medicaid|Medical education|Medical personnel|Medical research|Medicare|National Institutes of Health (NIH)|Nursing|Paramedical personnel|Research centers|Secondary education|Veterans' employment,1,Wage Hour & Benefits,enforcement,"The bill expands training requirements and coverage for assessments related to family caregiver support needs under Medicaid, directly affecting private employer obligations related to employee family leave and caregiving responsibilities.","Retooling the Health Care Workforce for an Aging America Act of 2008 - Amends the Public Health Service Act to require the Secretary of Health and Human Services to expand training for health professionals in the fields of geriatrics, long-term care, and chronic care management. Requires an analysis of the health and long-term care workforce.Amends the Workforce Investment Act of 1998 to provide for information to adults and dislocated workers about health care and long-term care occupations. Provides for information to veterans about training, internship, and employment opportunities in geriatrics, gerontology, and long-term care.Amends the Older Americans Act of 1965 to require the Assistant Secretary for Aging to: (1) develop family caregiver training materials; and (2) provide for the establishment and operation of a National Resource Center on Volunteers, Students, and Seniors to promote partnerships between entities in the aging network and institutions of higher education and secondary schools.Requires the Secretary to: (1) provide for the development of core training competencies for personal or home care aides and additional training content for nurse aides and home health aides; and (2) establish a panel of long-term care workforce experts.Provides for the development of information and referral protocols for family caregivers of Medicare beneficiaries.Amends title XIX (Medicaid) of the Social Security Act to provide for coverage of assessments of family caregiver support needs.Provides for studies on: (1) the mental health workforce; (2) the aging network's capacity to meet current and future needs; (3) retention and tenure of nurse aides and home health aides; and (4) spending by the National Institutes of Health (NIH) on conditions and illnesses that disproportionately impact the health of older individuals.",,,"The bill focuses on expanding and training the healthcare workforce for geriatrics and long-term care, which does not directly relate to corporate misconduct or enforcement against private employers."
s1292-110,110,2007-05-03,"A bill to amend the Federal Meat Inspection Act and the Poultry Products Inspection Act to improve the safety of meat and poultry products by enhancing the ability of the Secretary of Agriculture to retrieve the history, use, and location of a meat or poultry product through a recordkeeping and audit system or registered identification, and for other purposes.",Meat and Poultry Products Traceability and Safety Act of 2007,Agriculture and Food,Agricultural estimating and reporting|Business records|Cattle|Food industry|Food safety|Fraud|Goats|Government paperwork|Horses|Identification devices|Livestock|Meat inspection|Meat packing industry|Poultry|Produce trade|Sheep|Swine,1;12,"Wage Hour & Benefits;Fraud, Corruption & Criminal Conduct",enforcement,"The bill aims to improve the safety of meat and poultry products through enhanced recordkeeping and audit systems, which could uncover fraud related to the origin and handling of these products, and directly regulates private employer conduct related to food safety and traceability.","Meat and Poultry Products Traceability and Safety Act of 2007 - Amends the Federal Meat Inspection Act and the Poultry Products Inspection Act to direct that amenable species presented for slaughter for human consumption, and the carcasses or parts of carcasses and the meat and food products of those animals, shipped in interstate commerce be identified in a manner that enables the Secretary of Agriculture to trace: (1) each animal or group of animals to any location at which the animal was held at any time before slaughter; and (2) each carcass or part of a carcass and food and food product forward from slaughter through processing and distribution to the ultimate consumer. Authorizes the Secretary to: (1) prohibit or restrict entry to a slaughtering establishment of an animal not so identified; and (2) require that each person, firm, or corporation required to identify livestock maintain accurate records. Directs the Secretary to establish a traceability system for all stages of production, processing, and distribution of meat and meat food products and poultry and poultry food products.",5,enforcement,"The bill enhances regulatory requirements for traceability and recordkeeping in the meat and poultry industry, directly relating to consumer safety by improving the ability to track and manage food safety issues."
s1229-108,108,2003-06-10,"A bill to amend chapter 23 of title 5, United States Code, to clarify the disclosures of information protected form prohibited personnel practices, require a statement in nondisclosure policies, forms, and agreements that such policies, forms, and agreements conform with certain disclosure protections, provide certain authority for the Special Counsel, and for other purposes.",Federal Employee Protection of Disclosure Act,Government Operations and Politics,Administrative remedies|Appellate courts|Civil actions and liability|Classified defense information|Congressional investigations|Congressional oversight|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Employee rights|Evidence (Law)|Executive orders|Federal employees|Government attorneys|Government paperwork|Governmental investigations|Information leaking|Infrastructure|Infrastructure (Economics)|Judicial review|Jurisdiction|Legal fees|Merit Systems Protection Board|Office of Special Counsel|Parties to actions|Personnel management|Promotions|Security clearances|Security measures|Waste in government spending|Whistle blowing,1;24,Wage Hour & Benefits;Government Reporting & Compliance,enforcement,"The bill strengthens protections for federal employee whistleblowers reporting waste, fraud, and abuse, and clarifies disclosure requirements in nondisclosure policies, which indirectly relates to employer conduct and potential retaliation, and addresses reporting requirements related to FEC and political contributions.","Federal Employee Protection of Disclosures Act - Includes as a protected disclosure by a Federal employee any lawful disclosure an employee or applicant reasonably believes is credible evidence of waste, fraud, abuse, or gross mismanagement, without restriction as to time, place, form, motive, context, or prior disclosure. Allows a presumption relating to the performance of a duty by an employee to be rebutted by substantial evidence.Requires each non-disclosure policy, form, or agreement to contain a statement that the restrictions are consistent with and do not supersede specified employee obligations, rights, or liabilities. Authorizes the Merit Systems Protection Board or any reviewing court, in any appeal relating to a suspension or other action relating to a security clearance, to determine whether there was a violation of prohibited personnel practices. Prohibits the Board from ordering the President to restore the clearance, but authorizes the Board to issue declaratory and other appropriate relief. Authorizes the Board to impose disciplinary action, a civil penalty, or a combination against employees found to have committed a prohibited personnel practice. Requires each agency to establish a process for providing confidential advice to employees on making lawful disclosures to Congress of information required to be kept secret in the interests of national defense or the conduct of foreign affairs. Permits representation by attorneys for the Office of the Special Counsel in civil actions brought in connection with such disclosures of information or provisions relating to political activities. Authorizes the Office of Personnel Management to obtain judicial review of Board decisions. Amends the Homeland Security Act of 2002 to provide that, for purposes of provisions regarding the protection of voluntarily shared critical infrastructure information, a permissible use of independently obtained critical infrastructure information includes any lawful disclosure an employee or applicant reasonably believes is credible evidence of waste, fraud, abuse, or gross mismanagement, without restriction as to time, place, form, motive, context, or prior disclosure.",,,"The bill focuses on protections for federal employees making disclosures about government operations, not on private employer conduct or corporate misconduct."
hr3786-110,110,2007-10-09,To amend the Servicemembers Civil Relief Act to allow individuals called to military service to terminate telecommunications contracts entered into before the individual receives notice of a permanent change of station or deployment orders.,Servicemembers Telecom Contract Relief Act,Armed Forces and National Security,Armed forces abroad|Cable television|Contracts|Internet|Iraq compilation|Military personnel|Telephone|Television relay systems|Wireless communication,1,Wage Hour & Benefits,enforcement,"The bill allows servicemembers to terminate telecommunications contracts without penalty upon receiving deployment orders, which relates to protections for employees called to military service and indirectly affects employer contract obligations.","Servicemembers Telecom Contract Relief Act - Allows a person in military service to terminate a telecommunications contract for cellular phone service, cable or satellite television service, or internet service at any time after: (1) entry into military service; or (2) the date of the station or deployment orders. Requires for termination that: (1) the contract is executed by or on behalf of a person who thereafter and during the term of the contract enters military service (or receives order to enter military service) under an order specifying a period of not less than 90 days (or who enters military service under an order specifying a period of 90 days or less and who, without a break in service, receives orders extending the period of military service to a period of not less than 90 days); or (2) the person enters into the contract while in military service and thereafter receives military orders for a permanent change of station outside of the continental United States, or to deploy with a military unit for a period of not less than 90 days, to a location that does not support continuation of the service under the contract.",,,"The bill addresses contract termination rights for servicemembers, which does not involve corporate misconduct or enforcement against private employers."
s109-116,116,2019-01-10,A bill to prohibit taxpayer funded abortions.,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2019,"Civil Rights and Liberties, Minority Issues","Abortion|Appropriations|Assault and harassment offenses|Comprehensive health care|Consumer affairs|Crimes against women|Employee benefits and pensions|Government buildings, facilities, and property|Health care costs and insurance|Health care coverage and access|Health facilities and institutions|Health programs administration and funding|Income tax credits|Sex offenses|Small business",1,Wage Hour & Benefits,enforcement,"The bill prohibits the use of federal funds for abortions and health coverage that includes abortions, which impacts employer-provided health insurance benefits and potentially ERISA obligations.","No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2019

This bill modifies provisions relating to federal funding for, and health insurance coverage of, abortions.

Specifically, the bill prohibits the use of federal funds for abortions or for health coverage that includes abortions. Such restrictions extend to the use of funds in the budget of the District of Columbia. Additionally, abortions may not be provided in a federal health care facility or by a federal employee.

Historically, language has been included in annual appropriations bills for the Department of Health and Human Services (HHS) that prohibits the use of federal funds for abortions—such language is commonly referred to as the Hyde Amendment. Similar language is also frequently included in appropriations bills for other federal agencies and the District of Columbia. The bill makes these restrictions permanent and extends the restrictions to all federal funds (rather than specific agencies).

The bill's restrictions regarding the use of federal funds do not apply in cases of rape, incest, or where a physical disorder, injury, or illness endangers a woman's life unless an abortion is performed. The Hyde Amendment provides the same exceptions.

The bill also prohibits qualified health plans from including coverage for abortions. Currently, qualified health plans may cover abortion, but the portion of the premium attributable to abortion coverage is not eligible for subsidies.",,,"The bill addresses federal funding and insurance coverage for abortions, which does not involve private employer misconduct or corporate regulation."
hr5556-110,110,2008-03-06,To amend the Internal Revenue Code of 1986 to allow certain individuals who have attained age 50 and who are unemployed to receive distributions from qualified retirement plans without incurring a 10 percent additional tax.,,Taxation,Age and employment|Income tax|Pension funds|Tax exclusion|Tax penalties|Tax-deferred compensation plans|Unemployment|Unemployment insurance,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces a tax incentive (removal of the 10% penalty) for individuals accessing retirement funds while unemployed, which indirectly relates to private employer wage and benefit conduct by potentially reducing financial hardship for those who have lost employment.",Amends the Internal Revenue Code to make the 10% additional tax on early distributions from qualified retirement plans inapplicable to individuals who have attained the age of 50 and who have been receiving unemployment compensation for 12 consecutive weeks.,,,"The bill modifies tax penalties for early retirement plan distributions for unemployed individuals, which does not relate to private employer wage or benefit obligations or enforcement against corporate misconduct."
hr2197-111,111,2009-04-30,"To assist the Administrator of the Small Business Administration to determine whether a franchisee is affiliated with a franchisor in the temporary employee services industry, and for other purposes.",Temporary Employees Franchise Improvement Act of 2009,Commerce,Administrative law and regulatory procedures|Employment and training programs|Small Business Administration|Small business|Temporary and part-time employment,1,Wage Hour & Benefits,enforcement,"The bill relates to the determination of employer affiliation for SBA purposes in the temporary employee services industry, which impacts wage and hour obligations under the FLSA and other labor laws.","Temporary Employees Franchise Improvement Act of 2009 - Directs the Administrator of the Small Business Administration (SBA), in determining whether a franchisee is affiliated with a franchisor in the temporary employee services industry (industry), to: (1) continue to apply historically considered affiliation factors; (2) promulgate necessary rules and regulations to determine affiliation in a manner consistent with the Small Business Act; and (3) consider the processing of payroll and billing by a franchisor as customary and common practice in the industry that does not provide probative weight on affiliation, to the extent that temporary staffing personnel are interviewed, hired, trained, assigned, and subject to discharge by the franchisee.",,,"The bill addresses the determination of affiliation between franchisees and franchisors in the temporary employee services industry, which does not directly relate to any specific category of corporate misconduct enforcement."
s273-113,113,2013-02-11,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1,Wage Hour & Benefits,enforcement,"The bill modifies ERISA fiduciary duties related to ESOPs, directly affecting the obligations of private employers managing employee retirement plans.",Amends the Employee Retirement Income and Security Act of 1974 (ERISA) to exclude appraisers of employee stock ownership plans (ESOPs) from the meaning of a fiduciary subject to ERISA.,1,enforcement,"Modifies ERISA fiduciary definitions, affecting private employer obligations related to employee pension and retirement benefit plans."
s1145-107,107,2001-06-29,"A bill to amend the Internal Revenue Code of 1986 to extend the work opportunity credit to encourage the hiring of certain veterans, and for other purposes.",Veterans Opportunity to Work Act,Taxation,Business income tax|Employment of the disadvantaged|Employment tax credits|Income tax|Veterans' employment,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces a tax credit to encourage the hiring of certain veterans, which relates to private employer wage and benefit conduct by incentivizing employment.","Veterans Opportunity to Work Act - Amends the Internal Revenue Code to include a ""qualified low-income veteran"" (a veteran whose gross income for the preceding taxable year was below the poverty line) as a member of a targeted group for purposes of computing the work opportunity credit. Provides special rules for determining the credit amount, and makes the credit permanent with respect to such veterans.",2,tax_credit_introduction,"Extends the Work Opportunity Tax Credit to incentivize hiring of low-income veterans, relating to employment discrimination by encouraging the hiring of disadvantaged groups."
