unique_id,primary_offense_new
7712501,environmental violation
7692847,environmental violation
7709914,environmental violation
7712387,environmental violation
7700331,air pollution violation
7703196,pesticide violation
7712554,pesticide violation
7707539,water pollution violation
7699313,environmental violation
7700945,environmental violation
3689593,water pollution violation
7695913,water pollution violation
7696349,hazardous waste violation
7711209,water pollution violation
7710971,water pollution violation
7705553,air pollution violation
7705563,air pollution violation
7708509,air pollution violation
7711517,water pollution violation
7698120,environmental violation
7711518,water pollution violation
3664864,water pollution violation
3664796,air pollution violation
7694898,environmental violation
7692909,PCB violation
7695608,air pollution violation
7709674,hazardous waste violation
7695952,environmental violation
7696422,environmental violation
7699407,air pollution violation
7709475,hazardous waste violation
7694051,water pollution violation
7693603,environmental violation
7695876,air pollution violation
5190389,oil spill
7708682,air pollution violation
7697355,water pollution violation
7695705,hazardous waste violation
7706334,hazardous waste violation
7710252,hazardous waste violation
7709043,hazardous waste violation
7711979,air pollution violation
7711999,air pollution violation
7712112,air pollution violation
7712045,air pollution violation
7702587,air pollution violation
7702821,air pollution violation
7702369,air pollution violation
7707847,environmental violation
5191569,environmental violation
7703354,hazardous waste violation
7703403,environmental violation
7702758,air pollution violation
7699134,environmental violation
7708777,air pollution violation
7710352,air pollution violation
7698003,environmental violation
3667841,solid waste violation
7705860,hazardous waste violation
7694087,environmental violation
3668353,solid waste violation
7704604,environmental violation
7693326,air pollution violation
7696828,oil spill
7696541,water pollution violation
7704229,water pollution violation
7706181,air pollution violation
7704628,water pollution violation
7705212,water pollution violation
3186646,oil spill
3667189,solid waste violation
7711892,air pollution violation
3192868,air pollution violation
7712210,air pollution violation
7707359,hazardous waste violation
7704313,hazardous waste violation
7712386,environmental violation
3670649,water pollution violation
7695162,environmental violation
7695857,environmental violation
7697994,environmental violation
7699110,environmental violation
7707310,hazardous waste violation
7695826,environmental violation
7703073,environmental violation
3680085,water pollution violation
7705580,air pollution violation
7705176,air pollution violation
7705266,hazardous waste violation
7700870,environmental violation
7703356,hazardous waste violation
7695605,environmental violation
7706264,air pollution violation
7706329,air pollution violation
7712619,air pollution violation
7697456,air pollution violation
7708772,air pollution violation
7710299,hazardous waste violation
3732411,pesticide violation
7693304,air pollution violation
7703568,hazardous waste violation
7704069,hazardous waste violation
7698781,environmental violation
7705795,hazardous waste violation
7709735,pesticide violation
7711575,pesticide violation
7709150,pesticide violation
7706828,pesticide violation
7696968,environmental violation
7702032,hazardous waste violation
7704344,pesticide violation
7709726,air pollution violation
7709727,environmental violation
7710514,pesticide violation
7712326,environmental violation
7697715,environmental violation
7701974,environmental violation
16229,oil spill
16156,oil spill
7696450,underground storage tank violation
7712580,water pollution violation
7698855,water pollution violation
16114,water pollution violation
7696217,water pollution violation
7699571,water pollution violation
7696642,water pollution violation
7695960,hazardous waste violation
3705797,mining environmental violation
7707107,pesticide violation
7706778,pesticide violation
7693801,environmental violation
7706511,air pollution violation
3186698,environmental violation
3186700,water pollution violation
7700686,air pollution violation
7701089,environmental violation
7701654,air pollution violation
7708084,air pollution violation
3679798,underground storage tank violation
3699962,environmental violation
7697930,air pollution violation
7699213,oil spill
7707271,oil spill
7712102,air pollution violation
7704005,air pollution violation
7701016,air pollution violation
7698906,environmental violation
7692814,water pollution violation
7697019,oil spill
7694665,water pollution violation
7692222,air pollution violation
7694401,water pollution violation
7712219,air pollution violation
7712599,air pollution violation
7696691,water pollution violation
7712208,air pollution violation
7703878,oil spill
7712637,air pollution violation
7704026,oil spill
6796920,air pollution violation
7703821,environmental violation
7700910,environmental violation
7692974,water pollution violation
7705925,hazardous waste violation
99495,water pollution violation
7702309,environmental violation
7692455,air pollution violation
7701505,air pollution violation
7710694,air pollution violation
7711172,water pollution violation
7695907,air pollution violation
16304,air pollution violation
7694024,air pollution violation
7704479,air pollution violation
7706680,air pollution violation
7698371,air pollution violation
7709601,pesticide violation
5191574,pesticide violation
7710269,pesticide violation
3702296,oil or gas drilling violation
3702297,oil or gas drilling violation
3702298,oil or gas drilling violation
3702299,oil or gas drilling violation
3702300,oil or gas drilling violation
7704754,air pollution violation
7700326,air pollution violation
7707684,hazardous waste violation
3964835,PFAS violation
7712492,environmental violation
7705808,air pollution violation
7697296,asbestos violation
7698630,PCB violation
7698896,air pollution violation
7698936,environmental violation
7699164,environmental violation
7699252,air pollution violation
7700069,air pollution violation
7705877,air pollution violation
7701961,air pollution violation
7705923,hazardous waste violation
7710542,PCB violation
7697508,air pollution violation
7692427,environmental violation
7692846,environmental violation
3689485,environmental violation
7712213,air pollution violation
7703921,hazardous waste violation
7692921,air pollution violation
7695425,hazardous waste violation
7706358,environmental violation
7695207,environmental violation
7698612,environmental violation
7699821,hazardous waste violation
99840,environmental violation
7694313,environmental violation
7700023,environmental violation
7700187,water pollution violation
7697054,hazardous waste violation
7707415,environmental violation
7696903,pesticide violation
7701573,pesticide violation
7699625,environmental violation
7699175,pesticide violation
7698774,environmental violation
7699649,environmental violation
7701566,pesticide violation
7695350,pesticide violation
7710738,pesticide violation
7703164,air pollution violation
7703134,air pollution violation
7701656,air pollution violation
7701380,hazardous waste violation
7701647,air pollution violation
208102,environmental violation
7698233,air pollution violation
7701099,hazardous waste violation
7705477,hazardous waste violation
7695802,environmental violation
7712345,environmental violation
7712499,environmental violation
7696096,oil spill
7696100,water pollution violation
19,hazardous waste violation
49,hazardous waste violation
99777,environmental violation
7696226,air pollution violation
7699473,environmental violation
7702167,pesticide violation
7695690,water pollution violation
7695854,environmental violation
7698475,pesticide violation
7701846,air pollution violation
7700233,air pollution violation
3659070,water pollution violation
7698013,environmental violation
7698125,environmental violation
7693120,hazardous waste violation
3667868,water pollution violation
7695571,pesticide violation
7695825,water pollution violation
7696328,air pollution violation
7694925,PCB violation
7708910,environmental violation
7698134,environmental violation
7712335,environmental violation
7701611,environmental violation
7700908,environmental violation
7701200,air pollution violation
7706638,air pollution violation
7699320,environmental violation
7706277,environmental violation
7711920,air pollution violation
7710988,air pollution violation
7700257,environmental violation
7698239,environmental violation
7693442,hazardous waste violation
208148,environmental violation
3186803,hazardous waste violation
7712299,environmental violation
7712300,environmental violation
7695322,hazardous waste violation
7712500,environmental violation
7712510,environmental violation
63,environmental violation
106,environmental violation
7710928,oil spill
6797023,underground storage tank violation
7700743,environmental violation
7703000,hazardous waste violation
7703001,hazardous waste violation
7700634,environmental violation
7692301,environmental violation
7695364,water pollution violation
7696142,air pollution violation
7694673,environmental violation
7710918,hazardous waste violation
37,hazardous waste violation
7710604,hazardous waste violation
7712332,environmental violation
3689315,air pollution violation
7693971,hazardous waste violation
7696418,environmental violation
7712432,air pollution violation
7711243,environmental violation
7711428,environmental violation
7700205,air pollution violation
3701018,oil or gas drilling violation
3701061,oil or gas drilling violation
3701129,oil or gas drilling violation
3701168,oil or gas drilling violation
3701332,oil or gas drilling violation
3701333,oil or gas drilling violation
3701439,oil or gas drilling violation
3701455,oil or gas drilling violation
3701456,oil or gas drilling violation
3701983,oil or gas drilling violation
3702146,oil or gas drilling violation
3702147,oil or gas drilling violation
3702234,oil or gas drilling violation
3702235,oil or gas drilling violation
7705390,water pollution violation
3701169,oil or gas drilling violation
3701507,oil or gas drilling violation
3702201,oil or gas drilling violation
7698810,hazardous waste violation
3678112,radioactive waste violation
7700528,environmental violation
7702594,air pollution violation
7702544,water pollution violation
7699432,air pollution violation
7699800,environmental violation
4687467,environmental violation
7695288,environmental violation
7694433,hazardous waste violation
7698420,environmental violation
7703152,air pollution violation
7696009,hazardous waste violation
7693819,environmental violation
7701652,air pollution violation
7700003,environmental violation
7694135,air pollution violation
7698594,environmental violation
7705776,environmental violation
3667555,underground storage tank violation
7696139,underground storage tank violation
7711024,water pollution violation
7708374,oil spill
7694212,hazardous waste violation
7697247,hazardous waste violation
7703256,hazardous waste violation
7709743,hazardous waste violation
7696204,environmental violation
7702331,air pollution violation
7693577,water pollution violation
7694140,water pollution violation
7694470,air pollution violation
7701519,hazardous waste violation
7696201,hazardous waste violation
7699145,environmental violation
3703482,air pollution violation
3703594,air pollution violation
7698561,air pollution violation
7699911,PCB violation
7699954,water pollution violation
7700199,air pollution violation
7708143,environmental violation
7697095,air pollution violation
7697190,hazardous waste violation
7705460,environmental violation
7703815,environmental violation
7701292,water pollution violation
7695491,environmental violation
7701670,hazardous waste violation
7705865,hazardous waste violation
7705682,water pollution violation
7705576,water pollution violation
7711658,hazardous waste violation
7703851,environmental violation
7696740,air pollution violation
7711100,pesticide violation
7697105,pesticide violation
7692865,environmental violation
7696854,water pollution violation
7697257,water pollution violation
7712388,environmental violation
7694947,water pollution violation
7704517,environmental violation
3666242,air pollution violation
7698109,environmental violation
60,environmental violation
7709820,environmental violation
7709849,air pollution violation
7709803,hazardous waste violation
17,radioactive waste violation
7709821,environmental violation
192539,hazardous waste violation
7707076,hazardous waste violation
103,pesticide violation
7704481,air pollution violation
7701774,environmental violation
7698736,environmental violation
7702879,hazardous waste violation
7697269,environmental violation
7699683,water pollution violation
7694134,air pollution violation
7694509,environmental violation
7694837,pesticide violation
7694855,environmental violation
7695664,pesticide violation
7697197,air pollution violation
7699104,environmental violation
7699239,pesticide violation
7699890,environmental violation
7701629,air pollution violation
7701722,pesticide violation
7702276,pesticide violation
7702332,air pollution violation
7702642,hazardous waste violation
7702894,pesticide violation
7703024,water pollution violation
7703133,air pollution violation
7703165,water pollution violation
7704571,air pollution violation
7704921,pesticide violation
7705874,air pollution violation
7707525,pesticide violation
7709602,pesticide violation
7709797,hazardous waste violation
7711102,pesticide violation
7702960,environmental violation
7710727,pesticide violation
7705742,air pollution violation
7705637,air pollution violation
7696444,environmental violation
7699186,hazardous waste violation
7693698,environmental violation
7698031,environmental violation
7698272,environmental violation
7708904,environmental violation
7703991,environmental violation
7712423,environmental violation
7712271,environmental violation
7694540,environmental violation
7705132,environmental violation
7708574,air pollution violation
7708678,air pollution violation
7710829,environmental violation
7703198,PCB violation
7694138,air pollution violation
7694675,environmental violation
7694767,hazardous waste violation
7694771,hazardous waste violation
3668292,solid waste violation
3666473,underground storage tank violation
7695489,pesticide violation
7695531,pesticide violation
7695649,hazardous waste violation
7695460,underground storage tank violation
7701113,pesticide violation
7712414,environmental violation
7702616,air pollution violation
7701239,pesticide violation
7701250,pesticide violation
7696232,water pollution violation
7696713,air pollution violation
7706891,air pollution violation
100091,air pollution violation
7692996,pesticide violation
7696749,air pollution violation
7707217,pesticide violation
7707760,air pollution violation
7712571,pesticide violation
7694842,pesticide violation
7707082,air pollution violation
7710161,air pollution violation
7709163,environmental violation
7695671,air pollution violation
3964842,environmental violation
4199758,pesticide violation
7701105,pesticide violation
7701540,pesticide violation
7706260,environmental violation
7707589,pesticide violation
7712513,pesticide violation
16256,mining environmental violation
7710914,water pollution violation
7710993,environmental violation
7712324,pesticide violation
7708617,water pollution violation
7695980,hazardous waste violation
7700501,pesticide violation
3192871,environmental violation
7702273,pesticide violation
7700750,pesticide violation
7708223,water pollution violation
7699833,water pollution violation
3668340,water pollution violation
3666950,air pollution violation
7695823,water pollution violation
7698088,water pollution violation
7699832,water pollution violation
7699834,water pollution violation
7711738,air pollution violation
7697301,hazardous waste violation
7706933,hazardous waste violation
7694951,water pollution violation
7694952,water pollution violation
7694953,water pollution violation
7694954,water pollution violation
7693610,environmental violation
7693393,environmental violation
3645201,air pollution violation
7697077,hazardous waste violation
7699578,hazardous waste violation
7696065,hazardous waste violation
7696648,environmental violation
7695360,hazardous waste violation
7695703,environmental violation
7702827,air pollution violation
7701034,hazardous waste violation
7696284,environmental violation
7693075,environmental violation
7702653,pesticide violation
7704690,air pollution violation
7696676,hazardous waste violation
7699725,air pollution violation
7708750,water pollution violation
3679986,water pollution violation
3680061,water pollution violation
3679520,water pollution violation
7702212,environmental violation
3679521,water pollution violation
99798,hazardous waste violation
2098789,environmental violation
3688076,environmental violation
7707708,oil spill
7708577,oil spill
7711022,hazardous waste violation
7710413,hazardous waste violation
3705059,oil spill
3705021,oil spill
3688400,environmental violation
7695756,oil spill
7696118,drinking water violation
7695804,oil spill
3678379,environmental violation
7696051,water pollution violation
7696979,air pollution violation
7712092,air pollution violation
7696709,air pollution violation
7708144,pesticide violation
7693153,environmental violation
7700400,air pollution violation
7699708,air pollution violation
207999,air pollution violation
7709048,air pollution violation
7709310,air pollution violation
7710740,environmental violation
7698094,air pollution violation
16140,environmental violation
3687918,environmental violation
3688288,environmental violation
7705611,hazardous waste violation
7710476,environmental violation
7697451,hazardous waste violation
7699096,environmental violation
7698014,environmental violation
7712287,environmental violation
7705187,air pollution violation
7705763,oil spill
7712403,environmental violation
7695503,hazardous waste violation
7709935,air pollution violation
7712515,environmental violation
7708802,air pollution violation
7709753,PCB violation
7712532,environmental violation
7712542,environmental violation
7692304,hazardous waste violation
7705797,water pollution violation
7710938,environmental violation
7699008,hazardous waste violation
7697693,environmental violation
7698113,environmental violation
4933382,pesticide violation
7710268,pesticide violation
16258,environmental violation
7704962,water pollution violation
7701410,pesticide violation
7696727,environmental violation
7702333,air pollution violation
7698022,environmental violation
7695599,air pollution violation
7708044,air pollution violation
7697733,air pollution violation
7700967,air pollution violation
7699144,environmental violation
7697864,environmental violation
7703865,air pollution violation
7706366,air pollution violation
7708984,air pollution violation
7709398,hazardous waste violation
7692661,water pollution violation
7692729,environmental violation
7695641,underground storage tank violation
7697621,hazardous waste violation
7694079,environmental violation
7709321,environmental violation
7700360,hazardous waste violation
7695644,environmental violation
7708093,PCB violation
7702514,pesticide violation
7696809,hazardous waste violation
7697297,hazardous waste violation
3192647,environmental violation
7699225,air pollution violation
7712552,environmental violation
16292,environmental violation
7710478,air pollution violation
3688192,water pollution violation
7710173,air pollution violation
7704070,hazardous waste violation
7704039,environmental violation
7706688,hazardous waste violation
7696585,hazardous waste violation
7697960,environmental violation
3964894,environmental violation
7699427,air pollution violation
16273,oil spill
7701170,air pollution violation
3678913,oil spill
3666910,air pollution violation
7711470,water pollution violation
7711471,water pollution violation
7697236,oil spill
7705519,water pollution violation
7692931,air pollution violation
7707962,environmental violation
7695506,underground storage tank violation
7712206,air pollution violation
7695496,air pollution violation
7707966,oil spill
7703657,oil spill
7707991,water pollution violation
7708015,drinking water violation
3186704,mining environmental violation
7706194,oil spill
7710445,water pollution violation
43,mining environmental violation
3415418,mining environmental violation
7709589,environmental violation
3187353,environmental violation
7708182,oil spill
7708381,air pollution violation
7708558,water pollution violation
7708461,water pollution violation
7698234,air pollution violation
3658775,water pollution violation
3668680,solid waste violation
7708039,air pollution violation
7704567,environmental violation
3668741,underground storage tank violation
7703871,oil spill
7711046,drinking water violation
7710510,water pollution violation
7710495,water pollution violation
7700814,air pollution violation
7704216,water pollution violation
7700768,environmental violation
7705015,oil spill
7704296,water pollution violation
7705601,hazardous waste violation
7712525,hazardous waste violation
7711082,oil spill
7711316,oil spill
7711506,hazardous waste violation
7710752,oil spill
3657869,underground storage tank violation
7710446,water pollution violation
7699062,oil spill
7704572,asbestos violation
7704774,environmental violation
7698519,oil spill
3672566,water pollution violation
7696073,underground storage tank violation
7701786,air pollution violation
7711973,air pollution violation
7701486,air pollution violation
7701754,environmental violation
7703529,air pollution violation
7707706,oil spill
7702866,air pollution violation
7703023,water pollution violation
7711978,air pollution violation
7712215,air pollution violation
7705180,air pollution violation
7703069,water pollution violation
3197790,environmental violation
6486038,air pollution violation
7710553,environmental violation
7703232,air pollution violation
7703767,air pollution violation
7703769,air pollution violation
7696059,underground storage tank violation
3668224,underground storage tank violation
3675148,underground storage tank violation
7695680,underground storage tank violation
7702395,environmental violation
7705709,hazardous waste violation
7701997,air pollution violation
7703013,pesticide violation
7707079,air pollution violation
7700327,air pollution violation
7700455,environmental violation
7697853,environmental violation
7698264,environmental violation
7700015,environmental violation
7700151,environmental violation
7696900,hazardous waste violation
7710258,environmental violation
3653782,environmental violation
7706604,pesticide violation
7706179,air pollution violation
7694702,environmental violation
7702444,air pollution violation
7703561,environmental violation
7705752,air pollution violation
7705204,air pollution violation
7709521,environmental violation
3187412,environmental violation
7704530,water pollution violation
7692457,air pollution violation
7694376,air pollution violation
7694434,hazardous waste violation
7694025,air pollution violation
7712341,environmental violation
7694849,PCB violation
7694538,PCB violation
7712325,environmental violation
7708026,environmental violation
7699995,oil spill
7706088,hazardous waste violation
3689101,water pollution violation
7710765,oil spill
7696943,oil spill
7712484,environmental violation
7703329,air pollution violation
7702932,air pollution violation
7702577,air pollution violation
7695510,hazardous waste violation
7696103,hazardous waste violation
7700033,hazardous waste violation
3682813,water pollution violation
7704172,environmental violation
3194193,oil spill
7692966,air pollution violation
7712257,environmental violation
7708540,hazardous waste violation
7700443,hazardous waste violation
7704984,air pollution violation
7692377,water pollution violation
7692378,water pollution violation
7692379,water pollution violation
7692380,water pollution violation
7692381,water pollution violation
7692398,water pollution violation
7701845,air pollution violation
7701491,air pollution violation
7712067,air pollution violation
3668258,water pollution violation
3668556,solid waste violation
7710158,environmental violation
3659084,water pollution violation
3672274,water pollution violation
7704328,air pollution violation
7701482,air pollution violation
3187500,environmental violation
7706593,air pollution violation
7698079,air pollution violation
7700576,oil spill
3679681,water pollution violation
7701986,environmental violation
7705807,air pollution violation
7705643,air pollution violation
7702939,air pollution violation
7701266,environmental violation
7707046,air pollution violation
7706928,air pollution violation
7695540,environmental violation
7692644,air pollution violation
7695731,environmental violation
7698130,environmental violation
7700075,air pollution violation
7699227,air pollution violation
7692643,hazardous waste violation
7705454,pesticide violation
7709979,air pollution violation
7704148,environmental violation
3676558,environmental violation
7696346,hazardous waste violation
7704974,air pollution violation
7692564,environmental violation
7695685,hazardous waste violation
7696425,water pollution violation
7699415,animal feeding operation violation
3666562,solid waste violation
3667011,solid waste violation
7712479,air pollution violation
7704659,water pollution violation
16253,animal feeding operation violation
7704382,animal feeding operation violation
7704540,animal feeding operation violation
3668622,solid waste violation
7709489,air pollution violation
7709497,air pollution violation
7708763,environmental violation
7708783,air pollution violation
7705178,air pollution violation
7705685,water pollution violation
7705174,air pollution violation
7706076,hazardous waste violation
7704820,air pollution violation
7706684,hazardous waste violation
7709236,air pollution violation
3190427,water pollution violation
3672070,water pollution violation
7698698,oil spill
7703262,hazardous waste violation
3187597,hazardous waste violation
7704694,oil spill
7698687,oil spill
7698688,oil spill
7699215,oil spill
7708569,water pollution violation
7693941,oil spill
7708232,hazardous waste violation
7697020,environmental violation
7704840,oil spill
7708199,oil spill
7704942,drinking water violation
7705147,drinking water violation
7705152,water pollution violation
7705386,water pollution violation
7705524,water pollution violation
7705436,water pollution violation
7705437,water pollution violation
7704901,water pollution violation
7705324,oil spill
3678272,radioactive waste violation
3678484,radioactive waste violation
7707423,hazardous waste violation
7707063,pesticide violation
7704326,air pollution violation
7695273,water pollution violation
7707358,oil spill
7703448,environmental violation
7702972,air pollution violation
7696402,environmental violation
7697220,air pollution violation
7705702,hazardous waste violation
7699795,environmental violation
7704361,environmental violation
7706417,water pollution violation
7706569,air pollution violation
7707955,hazardous waste violation
7709877,water pollution violation
3658217,water pollution violation
7698073,air pollution violation
7698845,water pollution violation
7700056,water pollution violation
7701303,air pollution violation
7702810,drinking water violation
7708163,air pollution violation
7712314,air pollution violation
3670851,water pollution violation
3671971,air pollution violation
7693235,environmental violation
7698690,oil spill
7700531,environmental violation
7707431,air pollution violation
3189152,water pollution violation
7705135,environmental violation
7703837,environmental violation
7711721,water pollution violation
7708578,air pollution violation
7693943,environmental violation
7700715,pesticide violation
7712416,environmental violation
7698897,air pollution violation
7699712,air pollution violation
7705182,air pollution violation
7702921,air pollution violation
7703558,environmental violation
7700523,environmental violation
3665611,air pollution violation
7702103,air pollution violation
7706022,air pollution violation
3673150,water pollution violation
7699001,hazardous waste violation
7696274,hazardous waste violation
7696308,hazardous waste violation
7693948,environmental violation
7707756,oil spill
7699237,air pollution violation
7698100,air pollution violation
3672318,water pollution violation
7703153,air pollution violation
7698372,air pollution violation
3658095,water pollution violation
7702832,air pollution violation
7701506,air pollution violation
7701906,air pollution violation
7696335,air pollution violation
7710455,air pollution violation
3187687,air pollution violation
3185303,environmental violation
3190263,air pollution violation
7711085,water pollution violation
4690666,environmental violation
7710456,air pollution violation
7695624,pesticide violation
7695533,environmental violation
7697037,air pollution violation
3662911,environmental violation
7709278,environmental violation
3186165,environmental violation
99865,environmental violation
7692936,water pollution violation
7692937,oil spill
7710206,air pollution violation
3679408,water pollution violation
7702239,oil spill
7702429,air pollution violation
7706734,air pollution violation
7711852,air pollution violation
7711941,air pollution violation
7711845,air pollution violation
7711848,air pollution violation
1891672,environmental violation
7705343,environmental violation
7708946,environmental violation
7706934,hazardous waste violation
16207,oil spill
7698167,hazardous waste violation
7696172,air pollution violation
7701801,air pollution violation
7702584,air pollution violation
7698586,environmental violation
7703639,air pollution violation
7705534,air pollution violation
7705998,air pollution violation
7695361,air pollution violation
7697486,air pollution violation
7705256,environmental violation
7697302,water pollution violation
7706140,environmental violation
7705554,air pollution violation
3667973,solid waste violation
7701473,air pollution violation
7709632,air pollution violation
7701172,air pollution violation
7709311,air pollution violation
7704831,air pollution violation
7694623,water pollution violation
