bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,bill_category_qwen,reason_qwen,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet
s1076-115,"A bill to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to modify certain provisions relating to multiemployer pensions, and for other purposes.",Keep Our Pension Promises Act,Labor and Employment,"Art, artists, authorship|Bankruptcy|Employee benefits and pensions|Income tax deferral|Income tax exclusion|Pension Benefit Guaranty Corporation",1.0,enforcement,pension,"The bill amends ERISA to restore anti-cutback provisions and modify partition procedures for multiemployer pension plans, directly regulating private employer obligations regarding retirement benefits.",1,enforcement,pension,"The bill strengthens protections for participants in multiemployer pension plans by repealing the elimination of anti-cutback provisions and modifying ERISA procedures, directly impacting private employer obligations as pension plan sponsors.",1,enforcement,pension,"The bill strengthens private employer obligations under ERISA by repealing benefit cutback provisions, modifying partition procedures for multiemployer pension plans, and elevating pension obligations in bankruptcy priority—all directly regulating employer conduct regarding retirement benefit plans."
s4012-111,A bill to improve the employability of older Americans.,Incentives for Older Workers Act,Labor and Employment,Aging|Employee benefits and pensions|Employment and training programs|Employment discrimination and employee rights|Social security and elderly assistance|Wages and earnings,1.0,enforcement,pension,"The bill amends ERISA to prohibit private employers from reducing benefits for employees in defined benefit pension plans who enter phased retirement, directly imposing new mandatory conduct obligations on employers as plan sponsors.",1,enforcement,pension,"Prohibits reduction in benefits for employees under defined benefit pension plans during phased retirement, directly affecting private employer pension obligations under ERISA.",1,tax_credit_introduction,pension,"Bill primarily amends ERISA and IRC pension rules to regulate private employer obligations regarding phased retirement benefits and normal retirement age definitions, and introduces a new Work Opportunity Tax Credit for hiring older workers, making it both an enforcement and tax credit bill with pension provisions as the dominant focus."
hr4064-113,To amend the Internal Revenue Code of 1986 to provide that the individual health insurance mandate not apply until the employer health insurance mandate is enforced without exceptions.,FAIR Act of 2014,Taxation,"Comprehensive health care|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Tax administration and collection, taxpayers",1.0,enforcement,healthcare,"The bill addresses the enforcement of the ACA employer mandate, which imposes obligations on private employers to provide health insurance coverage to their employees, thereby regulating private employer conduct regarding group health benefit plans.",,,,"The bill delays the individual health insurance mandate until the employer mandate is enforced, but does not impose new obligations on private employers regarding wage, hour, or benefit compliance.",,,,"Bill addresses the timing of ACA individual and employer mandate enforcement but does not substantively regulate private employer wage, hour, or benefit obligations; it merely delays one mandate pending certification of another's enforcement."
hr5727-112,"To rebuild the American middle class by creating jobs, investing in our future, building opportunity for working families, and restoring balance to the tax code.",Rebuild America Act,Economics and Public Finance,"Administrative law and regulatory procedures|Advanced technology and technological innovations|Advisory bodies|Aging|Alternative and renewable resources|Army Corps of Engineers|Aviation and airports|Bankruptcy|Business investment and capital|Capital gains tax|Census and government statistics|Child care and development|Civil actions and liability|Community life and organization|Competitiveness, trade promotion, trade deficits|Congressional agencies|Congressional officers and employees|Congressional oversight|Contracts and agency|Corporate finance and management|Department of Labor|Department of the Treasury|Disability and paralysis|Domestic violence and child abuse|Economic development|Education programs funding|Educational facilities and institutions|Elementary and secondary education|Emergency planning and evacuation|Employee benefits and pensions|Employee hiring|Employee leave|Employment and training programs|Employment discrimination and employee rights|Employment taxes|Energy assistance for the poor and aged|Energy efficiency and conservation|Environmental health|Environmental regulatory procedures|Financial crises and stabilization|Financial services and investments|First responders and emergency personnel|Government Accountability Office (GAO)|Government employee pay, benefits, personnel management|Government information and archives|Government lending and loan guarantees|Government liability|Government studies and investigations|Government trust funds|Housing and community development funding|Human rights|Income tax credits|Income tax rates|Inflation and prices|Infrastructure development|International monetary system and foreign exchange|Labor-management relations|Law enforcement administration and funding|Law enforcement officers|Library of Congress|Manufacturing|Pension Benefit Guaranty Corporation|Poverty and welfare assistance|Preschool education|Public transit|Research and development",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to increase the minimum wage and revise salary thresholds for overtime pay, directly imposing new wage obligations on private employers.",1,enforcement,wage_hour,"Amends the Fair Labor Standards Act to increase the minimum wage and revise salary thresholds for overtime pay, directly affecting private employer wage obligations.",1,enforcement,wage_hour,"The bill increases the minimum wage and revises overtime salary thresholds under the Fair Labor Standards Act, directly tightening private employer wage obligations, and also includes provisions expanding ERISA pension protections and establishing paid sick leave requirements for private employers."
hr1534-112,"To amend the Internal Revenue Code of 1986 to encourage retirement savings by modifying requirements with respect to employer-established IRAs, and for other purposes.",SAVE Act of 2011,Taxation,"Administrative law and regulatory procedures|Consumer affairs|Department of Labor|Department of the Treasury|Elementary and secondary education|Employee benefits and pensions|Financial literacy|Income tax credits|Income tax deductions|Income tax deferral|Sales and excise taxes|Small business|Teaching, teachers, curricula",1.0,enforcement,pension,"The bill amends ERISA to impose new disclosure obligations on private employers regarding lifetime income from pension plans and annuities, and modifies rules for employer-established retirement accounts, directly regulating private employer conduct related to retirement benefits.",1,enforcement,pension,"Amends ERISA to permit payroll deduction plans for IRAs and requires disclosures relating to lifetime income from pension plans, imposing new obligations on private employers as plan sponsors.",1,enforcement,pension,"Amends ERISA and the Internal Revenue Code to impose new mandatory obligations on private employers regarding retirement plan arrangements, including automatic enrollment requirements and disclosure obligations for pension plans."
hr557-114,"To amend the Internal Revenue Code of 1986 to modify safe harbor requirements applicable to automatic contribution arrangements, and for other purposes.",Retirement Security Act of 2015,Taxation,"Administrative law and regulatory procedures|Department of the Treasury|Employee benefits and pensions|Financial services and investments|Income tax credits|Small business|Tax administration and collection, taxpayers",1.0,enforcement,pension,"The bill amends ERISA and the Internal Revenue Code to modify requirements for secure deferral arrangements, nondiscrimination rules, and employer matching contributions for private employer pension plans, directly regulating private employer obligations regarding retirement benefits.",1,enforcement,pension,"Amends ERISA to modify requirements for employer pension benefit plans, including nondiscrimination and matching contributions, directly affecting private employer obligations as plan sponsors.",1,enforcement,pension,"Amends ERISA and the Internal Revenue Code to modify employer obligations regarding pension benefit plans, including automatic contribution arrangements, matching contribution requirements, and multiple employer plan participation rules."
s305-114,A bill to protect American job creation by striking the Federal mandate on employers to offer health insurance.,American Job Protection Act,Health,Business records|Comprehensive health care|Employee benefits and pensions|Government information and archives|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Wages and earnings,1.0,enforcement,healthcare,"The bill repeals the ACA employer mandate and associated reporting requirements, directly altering the statutory obligations of private employers regarding the provision of employer-sponsored group health insurance coverage.",1,enforcement,healthcare,"Repeals the ACA employer mandate, removing the obligation for large private employers to offer health insurance, directly affecting employer-sponsored group health plan obligations under ERISA.",1,enforcement,healthcare,"Repeals the ACA employer mandate requiring large private employers to offer minimum essential health coverage to full-time employees, directly weakening private employer group health benefit obligations under ERISA-related provisions."
s150-112,"A bill to promote labor force participation of older Americans, with the goals of increasing retirement security, reducing the projected shortage of experienced workers, maintaining future economic growth, and improving the Nation's fiscal outlook.",Health Care and Training for Older Workers Act,Health,Aging|Disability assistance|Employment and training programs|Health care costs and insurance|Health care coverage and access|Performance measurement,1.0,enforcement,healthcare,"Amends ERISA to extend COBRA continuation coverage obligations for older workers, directly imposing new requirements on private employers as sponsors of group health benefit plans.",1,enforcement,healthcare,"Amends ERISA to extend COBRA continuation coverage for certain older workers, imposing a new healthcare coverage obligation on private employers as plan sponsors.",1,enforcement,healthcare,"Extends COBRA continuation coverage obligations for older workers, directly expanding private employer responsibilities under ERISA regarding employer-sponsored group health benefit plans."
hr4254-114,"To prohibit employers from requiring grocery store employees to enter into covenants not to compete, and for other purposes.",Freedom for Workers to Seek Opportunity Act,Labor and Employment,Civil actions and liability|Contracts and agency|Employee hiring|Employment discrimination and employee rights|Food industry and services|Labor-management relations|Retail and wholesale trades,1.0,enforcement,wage_hour,"The bill prohibits private grocery store employers from enforcing non-compete agreements, which are mechanisms used to suppress worker wages and bargaining power, and mandates the recognition of employee seniority and benefits during acquisitions, directly regulating private employer wage and benefit conduct.",1,enforcement,wage_hour,"Prohibits non-compete agreements for grocery store employees, directly regulating private employer wage conduct by enhancing employee mobility and bargaining power.",1,enforcement,wage_hour,"Prohibits private employers from imposing non-compete agreements on grocery store employees, directly regulating employer conduct that suppresses worker wages and mobility under FLSA enforcement mechanisms."
s1651-115,A bill to provide for temporary financing of short-time compensation programs.,Layoff Prevention Act of 2017,Labor and Employment,Intergovernmental relations|State and local government operations|Unemployment,1.0,enforcement,wage_hour,"The bill regulates private employer conduct regarding wage payments and work hours by establishing a framework for short-time compensation programs, which directly addresses employer obligations to compensate employees for reduced hours as an alternative to layoffs.",,,,"The bill provides temporary financing for state short-time compensation programs, which are voluntary and do not impose new wage or benefit obligations on private employers.",,,,"Bill establishes a state-administered unemployment insurance program (short-time compensation) as an alternative to layoffs; it does not regulate private employer wage, hour, or benefit obligations but rather creates a voluntary government benefit program funded through unemployment insurance mechanisms."
s2301-115,A bill to strengthen parity in mental health and substance use disorder benefits.,Behavioral Health Coverage Transparency Act of 2018,Health,"Accounting and auditing|Administrative law and regulatory procedures|Congressional oversight|Consumer affairs|Department of Health and Human Services|Department of Labor|Department of the Treasury|Drug, alcohol, tobacco use|Employee benefits and pensions|Executive agency funding and structure|Government information and archives|Health care costs and insurance|Health care coverage and access|Health care quality|Health information and medical records|Health programs administration and funding|Mental health",1.0,enforcement,healthcare,"The bill amends ERISA to impose new disclosure and audit obligations on private employers sponsoring group health plans to ensure compliance with mental health parity laws, directly regulating employer-sponsored benefit plan conduct.",1,enforcement,healthcare,"The bill amends ERISA to require employer-sponsored group health plans to disclose compliance with mental health parity laws, imposing new administrative obligations on private employers as plan sponsors.",1,enforcement,healthcare,"Strengthens enforcement of mental health parity requirements under ERISA by mandating annual disclosure of compliance analyses and random audits of employer-sponsored group health plans, directly tightening private employer obligations as plan sponsors."
hr2942-115,"To permit employees to request changes to their work schedules without fear of retaliation and to ensure that employers consider these requests, and to require employers to provide more predictable and stable schedules for employees in certain occupations with evidence of unpredictable and unstable scheduling practices that negatively affect employees, and for other purposes.",Schedules That Work Act,Labor and Employment,Civil actions and liability|Employee leave|Employment and training programs|Employment discrimination and employee rights|Food industry and services|Labor standards|Labor-management relations|Retail and wholesale trades|Wages and earnings|Worker safety and health,1.0,enforcement,wage_hour,"The bill imposes direct obligations on private employers regarding work scheduling practices, including requirements for advance notice, reporting time pay, and split shift pay, which are substantive wage and hour issues.",1,enforcement,wage_hour,"The bill enforces new requirements on private employers to provide predictable work schedules and prohibits retaliation against employees requesting schedule changes, directly regulating employer wage and hour obligations.",1,enforcement,wage_hour,"Imposes new wage and hour obligations on private employers, including reporting time pay, split shift pay, advance schedule notice requirements, and protections against retaliation for schedule change requests, directly regulating employer wage and hour practices under labor standards law."
s1651-113,A bill to amend the Internal Revenue Code of 1986 to allow manufacturing businesses to establish tax-free manufacturing reinvestment accounts to assist them in providing for new equipment and facilities and workforce training.,Manufacturing Reinvestment Account Act of 2013,Taxation,Business investment and capital|Income tax deductions|Income tax exclusion|Manufacturing,1.0,tax_credit_introduction,wage_hour,"The bill introduces a tax deduction (functioning as a tax credit/incentive) for manufacturing businesses to fund employee job training and workforce development, which qualifies under the exception for credits specifically tied to employer-provided job training.",,,,"The bill provides tax benefits for manufacturing reinvestment accounts, focusing on business investment and workforce training, not directly on private employer wage or benefit obligations.",1,tax_credit_introduction,wage_hour,"Introduces a tax-advantaged account allowing manufacturers to make tax-deductible contributions for workforce training and job development expenses, incentivizing private employers to invest in employee training programs."
s2617-113,A bill to repeal the wage rate requirements commonly known as the Davis-Bacon Act.,Davis-Bacon Repeal Act,Labor and Employment,"Building construction|Government buildings, facilities, and property|Labor standards|Public contracts and procurement|Wages and earnings",1.0,enforcement,wage_hour,"The bill repeals the Davis-Bacon Act, which imposes prevailing wage requirements on private contractors working on federally-funded construction projects, thereby directly altering private employer wage obligations.",1,enforcement,wage_hour,"Repeals the Davis-Bacon Act, eliminating prevailing wage requirements for private contractors on federally-funded projects, directly affecting private employer wage obligations.",1,enforcement,wage_hour,"Repeals the Davis-Bacon Act prevailing wage requirements that impose direct wage obligations on private contractors and subcontractors working on federally-funded construction projects, thereby weakening private employer wage compliance standards."
hr2654-114,"To eliminate discrimination and promote women's health and economic security by ensuring reasonable workplace accommodations for workers whose ability to perform the functions of a job are limited by pregnancy, childbirth, or a related medical condition.",Pregnant Workers Fairness Act,Labor and Employment,"Administrative law and regulatory procedures|Child care and development|Civil actions and liability|Employee hiring|Employee leave|Employment discrimination and employee rights|Equal Employment Opportunity Commission (EEOC)|Government employee pay, benefits, personnel management|Government liability|Sex and reproductive health|Sex, gender, sexual orientation discrimination|State and local government operations|Women's employment|Women's health",1.0,enforcement,wage_hour,"The bill imposes direct obligations on private employers to provide reasonable accommodations for pregnancy-related limitations, regulating employer conduct regarding leave and working conditions similar to FMLA protections.",1,enforcement,wage_hour,"The bill mandates reasonable workplace accommodations for pregnant workers, directly affecting private employer obligations related to employment conditions and leave, aligning with wage and hour issues.",1,enforcement,wage_hour,"Imposes new mandatory accommodation obligations on private employers for pregnancy-related limitations and prohibits retaliation, directly regulating employer conduct under employment discrimination and leave-related frameworks."
s2122-115,A bill to amend the Fair Labor Standards Act of 1938 regarding reasonable break time for nursing mothers.,Supporting Working Moms Act of 2017,Labor and Employment,Labor standards|Wages and earnings|Women's employment|Women's health|Worker safety and health,1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to extend mandatory break time requirements for nursing mothers to exempt employees, directly imposing new wage and hour obligations on private employers.",1,enforcement,wage_hour,"Extends FLSA break time requirements for nursing mothers to additional categories of employees, directly affecting private employer obligations under wage and hour laws.",1,enforcement,wage_hour,"Expands FLSA break time requirements for nursing mothers to cover exempt employees, directly strengthening private employer wage and hour obligations."
s1908-112,"A bill to amend the Internal Revenue Code of 1986 to clarify the employment tax treatment and reporting of wages paid by professional employer organization, and for other purposes.",,Taxation,"Accounting and auditing|Contracts and agency|Employment taxes|Licensing and registrations|Social security and elderly assistance|Tax administration and collection, taxpayers|User charges and fees|Wages and earnings",1.0,enforcement,wage_hour,"The bill clarifies and enforces employment tax obligations for wages paid by professional employer organizations (PEOs), directly regulating private employer conduct regarding wage reporting and payroll tax remittance.",,,,"The bill addresses the tax treatment and reporting of wages by professional employer organizations, focusing on tax administration rather than private employer wage or benefit obligations.",,,,"Bill addresses tax administration and employment tax reporting procedures for professional employer organizations, not private employer wage, hour, or benefit obligations under FLSA, ERISA, WARN, or FMLA."
hr1619-114,"To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",Paycheck Fairness Act,Labor and Employment,"Administrative law and regulatory procedures|Civil actions and liability|Employment discrimination and employee rights|Equal Employment Opportunity Commission (EEOC)|Government information and archives|Government studies and investigations|Public contracts and procurement|Racial and ethnic relations|Sex, gender, sexual orientation discrimination|Small business|Wages and earnings|Women's employment",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act (Equal Pay Act) to strengthen prohibitions against sex-based wage discrimination, revise the bona fide factor defense, and enhance remedies and enforcement mechanisms for private employers, directly regulating private employer wage obligations.",1,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to strengthen enforcement against sex-based wage discrimination, directly impacting private employer wage obligations.",1,enforcement,wage_hour,"Strengthens enforcement of equal pay requirements under the Fair Labor Standards Act by narrowing employer defenses for sex-based wage differentials, expanding remedies including punitive damages, and prohibiting employer retaliation against wage disclosure—all directly regulating private employer wage obligations."
hr3344-113,To ensure that the provision of foreign assistance does not contribute to human trafficking and to combat human trafficking by requiring greater transparency in the recruitment of foreign workers.,Fraudulent Overseas Recruitment and Trafficking Elimination Act of 2013,International Affairs,Administrative law and regulatory procedures|Administrative remedies|Business records|Civil actions and liability|Contracts and agency|Criminal justice information and records|Department of Labor|Employment discrimination and employee rights|Foreign aid and international relief|Foreign labor|Fraud offenses and financial crimes|Government information and archives|Human rights|Human trafficking|Labor standards|Legal fees and court costs|Licensing and registrations|User charges and fees|Visas and passports,1.0,enforcement,wage_hour,"The bill imposes direct regulatory obligations on private foreign labor contractors, including prohibitions on recruitment fees and requirements for contract transparency and registration, which constitute enforcement of wage and labor standards to prevent exploitation and trafficking.",,,,"The bill primarily addresses international human trafficking and foreign labor recruitment transparency, not private employer wage or benefit obligations.",1,enforcement,wage_hour,"The bill regulates foreign labor contractors who recruit workers for private U.S. employers, requiring disclosure of wages, work conditions, and contract terms, and prohibiting recruitment fees—directly addressing private employer wage and hour obligations under labor trafficking prevention laws."
hr2300-113,"To provide for incentives to encourage health insurance coverage, and for other purposes.",Empowering Patients First Act of 2013,Health,"Abortion|Administrative law and regulatory procedures|Administrative remedies|Alternative dispute resolution, mediation, arbitration|Budget deficits and national debt|Child health|Civil actions and liability|Competition and antitrust|Comprehensive health care|Congressional oversight|Consumer affairs|Contracts and agency|Department of Health and Human Services|Disability and health-based discrimination|Education programs funding|Employee benefits and pensions|Evidence and witnesses|Federal preemption|Fraud offenses and financial crimes|Government employee pay, benefits, personnel management|Government information and archives|Government lending and loan guarantees|Government studies and investigations|Government trust funds|Health care costs and insurance|Health care coverage and access|Health care quality|Health information and medical records|Health personnel|Health programs administration and funding|Health promotion and preventive care|Hospital care|Income tax credits|Income tax deductions|Intergovernmental relations|Licensing and registrations|Medicaid|Medical education|Medical ethics|Medical research|Medicare|Performance measurement|Poverty and welfare assistance|Religion|Right of privacy|Small business|State and local government operations|Student aid and college costs",1.0,enforcement,healthcare,"The bill amends ERISA to establish governance rules for association health plans and imposes specific obligations on employer-sponsored group health plans, such as allowing premium variations based on wellness program participation and requiring claims information disclosure to plan sponsors.",,,,"The bill primarily addresses health insurance coverage, tax credits for health insurance costs, and the establishment of health plans, without imposing new obligations on private employers regarding wage, hour, or benefit obligations under ERISA or similar statutes.",1,enforcement,healthcare,"The bill amends ERISA to establish association health plans and imposes requirements on private employers as group health plan sponsors, directly regulating employer-sponsored health benefit obligations."
s3060-114,A bill to provide an exception from certain group health plan requirements for qualified small employer health reimbursement arrangements.,Small Business Health Care Relief Act of 2016,Taxation,"Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Income tax exclusion|Small business|Tax administration and collection, taxpayers",1.0,enforcement,healthcare,"The bill amends ERISA and the ACA to exempt qualified small employer HRAs from certain group health plan requirements, directly regulating the obligations and compliance standards for private employers sponsoring these benefit plans.",1,enforcement,healthcare,"Exempts qualified small employer HRAs from certain group health plan requirements under ERISA, affecting private employer obligations as plan sponsors.",1,enforcement,healthcare,"Amends ERISA and related laws to exempt qualified small employer HRAs from group health plan requirements, directly modifying private employer obligations regarding employer-sponsored health benefit arrangements."
s3680-111,"A bill to amend the Family and Medical Leave Act of 1993 to permit leave to care for a same-sex spouse, domestic partner, parent-in-law, adult child, sibling, or grandparent who has a serious health condition.",Family and Medical Leave Inclusion Act,Labor and Employment,"Employee leave|Government employee pay, benefits, personnel management|Home and outpatient care|Marriage and family status|Sex, gender, sexual orientation discrimination",1.0,enforcement,wage_hour,"Amends the Family and Medical Leave Act (FMLA) to expand the definition of family members eligible for leave, thereby imposing new leave obligations on private employers.",1,enforcement,wage_hour,"Expands FMLA leave eligibility to include care for additional family members, directly affecting private employer obligations under the FMLA.",1,enforcement,wage_hour,"Expands FMLA leave protections to cover additional family relationships including same-sex spouses and domestic partners, directly strengthening private employer leave obligations under federal law."
