bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,reason_qwen,category_4o,bill_type_4o,reason_4o,category_sonnet,bill_type_sonnet,reason_sonnet
s1076-115,"A bill to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to modify certain provisions relating to multiemployer pensions, and for other purposes.",Keep Our Pension Promises Act,Labor and Employment,"Art, artists, authorship|Bankruptcy|Employee benefits and pensions|Income tax deferral|Income tax exclusion|Pension Benefit Guaranty Corporation",1.0,enforcement,"The bill strengthens ERISA protections by reinstating anti-cutback provisions for multiemployer pension plans and assigning priority to pension obligations in bankruptcy, directly regulating private employer obligations regarding employee retirement benefits.",1,enforcement,"The bill strengthens ERISA protections by repealing the elimination of pension anti-cutback provisions, directly affecting private employer obligations regarding multiemployer pension plans.",1,enforcement,"The bill strengthens ERISA protections by repealing benefit cutback provisions, expanding partition procedures for troubled multiemployer pension plans, and elevating pension obligations in bankruptcy priority—all directly tightening private employer obligations regarding employee retirement benefits."
s3462-112,A bill to provide anti-retaliation protections for antitrust whistleblowers.,Criminal Antitrust Anti-Retaliation Act,Commerce,"Administrative remedies|Civil actions and liability|Competition and antitrust|Criminal investigation, prosecution, interrogation|Employment discrimination and employee rights",1.0,enforcement,"The bill establishes anti-retaliation protections for whistleblowers reporting antitrust violations, which falls under the category of retaliating against employees for reporting protected activities covered by whistleblower statutes.",,,"The bill provides protections for antitrust whistleblowers, which does not directly relate to private employer wage, hour, or benefit obligations.",,,"This bill addresses antitrust whistleblower retaliation protections, which concern competition law violations rather than wage, hour, or benefit obligations that private employers owe their employees under FLSA, WARN, ERISA, or FMLA."
s4012-111,A bill to improve the employability of older Americans.,Incentives for Older Workers Act,Labor and Employment,Aging|Employee benefits and pensions|Employment and training programs|Employment discrimination and employee rights|Social security and elderly assistance|Wages and earnings,1.0,enforcement,"The bill amends ERISA to prohibit private employers from reducing pension benefits for employees in phased retirement, directly regulating employer obligations regarding retirement benefit plans.",,,"The bill primarily addresses retirement benefits and employment incentives for older workers, but does not impose new mandatory obligations on private employers regarding wage, hour, or benefit compliance under ERISA or related statutes.",1,tax_credit_introduction,"The bill introduces a new Work Opportunity Tax Credit for hiring older workers and modifies ERISA pension plan rules governing phased retirement benefits, combining tax incentives with direct employer benefit obligations under private pension plans."
hr4064-113,To amend the Internal Revenue Code of 1986 to provide that the individual health insurance mandate not apply until the employer health insurance mandate is enforced without exceptions.,FAIR Act of 2014,Taxation,"Comprehensive health care|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Tax administration and collection, taxpayers",1.0,enforcement,"The bill directly addresses the enforcement of the employer mandate to provide health care coverage, which imposes obligations on private employers regarding their employee benefit plans under the Affordable Care Act.",,,"The bill addresses the timing of the enforcement of the individual and employer health insurance mandates, but does not impose new obligations on private employers regarding wage, hour, or benefit compliance under ERISA or related statutes.",,,"Bill addresses the timing of individual and employer health insurance mandate enforcement under the ACA but does not impose new wage, hour, or benefit obligations on private employers; it merely delays individual mandate enforcement pending employer mandate implementation."
hr1-113,To amend the Internal Revenue Code of 1986 to provide for comprehensive tax reform.,Tax Reform Act of 2014,Taxation,"Accidents|Accounting and auditing|Administrative law and regulatory procedures|Adoption and foster care|Advisory bodies|Air quality|Alternative and renewable resources|Aviation and airports|Bank accounts, deposits, capital|Books and print media|Building construction|Business expenses|Business investment and capital|Capital gains tax|Caribbean area|Charitable contributions|Child care and development|Civil actions and liability|Coal|Competition and antitrust|Contracts and agency|Corporate finance and management|Department of the Treasury|Economic development|Electric power generation and transmission|Employee benefits and pensions|Employee hiring|Employment taxes|Endangered and threatened species|Energy efficiency and conservation|Environmental technology|Farmland|Foreign and international corporations|Foreign labor|Forests, forestry, trees|Gambling|General taxation matters|Government employee pay, benefits, personnel management|Government studies and investigations|Government trust funds|Great Plains|Hazardous wastes and toxic substances|Health care costs and insurance|Health technology, devices, supplies|Higher education|Housing finance and home ownership|Hybrid, electric, and advanced technology vehicles|Income tax credits|Income tax deductions|Income tax exclusion|Income tax rates|Indian social and development programs|Industrial facilities|Inflation and prices|Insurance industry and regulation|Intellectual property|Interest, dividends, interest rates|Internal Revenue Service (IRS)|Judges|Land transfers|Land use and conservation|Lawyers and legal services|Life, casualty, property insurance|Low- and moderate-income housing|Marine and inland water transportation|Marketing and advertising",1.0,enforcement,"The bill revises the tax treatment of employer-provided retirement plans and prohibits employers from establishing new SIMPLE 401(k) plans, directly regulating private employer obligations regarding employee pension and retirement benefits under ERISA-related frameworks.",,,"The bill primarily addresses comprehensive tax reform, including individual and corporate tax rates, deductions, and credits, without imposing new obligations on private employers regarding wage, hour, or benefit compliance.",1,enforcement,"The bill modifies employer obligations under ERISA by prohibiting new SIMPLE 401(k) plans and revising retirement plan rules, directly affecting private employer pension and benefit plan sponsorship requirements."
hr5727-112,"To rebuild the American middle class by creating jobs, investing in our future, building opportunity for working families, and restoring balance to the tax code.",Rebuild America Act,Economics and Public Finance,"Administrative law and regulatory procedures|Advanced technology and technological innovations|Advisory bodies|Aging|Alternative and renewable resources|Army Corps of Engineers|Aviation and airports|Bankruptcy|Business investment and capital|Capital gains tax|Census and government statistics|Child care and development|Civil actions and liability|Community life and organization|Competitiveness, trade promotion, trade deficits|Congressional agencies|Congressional officers and employees|Congressional oversight|Contracts and agency|Corporate finance and management|Department of Labor|Department of the Treasury|Disability and paralysis|Domestic violence and child abuse|Economic development|Education programs funding|Educational facilities and institutions|Elementary and secondary education|Emergency planning and evacuation|Employee benefits and pensions|Employee hiring|Employee leave|Employment and training programs|Employment discrimination and employee rights|Employment taxes|Energy assistance for the poor and aged|Energy efficiency and conservation|Environmental health|Environmental regulatory procedures|Financial crises and stabilization|Financial services and investments|First responders and emergency personnel|Government Accountability Office (GAO)|Government employee pay, benefits, personnel management|Government information and archives|Government lending and loan guarantees|Government liability|Government studies and investigations|Government trust funds|Housing and community development funding|Human rights|Income tax credits|Income tax rates|Inflation and prices|Infrastructure development|International monetary system and foreign exchange|Labor-management relations|Law enforcement administration and funding|Law enforcement officers|Library of Congress|Manufacturing|Pension Benefit Guaranty Corporation|Poverty and welfare assistance|Preschool education|Public transit|Research and development",1.0,enforcement,"The bill amends the Fair Labor Standards Act to increase the minimum wage and revise salary thresholds for overtime pay, directly regulating private employer wage obligations.",1,enforcement,"The bill amends the Fair Labor Standards Act to increase the minimum wage and revise salary thresholds for overtime pay, directly affecting private employer wage obligations.",1,enforcement,"The bill expands FLSA overtime protections by revising salary thresholds for overtime pay and increases the minimum wage, directly tightening private employer wage obligations."
hr1534-112,"To amend the Internal Revenue Code of 1986 to encourage retirement savings by modifying requirements with respect to employer-established IRAs, and for other purposes.",SAVE Act of 2011,Taxation,"Administrative law and regulatory procedures|Consumer affairs|Department of Labor|Department of the Treasury|Elementary and secondary education|Employee benefits and pensions|Financial literacy|Income tax credits|Income tax deductions|Income tax deferral|Sales and excise taxes|Small business|Teaching, teachers, curricula",1.0,enforcement,"The bill amends ERISA to require disclosures relating to lifetime income from pension plans and permits payroll deduction plans for IRAs, directly regulating private employer obligations regarding retirement benefits.",1,enforcement,"Amends ERISA to require disclosures relating to lifetime income from pension plans and annuities, directly affecting private employer obligations as plan sponsors.",1,enforcement,"Establishes automatic deferral IRAs and multiple small employer retirement plans with automatic employee contributions, directly imposing new mandatory obligations on private employers regarding retirement plan arrangements under ERISA and the Internal Revenue Code."
hr557-114,"To amend the Internal Revenue Code of 1986 to modify safe harbor requirements applicable to automatic contribution arrangements, and for other purposes.",Retirement Security Act of 2015,Taxation,"Administrative law and regulatory procedures|Department of the Treasury|Employee benefits and pensions|Financial services and investments|Income tax credits|Small business|Tax administration and collection, taxpayers",1.0,enforcement,"The bill amends ERISA and the Internal Revenue Code to modify requirements for employer pension benefit plans, including allowing multiple employer plans and adjusting nondiscrimination rules, which directly regulates private employer obligations regarding retirement benefits.",1,enforcement,"The bill amends ERISA to modify requirements for employer pension benefit plans, directly affecting private employer obligations as plan sponsors.",1,enforcement,"Amends ERISA and the Internal Revenue Code to modify mandatory employer obligations regarding automatic contribution arrangements in pension plans, including nondiscrimination requirements and employer matching contribution standards, directly affecting private employer retirement benefit plan sponsor obligations."
s305-114,A bill to protect American job creation by striking the Federal mandate on employers to offer health insurance.,American Job Protection Act,Health,Business records|Comprehensive health care|Employee benefits and pensions|Government information and archives|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Wages and earnings,1.0,enforcement,"The bill repeals the employer mandate and associated reporting requirements under the Affordable Care Act, directly altering the regulatory obligations of private employers regarding the provision of health insurance benefits to their employees.",1,enforcement,"The bill repeals the mandate for large private employers to offer health insurance, directly affecting employer obligations under ERISA-related health benefit provisions.",1,enforcement,"Repeals the ACA employer mandate requiring large private employers to offer minimum essential health insurance coverage to full-time employees, directly weakening employer-sponsored group health benefit plan obligations under ERISA-adjacent provisions."
s150-112,"A bill to promote labor force participation of older Americans, with the goals of increasing retirement security, reducing the projected shortage of experienced workers, maintaining future economic growth, and improving the Nation's fiscal outlook.",Health Care and Training for Older Workers Act,Health,Aging|Disability assistance|Employment and training programs|Health care costs and insurance|Health care coverage and access|Performance measurement,1.0,enforcement,"The bill amends ERISA to extend COBRA continuation coverage obligations for older workers, directly regulating private employer responsibilities regarding employee health benefits.",1,enforcement,"Extends COBRA continuation coverage under ERISA for older workers, directly affecting private employer obligations regarding group health benefit plans.",1,enforcement,"Extends COBRA continuation coverage requirements for older workers, directly expanding private employer obligations under ERISA regarding employer-sponsored group health benefit plans."
hr4254-114,"To prohibit employers from requiring grocery store employees to enter into covenants not to compete, and for other purposes.",Freedom for Workers to Seek Opportunity Act,Labor and Employment,Civil actions and liability|Contracts and agency|Employee hiring|Employment discrimination and employee rights|Food industry and services|Labor-management relations|Retail and wholesale trades,1.0,enforcement,"The bill imposes direct obligations on private grocery store employers regarding employee seniority and benefits during acquisitions and prohibits non-compete covenants, with enforcement mechanisms modeled after the Fair Labor Standards Act.",1,enforcement,"Prohibits non-compete agreements for grocery store employees and mandates recognition of seniority and benefits, directly affecting private employer obligations related to employee rights and benefits.",,,"This bill regulates non-compete agreements and hiring restrictions for grocery store employees, which relates to employment mobility and labor-management relations rather than employer wage, hour, or benefit obligations covered by FLSA, WARN, ERISA, or FMLA."
s2301-115,A bill to strengthen parity in mental health and substance use disorder benefits.,Behavioral Health Coverage Transparency Act of 2018,Health,"Accounting and auditing|Administrative law and regulatory procedures|Congressional oversight|Consumer affairs|Department of Health and Human Services|Department of Labor|Department of the Treasury|Drug, alcohol, tobacco use|Employee benefits and pensions|Executive agency funding and structure|Government information and archives|Health care costs and insurance|Health care coverage and access|Health care quality|Health information and medical records|Health programs administration and funding|Mental health",1.0,enforcement,"The bill strengthens enforcement of mental health parity laws under ERISA by requiring private group health plans to disclose compliance analyses and undergo random audits, directly regulating employer-sponsored benefit plan obligations.",1,enforcement,"The bill amends ERISA to require group health plans to disclose compliance analyses and undergo audits, directly imposing obligations on private employers as plan sponsors, thus relating to employer-sponsored group health benefit obligations.",1,enforcement,"The bill strengthens ERISA obligations on private employers as sponsors of group health plans by requiring annual disclosure of mental health parity compliance analyses and subjecting plans to random audits, directly tightening employer-sponsored benefit plan requirements."
hr2942-115,"To permit employees to request changes to their work schedules without fear of retaliation and to ensure that employers consider these requests, and to require employers to provide more predictable and stable schedules for employees in certain occupations with evidence of unpredictable and unstable scheduling practices that negatively affect employees, and for other purposes.",Schedules That Work Act,Labor and Employment,Civil actions and liability|Employee leave|Employment and training programs|Employment discrimination and employee rights|Food industry and services|Labor standards|Labor-management relations|Retail and wholesale trades|Wages and earnings|Worker safety and health,1.0,enforcement,"The bill imposes direct obligations on private employers regarding work scheduling, advance notice, and reporting time pay, and prohibits retaliation for exercising these rights, which aligns with wage and hour enforcement issues.",1,enforcement,"The bill enforces new requirements on private employers to provide predictable work schedules and prohibits retaliation against employees requesting schedule changes, directly impacting employer wage and hour obligations.",1,enforcement,"The bill directly regulates private employer wage and hour practices by requiring reporting time pay, split shift pay, advance schedule notice, and establishing a process for schedule change requests—all core wage-and-hour obligations enforceable against non-governmental employers."
s1651-113,A bill to amend the Internal Revenue Code of 1986 to allow manufacturing businesses to establish tax-free manufacturing reinvestment accounts to assist them in providing for new equipment and facilities and workforce training.,Manufacturing Reinvestment Account Act of 2013,Taxation,Business investment and capital|Income tax deductions|Income tax exclusion|Manufacturing,1.0,tax_credit_introduction,"The bill introduces a tax deduction (functioning as a tax incentive) for manufacturing businesses to fund employee job training and workforce development, which qualifies under the exception for credits specifically tied to employer-provided job training.",,,"The bill provides tax benefits for manufacturing reinvestment accounts, focusing on business investment and workforce training, but does not directly regulate or enforce private employer wage, hour, or benefit obligations.",1,tax_credit_introduction,"Introduces a tax-advantaged account allowing manufacturers to make tax-deductible contributions for workforce training and development, incentivizing private employers to invest in employee training programs related to wage and hour obligations."
s2617-113,A bill to repeal the wage rate requirements commonly known as the Davis-Bacon Act.,Davis-Bacon Repeal Act,Labor and Employment,"Building construction|Government buildings, facilities, and property|Labor standards|Public contracts and procurement|Wages and earnings",1.0,enforcement,"The bill repeals the Davis-Bacon Act, which imposes prevailing wage obligations on private contractors working on federally funded construction projects, thereby directly altering the regulatory framework governing private employer wage compliance.",1,enforcement,"Repeals the Davis-Bacon Act, which imposes prevailing wage requirements on private contractors, directly affecting private employer wage obligations on federally-funded projects.",1,enforcement,"Repeals the Davis-Bacon Act's prevailing wage requirements that impose direct wage obligations on private contractors and subcontractors working on federally-funded construction projects, thereby weakening private employer wage compliance standards."
hr2654-114,"To eliminate discrimination and promote women's health and economic security by ensuring reasonable workplace accommodations for workers whose ability to perform the functions of a job are limited by pregnancy, childbirth, or a related medical condition.",Pregnant Workers Fairness Act,Labor and Employment,"Administrative law and regulatory procedures|Child care and development|Civil actions and liability|Employee hiring|Employee leave|Employment discrimination and employee rights|Equal Employment Opportunity Commission (EEOC)|Government employee pay, benefits, personnel management|Government liability|Sex and reproductive health|Sex, gender, sexual orientation discrimination|State and local government operations|Women's employment|Women's health",1.0,enforcement,"The bill imposes direct obligations on private employers to provide reasonable accommodations for pregnancy-related limitations, addressing employer conduct related to leave and employment conditions under civil rights and labor laws.",1,enforcement,"The bill mandates reasonable workplace accommodations for pregnant workers, directly affecting private employer obligations under employment discrimination and employee rights laws.",1,enforcement,"The bill creates new mandatory obligations for private employers to provide reasonable accommodations for pregnancy-related limitations and prohibits retaliation, directly regulating employer conduct regarding workplace benefits and conditions under anti-discrimination law."
s2122-115,A bill to amend the Fair Labor Standards Act of 1938 regarding reasonable break time for nursing mothers.,Supporting Working Moms Act of 2017,Labor and Employment,Labor standards|Wages and earnings|Women's employment|Women's health|Worker safety and health,1.0,enforcement,"The bill amends the Fair Labor Standards Act to extend mandatory break time requirements for nursing mothers to exempted employees, directly imposing new obligations on private employers regarding worker benefits and hours.",1,enforcement,"Extends FLSA break time requirements to additional categories of employees, directly affecting private employer obligations regarding worker health and benefits.",1,enforcement,"Expands FLSA break time requirements for nursing mothers to cover previously exempt employees, directly strengthening private employer obligations regarding working conditions and accommodations."
hr6544-111,"To amend title 18, United States Code, to provide for the protection of the general public, and for other purposes.",Dangerous Products Warning Act,Crime and Law Enforcement,Employment discrimination and employee rights|Product safety and quality|Worker safety and health,1.0,enforcement,"The bill imposes criminal penalties on private employers for failing to warn employees of serious dangers and explicitly prohibits retaliation against employees who report such dangers, which aligns with whistleblower protections under wage and hour/benefit statutes.",,,"The bill focuses on criminal penalties for failing to report product dangers and for retaliating against whistleblowers, but it does not directly address private employer wage, hour, or benefit obligations.",1,enforcement,"The bill criminalizes retaliation against employees who report serious product or workplace dangers, directly strengthening whistleblower protections related to worker safety—a form of employer misconduct covered under wage, hour, and benefits enforcement when employees face adverse employment actions for protected reporting activities."
s1908-112,"A bill to amend the Internal Revenue Code of 1986 to clarify the employment tax treatment and reporting of wages paid by professional employer organization, and for other purposes.",,Taxation,"Accounting and auditing|Contracts and agency|Employment taxes|Licensing and registrations|Social security and elderly assistance|Tax administration and collection, taxpayers|User charges and fees|Wages and earnings",1.0,enforcement,"The bill imposes specific financial and reporting obligations on Professional Employer Organizations (PEOs), including a mandatory bond to guarantee the payment of employment taxes, thereby strengthening enforcement mechanisms for private employer wage and tax compliance.",,,"The bill addresses the tax treatment and reporting of wages by professional employer organizations, focusing on tax administration rather than private employer wage or benefit obligations.",,,"Bill addresses tax administration and reporting procedures for professional employer organizations (PEOs) regarding employment taxes, but does not regulate private employer wage, hour, or benefit obligations such as minimum wage, overtime, pension management, or leave protections."
hr1619-114,"To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",Paycheck Fairness Act,Labor and Employment,"Administrative law and regulatory procedures|Civil actions and liability|Employment discrimination and employee rights|Equal Employment Opportunity Commission (EEOC)|Government information and archives|Government studies and investigations|Public contracts and procurement|Racial and ethnic relations|Sex, gender, sexual orientation discrimination|Small business|Wages and earnings|Women's employment",1.0,enforcement,"The bill amends the Fair Labor Standards Act to strengthen prohibitions against sex-based wage discrimination, restrict employer retaliation for wage discussions, and enhance civil remedies, directly regulating private employer wage obligations.",1,enforcement,"The bill amends the Fair Labor Standards Act to enhance remedies and enforcement against sex-based wage discrimination, directly affecting private employer wage obligations.",1,enforcement,"This bill directly strengthens FLSA enforcement against sex-based wage discrimination by private employers, narrowing affirmative defenses, expanding remedies including punitive damages, prohibiting wage secrecy policies, and enhancing EEOC enforcement mechanisms."
hr3344-113,To ensure that the provision of foreign assistance does not contribute to human trafficking and to combat human trafficking by requiring greater transparency in the recruitment of foreign workers.,Fraudulent Overseas Recruitment and Trafficking Elimination Act of 2013,International Affairs,Administrative law and regulatory procedures|Administrative remedies|Business records|Civil actions and liability|Contracts and agency|Criminal justice information and records|Department of Labor|Employment discrimination and employee rights|Foreign aid and international relief|Foreign labor|Fraud offenses and financial crimes|Government information and archives|Human rights|Human trafficking|Labor standards|Legal fees and court costs|Licensing and registrations|User charges and fees|Visas and passports,1.0,enforcement,"The bill imposes direct regulatory obligations and enforcement mechanisms on foreign labor contractors (private employers/recruiters) regarding worker recruitment practices, contract transparency, and fee prohibitions, which aligns with preventing wage theft and exploitation under labor standards.",,,"The bill focuses on preventing human trafficking and ensuring transparency in foreign labor recruitment, not on private employer wage or benefit obligations.",1,enforcement,"The bill imposes direct obligations on foreign labor contractors (private employers/intermediaries) regarding worker recruitment fees, disclosure requirements, and registration, addressing wage-related misconduct such as fraudulent recruitment practices and prohibited fees that affect workers' compensation and working conditions."
s3060-114,A bill to provide an exception from certain group health plan requirements for qualified small employer health reimbursement arrangements.,Small Business Health Care Relief Act of 2016,Taxation,"Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Income tax exclusion|Small business|Tax administration and collection, taxpayers",1.0,enforcement,"The bill regulates private employer conduct by exempting qualified small employer health reimbursement arrangements (HRAs) from certain group health plan requirements under ERISA and the ACA, thereby defining the scope of employer obligations regarding employee health benefits.",,,"The bill provides tax-related exemptions for small employer HRAs, but does not impose new obligations on private employers regarding wage, hour, or benefit compliance under ERISA or similar statutes.",1,enforcement,"The bill modifies ERISA-related obligations for small employers by creating an exemption from group health plan requirements for qualified small employer HRAs, directly affecting private employer obligations regarding employee health benefits."
s3680-111,"A bill to amend the Family and Medical Leave Act of 1993 to permit leave to care for a same-sex spouse, domestic partner, parent-in-law, adult child, sibling, or grandparent who has a serious health condition.",Family and Medical Leave Inclusion Act,Labor and Employment,"Employee leave|Government employee pay, benefits, personnel management|Home and outpatient care|Marriage and family status|Sex, gender, sexual orientation discrimination",1.0,enforcement,"The bill amends the Family and Medical Leave Act (FMLA) to expand the definition of family members eligible for leave, thereby directly regulating private employer obligations regarding protected leave and preventing retaliation for taking such leave.",1,enforcement,"Expands FMLA leave eligibility to include care for additional family members, directly affecting private employer obligations under FMLA.",1,enforcement,"Expands FMLA coverage to protect employees taking leave to care for additional family members including same-sex spouses and domestic partners, directly strengthening private employer obligations under federal leave law."
