bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,gpt_categories,gpt_bill_type,gpt_reason
s1605-109,109,2005-07-29,Crime and Law Enforcement,Arrest|Assault|Bribery|Conspiracy|Correctional personnel|Criminal investigation|Damages|Federal officials|Firearms|Fraud|Habeas corpus|Informers|Judges|Judicial officers|Juries|Kidnapping|Law enforcement officers|Legal fees|Liens|Murder|Police|Prosecution|Protection of officials|Public records|Right of privacy|Sentences (Criminal procedure)|Victims of crimes|Violence|Witnesses,"A bill to amend title 18, United States Code, to protect public safety officers, judges, witnesses, victims, and their family members, and for other purposes.",Law-Enforcement Officers' Protection Act of 2005,,,"The bill focuses on criminal penalties and protections for law enforcement and judicial officers, not on private employer wage or benefit obligations."
s630-110,110,2007-02-15,Health,Access to health care|Clinics|Health insurance|Health maintenance organizations|Hospital care|Hospital rates|Long-term care|Managed care|Medicare|Rural health,A bill to amend part C of title XVIII of the Social Security Act to provide for a minimum payment rate by Medicare Advantage organizations for services furnished by a critical access hospital and a rural health clinic under the Medicare program.,Rural Health Services Preservation Act of 2007,,,"The bill adjusts Medicare payment rates for services provided by critical access hospitals and rural health clinics, which does not involve private employer wage or benefit obligations."
s1639-113,113,2013-11-04,Transportation and Public Works,"Administrative law and regulatory procedures|Aviation and airports|Civil actions and liability|Congressional oversight|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Criminal procedure and sentencing|Department of Transportation|Evidence and witnesses|Federal Trade Commission (FTC)|Government information and archives|Government liability|Government studies and investigations|Intelligence activities, surveillance, classified information|Law enforcement administration and funding|Legal fees and court costs|Licensing and registrations|Right of privacy","A bill to amend the FAA Modernization and Reform Act of 2012 to provide guidance and limitations regarding the integration of unmanned aircraft systems into United States airspace, and for other purposes.",Drone Aircraft Privacy and Transparency Act of 2013,,,"The bill addresses privacy and regulatory issues related to the integration of drone systems into U.S. airspace, not private employer wage or benefit obligations."
hr1452-110,110,2007-03-09,Government Operations and Politics,Campaign funds|Congressional elections|Election forecasting|Fund raising|Government paperwork|Political advertising|Presidential elections|Social surveys|Telephone,"To amend the Federal Election Campaign Act of 1971 to require the disclosure of certain information by persons conducting phone banks during campaigns for election for Federal office, and for other purposes.",Voters' Right to Know Act of 2007,,,"The bill addresses disclosure requirements for election-related phone banks, not private employer wage or benefit obligations."
hr3691-110,110,2007-09-27,Commerce,Administrative procedure|Administrative remedies|Advertising|Child safety|Consumer Product Safety Commission|Consumer education|Consumer protection|Defective products|Electronics|Federal preemption|Federal-state relations|Fines (Penalties)|Government publicity|Independent regulatory commissions|Internet|Labeling|Lead|Packaging|Product safety|Quality control|Warning labels,To reauthorize and improve the Consumer Product Safety Act.,SAFE Consumer Product Act,,,"The bill focuses on consumer product safety regulations and does not address private employer wage, hour, or benefit obligations."
s831-107,107,2001-05-03,Taxation,Business income tax|Costs|Expense accounts|Income tax|Recreation|Tax deductions,A bill to amend the Internal Revenue Code of 1986 to provide for a 100 percent deduction for business meals.,,,,"The bill provides a tax deduction for business meal expenses, which does not relate to private employer wage or benefit obligations."
hr823-111,111,2009-02-03,Crime and Law Enforcement,"Criminal justice information and records|Hate crimes|Sex, gender, sexual orientation discrimination",To amend the Hate Crime Statistics Act to require the Attorney General to acquire data about crimes that manifest evidence of prejudice based on gender.,Hate Crime Statistics Improvement Act of 2009,,,"The bill focuses on improving data collection for hate crimes based on gender, which does not involve private employer wage or benefit obligations."
hr3940-110,110,2007-10-23,Health,Administrative procedure|Case management|Department of Health and Human Services|Medicaid,To amend the Deficit Reduction Act of 2005.,,,,"The bill addresses administrative procedures for Medicaid case management regulations, which do not involve private employer wage or benefit obligations."
s714-116,116,2019-03-07,Taxation,Income tax deductions|Mining,A bill to amend the Internal Revenue Code of 1986 to repeal the percentage depletion allowance for certain hardrock mines.,Elimination of Double Subsidies for the Hardrock Mining Industry Act of 2019,,,"The bill modifies tax deductions for hardrock mines, which does not relate to private employer wage or benefit obligations."
hr2649-109,109,2005-05-26,Transportation and Public Works,Access to airports|Administrative procedure|Administrative remedies|Air cargo|Air routes|Aircraft|Aircraft pilots|Airline employees|Airline passenger traffic|Airlines|Airports|Aviation safety|Biological warfare|Business records|Chemical industries|Chemical warfare|Civil actions and liability|Collective bargaining|Congressional reporting requirements|Criminal justice information|Damages|Data banks|Department of Homeland Security|Department of Labor|Directories|Disciplining of employees|Discrimination in employment|Dismissal of employees|Emergency communication systems|Employee training|Federal aid to transportation|Federal employees|Federal law enforcement officers|Firearms|Flight crews|Freight forwarders|Government contractors|Governmental investigations|Grievance procedures|Identification devices|Identification of criminals|Industrial buildings|Infrastructure|Labor unions|Legal fees|Nuclear facilities|Nuclear reactors|Nuclear terrorism|Nuclear weapons|Parking facilities|Police communication systems|Police training|Risk|Security measures|Social security numbers|Standards|Subcontractors|Terrorism|Transportation workers|Wage restitution|Whistle blowing|Wireless communication,To strengthen aviation security.,Strengthen Aviation Security Act,,,The bill focuses on aviation security measures and does not address private employer wage or benefit obligations.
hr3613-108,108,2003-11-21,Taxation,Auditing|Earnings|Federal aid to education|Government contractors|Government lending|Higher education|Income|Income tax|Scholarships|Student aid|Student employment|Student loan funds|Tax returns,To amend the Internal Revenue Code of 1986 to provide for the disclosure of return information for student financial assistance purposes.,Student Aid Streamlined Disclosure Act of 2003,,,The bill pertains to the disclosure of tax return information for student financial aid purposes and does not involve private employer wage or benefit obligations.
hr1473-112,112,2011-04-11,Economics and Public Finance,"Academic performance and assessments|Administrative Conference of the U.S.|Adult education and literacy|Advisory bodies|Afghanistan|Africa|African Development Foundation|Aging|Agricultural conservation and pollution|Agricultural marketing and promotion|Agricultural prices, subsidies, credit|Agricultural research|Agricultural trade|Alaska|Alternative and renewable resources|Alternative treatments|American Battle Monuments Commission|Animal and plant health|Appalachian Regional Commission|Appropriations|Architect of the Capitol|Arms control and nonproliferation|Army Corps of Engineers|Art, artists, authorship|Asia|Aviation and airports|Bahrain|Banking and financial institutions regulation|Border security and unlawful immigration|Broadcasting Board of Governors|Broadcasting, cable, digital technologies|Building construction|Business investment and capital|Buy American requirements|California|Caribbean area|Census and government statistics|Centers for Disease Control and Prevention (CDC)|Central Intelligence Agency (CIA)|Chad|Chemical and biological weapons|Child care and development|Child health|Civil actions and liability|Climate change and greenhouse gases|Coal|Coast guard|Colombia|Commemorative events and holidays|Commodity Futures Trading Commission|Comprehensive health care|Computers and information technology|Congressional Budget Office (CBO)|Congressional Research Service (CRS)|Congressional agencies|Congressional committees|Congressional officers and employees|Congressional oversight|Consumer Financial Protection Bureau|Consumer Product Safety Commission|Corporation for National and Community Service|Corporation for Public Broadcasting|Correctional facilities and imprisonment|Crimes against women|Cuba|Cultural exchanges and relations","Making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.","Department of Defense and Full-Year Continuing Appropriations Act, 2011",,,"The bill is an appropriations act for various government departments, including the Department of Defense, and does not address private employer wage or benefit obligations."
hr4946-113,113,2014-06-24,Crime and Law Enforcement,"Criminal investigation, prosecution, interrogation|Criminal justice information and records|Firearms and explosives|Law enforcement administration and funding|Law enforcement officers","To promote the tracing of firearms used in crimes, and for other purposes.",Crime Gun Tracing Act,,,"The bill focuses on crime gun tracing and law enforcement grant criteria, unrelated to private employer wage or benefit obligations."
hr5230-107,107,2002-07-25,Agriculture and Food,Administrative remedies|Business records|Civil actions and liability|Collection of accounts|Consumer education|Defective products|Department of Agriculture|Fines (Penalties)|Food adulteration and inspection|Food industry|Food safety|Government paperwork|Judicial review of administrative acts|Labeling|Meat inspection|Poultry industry|Poultry inspection,"To amend the Federal Meat Inspection Act, the Poultry Products Inspection Act, and the Federal Food, Drug, and Cosmetic Act to provide for improved public health and food safety through enhanced enforcement, and for other purposes.","Safe And Fair Enforcement and Recall for Meat, Poultry, and Food Act",,,"The bill focuses on food safety and inspection enforcement, not on private employer wage or benefit obligations."
s3000-111,111,2010-02-04,Health,Economic performance and conditions|Hospital care|Intergovernmental relations|Medicaid|State and local finance|Unemployment,A bill to extend the increase in the FMAP provided in the American Recovery and Reinvestment Act of 2009 for an additional 6 months.,,,,"The bill extends increased federal funding for state Medicaid programs, which involves government reimbursement rates, not private employer wage or benefit obligations."
s61-111,111,2009-01-06,Finance and Financial Sector,Bankruptcy|Consumer credit|Housing finance and home ownership,"A bill to amend title 11 of the United States Code with respect to modification of certain mortgages on principal residences, and for other purposes.",Helping Families Save Their Homes in Bankruptcy Act of 2009,,,"The bill addresses bankruptcy law modifications related to mortgages on principal residences, not private employer wage or benefit obligations."
s1508-110,110,2007-05-24,Taxation,Air pollution control|Alternative energy sources|Bonds|Carbon cycle|Carbon dioxide|Coal|Corporation taxes|Electric power production|Electric power transmission|Foreign corporations|Fuel cells|Imports|Income tax|Investment tax credit|Leases|Losses|Solar energy|Tax administration|Tax credits|Tax evasion|Tax havens|Tax penalties|Tax shelters|Taxation of foreign income,"A bill to amend the Internal Revenue Code of 1986 to extend and expand various tax incentives for production of renewable energy and clean energy sources, and for other purposes.",Clean Energy Production Tax Incentives Act of 2007,,,The bill focuses on tax incentives for renewable energy production and does not address private employer wage or benefit obligations.
s2155-108,108,2004-03-02,Taxation,Accounting|Administrative procedure|Affiliated corporations|Capital gains tax|Corporate finance|Corporate mergers|Corporation taxes|Department of the Treasury|Depreciation and amortization|Dislocated workers|Foreign corporations|Income tax|Leases|Limitation of actions|Location of industries|Lumber trade|Manufacturing industries|Minimum tax|Mutual funds|Partnerships|Profit|Reforestation|Stockholders|Stocks|Tax credits|Tax deductions|Tax evasion|Tax penalties|Tax shelters|Taxation of foreign income|Timber sales|Wages,"A bill to amend the Internal Revenue Code of 1986 to provide for a manufacturer's jobs credit, and for other purposes.",Growing Our Manufacturing Employment (GoME) Act,,,"The bill provides a tax credit for manufacturers based on wages paid, but it does not directly regulate or enforce employer wage, hour, or benefit obligations related to corporate misconduct."
hr4423-108,108,2004-05-20,Armed Forces and National Security,Ambulatory care|Appropriations|Auditing|Building construction|Cemeteries and funerals|Collection of accounts|Congressional oversight|Congressional reporting requirements|Construction costs|Counseling|Department of Veterans Affairs|Disabled|Disasters|Drugs|East Asia|Family services|Federal aid to health facilities|Financial disclosure|Government insurance|Government paperwork|Government vehicles|Grants-in-aid|Hospital care|Income tax|Inspectors general|Job hunting|Leases|Life insurance|Maintenance and repair|Medical research|Mental health services|Parking facilities|Philippines|Prosthesis|Rent|Revolving funds|Soldiers' homes|Tax rates|Veterans' benefits|Veterans' employment|Veterans' hospitals|Veterans' medical care|Veterans' rehabilitation,"Making appropriations for the Department of Veterans Affairs for the fiscal year ending September 30, 2005, and for other purposes.",,,,Bill appropriates funds for VA hospital operations and related services; no private employer wage or benefit obligation is involved.
s3975-111,111,2010-11-18,Taxation,Adoption and foster care|Capital gains tax|Employee benefits and pensions|Income tax credits|Income tax exclusion|Income tax rates|Transfer and inheritance taxes,"A bill to permanently extend the 2001 and 2003 tax relief provisions, and to permanently repeal the estate tax, and to provide permanent alternative minimum tax relief, and for other purposes.",Tax Relief Certainty Act,,,"The bill focuses on tax relief provisions, including estate tax repeal and AMT adjustments, without addressing private employer wage or benefit obligations."
hr3823-106,106,2000-03-02,Finance and Financial Sector,Bank accounts|Bank loans|Checking accounts|Checks|Class actions (Civil procedure)|Collection of accounts|Consumer credit|Consumer education|Consumer protection|Credit unions|Damages|Debtor and creditor|Fees|Interest rates|Liability (Law)|Personal loans,"To amend the Federal Deposit Insurance Act and the Truth in Lending Act to prohibit federally insured institutions from engaging in high-cost payday loans, to expand protections for consumers in connection with the making of such loans by uninsured entities, and for other purposes.",Federal Payday Loan Consumer Protection Amendments of 2000,,,"The bill addresses consumer protection in payday lending, which does not involve private employer wage or benefit obligations."
hr5632-110,110,2008-03-13,Energy,Import restrictions|Licenses|Radioactive wastes,To prohibit the importation of certain low-level radioactive waste into the United States.,,,,"The bill addresses import restrictions on radioactive waste, which does not involve private employer wage or benefit obligations."
hr4057-111,111,2009-11-06,Foreign Trade and International Finance,Government trust funds|Manufacturing|Tariffs,"To amend the Wool Suit and Textile Trade Extension Act of 2004 to provide for certain payments from the Wool Apparel Manufacturers Trust Fund, and for other purposes.",,,,"The bill concerns payments from a government trust fund related to tariffs on imported wool, not private employer wage or benefit obligations."
s3569-109,109,2006-06-26,Foreign Trade and International Finance,Administrative remedies|Clothing|Congress and foreign policy|Customs administration|Free trade|Government trust funds|Governmental investigations|Import relief|Middle East and North Africa|Oman|President and foreign policy|Tariff|Tariff preferences|Textile fabrics|Trade agreements|U.S. International Trade Commission|User charges|Valuation,A bill to implement the United States-Oman Free Trade Agreement.,United States-Oman Free Trade Agreement Implementation Act,,,"The bill implements a free trade agreement with Oman, focusing on trade, tariffs, and customs, without addressing private employer wage or benefit obligations."
s1086-113,113,2013-06-03,Families,"Adoption and foster care|Allergies|Cardiovascular and respiratory health|Child care and development|Child health|Child safety and welfare|Consumer affairs|Crimes against children|Criminal justice information and records|Disability and paralysis|Domestic violence and child abuse|Emergency medical services and trauma care|Emergency planning and evacuation|Foreign language and bilingual programs|Government information and archives|Health promotion and preventive care|Licensing and registrations|Medicaid|Nutrition and diet|Personnel records|Physical fitness and lifestyle|Poverty and welfare assistance|Preschool education|Sex offenses|State and local government operations|Teaching, teachers, curricula","A bill to reauthorize and improve the Child Care and Development Block Grant Act of 1990, and for other purposes.",Child Care and Development Block Grant Act of 2014,,,"The bill focuses on reauthorizing and improving the Child Care and Development Block Grant program, which primarily addresses child care services and related quality improvements, not private employer wage or benefit obligations."
s1078-114,114,2015-04-23,Public Lands and Natural Resources,"Child health|Disability and paralysis|Family services|Hunting and fishing|Intergovernmental relations|Mental health|Nutrition and diet|Outdoor recreation|Parks, recreation areas, trails|Physical fitness and lifestyle|Public participation and lobbying|Public transit|Wildlife conservation and habitat protection","A bill to authorize the Secretary of the Interior to carry out programs and activities that connect people in the United States, especially children, youth, and families, with the outdoors.",Healthy Kids Outdoors Act of 2015,,,The bill focuses on promoting outdoor physical activity and does not address private employer wage or benefit obligations.
hr3685-107,107,2002-02-05,Taxation,Compensatory education|Computer software|Computers|Costs|Disabled|Educational technology|Educational tests|Elementary and secondary education|Elementary education|Home schooling|Income tax|Personal income tax|Private schools|Public schools|School buses|Secondary education|Special education|Tax credits|Tax refunds|Textbooks|Tuition tax credits|User charges,To amend the Internal Revenue Code of 1986 to allow a refundable credit against income tax for educational expenses incurred for each qualifying child of the taxpayer in attending public or private elementary or secondary school.,"Education, Achievement, and Opportunity Act",,,"The bill provides a tax credit for educational expenses, which does not relate to private employer wage or benefit obligations."
hr1265-110,110,2007-03-01,Commerce,Disabled|Government contractors|Government paperwork|Government procurement|Small business|Veterans' benefits,To amend the Small Business Act to authorize the Administrator of the Small Business Administration to award contracts to small business concerns owned and controlled by service-disabled veterans under the section 8(a) program.,Service-Disabled Veteran-Owned Small Business Equity Act of 2007,,,"The bill focuses on government procurement preferences for service-disabled veteran-owned small businesses, not on private employer wage or benefit obligations."
hr2587-113,113,2013-06-28,Education,"Elementary and secondary education|Employee leave|Government employee pay, benefits, personnel management|Science and engineering education|Social work, volunteer service, charitable organizations|Teaching, teachers, curricula","To provide for Federal agencies and employees to support science, technology, engineering, and mathematics (STEM) activities in classrooms.",Planting STEM in the Classroom Act,,,"The bill focuses on federal employee volunteerism in STEM education, not on private employer wage or benefit obligations."
hr6289-111,111,2010-09-29,Congress,Advisory bodies|Congressional Research Service (CRS)|Congressional agencies|Congressional operations and organization|Government information and archives|Internet and video services|Libraries and archives|Library of Congress,"To direct the Librarian of Congress to make available to the public the bulk legislative summary and status data used to provide the information posted on the THOMAS website, and for other purposes.",Legislative Data Transparency and Public Access Act of 2010,,,The bill focuses on improving public access to legislative data and does not involve private employer wage or benefit obligations.
hr6253-114,114,2016-09-28,Armed Forces and National Security,,To establish an advisory commission to examine licensing and certification challenges confronting members of the Armed Forces and their spouses upon post-service entry into the civilian workforce and to make recommendations to Congress for the development of a new class of uniform veteran's certifications for selected occupations that can be accepted by States and United States territories.,CERT Act,,,"The bill focuses on licensing and certification challenges for veterans and their spouses, not on private employer wage or benefit obligations."
hr1057-108,108,2003-03-04,Taxation,Adoption|Costs|Employee benefit plans|Income tax|Sunset legislation|Tax credits|Tax exclusion,To repeal the sunset of the Economic Growth and Tax Relief Reconciliation Act of 2001 with respect to the expansion of the adoption credit and adoption assistance programs.,Adoption Tax Relief Guarantee Act,,,"The bill focuses on making permanent the expansion of adoption-related tax credits and assistance, which does not relate to private employer wage or benefit obligations."
hr6484-112,112,2012-09-21,Water Resources Development,"California|Congressional oversight|Dams and canals|Environmental assessment, monitoring, research|Floods and storm protection|Government studies and investigations|Water resources funding|Water use and supply","To amend the Calfed Bay-Delta Authorization Act to authorize the Secretary of the Interior to provide assistance to non-Federal interests for levee stability improvements located within the Sacramento-San Joaquin Delta related to Bureau of Reclamation Central Valley Project water deliveries, and for other purposes.",SAFE Levee Act,,,"The bill focuses on water resources development and levee stability improvements, with no relation to private employer wage or benefit obligations."
s393-108,108,2003-02-13,Taxation,Armed forces reserves|Income tax|Military pay|Self-employed|Tax credits|Wages,"A bill to amend the Internal Revenue Code of 1986 to allow employers a credit against income tax with respect to employees who participate in the military reserve components and to allow a comparable credit for participating reserve component self-employed individuals, and for other purposes.",,,,"The bill provides a tax credit related to military reserve participation, not directly addressing private employer wage or benefit obligations."
s1450-115,115,2017-06-28,Transportation and Public Works,Administrative law and regulatory procedures|Aviation and airports|Department of Transportation|Telephone and wireless communication,A bill to prohibit cell phone voice communications during passenger flights.,Commercial Flight Courtesy Act of 2017,,,The bill regulates passenger behavior on flights and does not involve private employer wage or benefit obligations.
hr1482-112,112,2011-04-12,Education,"Education of the disadvantaged|Education programs funding|Elementary and secondary education|Government information and archives|Minority education|Teaching, teachers, curricula","To amend the Elementary and Secondary Education Act of 1965 to authorize the Secretary of Education to make grants for recruiting, training, and retaining individuals, with a preference for individuals from underrepresented groups, as teachers at public elementary and secondary schools, and for other purposes.",Diverse Teachers Recruitment Act of 2011,,,"The bill focuses on grants for recruiting and retaining teachers in public schools, which does not involve private employer wage or benefit obligations."
s1410-114,114,2015-05-21,Health,"Child health|Congressional oversight|Drug therapy|Drug trafficking and controlled substances|Drug, alcohol, tobacco use|Government studies and investigations|Health programs administration and funding|Home and outpatient care|Prescription drugs|Women's health",A bill to amend the Public Health Service Act to provide grants to improve the treatment of substance use disorders.,Treatment and Recovery Investment Act,,,"The bill focuses on grants for substance use disorder treatment and recovery services, which does not involve private employer wage or benefit obligations."
hr610-113,113,2013-02-12,Health,Advisory bodies|Health programs administration and funding|Infectious and parasitic diseases,To provide for the establishment of the Tick-Borne Diseases Advisory Committee.,,,,"The bill establishes an advisory committee for tick-borne diseases, which does not involve private employer wage or benefit obligations."
hr1449-114,114,2015-03-18,Crime and Law Enforcement,Administrative law and regulatory procedures|Appropriations|Business records|Criminal justice information and records|Department of Justice|Firearms and explosives|Freedom of information|Retail and wholesale trades,To repeal certain impediments to the administration of the firearms laws.,Tiahrt Restrictions Repeal Act,,,The bill addresses firearms law administration and does not involve private employer wage or benefit obligations.
hr5260-108,108,2004-10-07,Armed Forces and National Security,Federal advisory bodies|Government and business|Public-private partnerships|Small business|Veterans' benefits|Veterans' employment,"To extend the life of the Advisory Committee on Veterans Business Affairs until September 30, 2006.",,,,"The bill extends the life of an advisory committee related to veterans' business affairs, which does not involve private employer wage or benefit obligations."
