bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,claude_categories,claude_bill_type,claude_reason
hr4713-106,106,2000-06-21,Health,Auditing|Authorization|Coal|Collective bargaining agreements|Congressional investigations|Congressional reporting requirements|Employee health benefits|Fees|Government trust funds|Insurance premiums|Insurance rates|Interest|Labor unions|Pension funds|Reclamation of land|Retiree health benefits|Small business|Strip mining|Trusts and trustees,"To amend the Internal Revenue Code of 1986 and the Surface Mining Control and Reclamation Act of 1977 to restore stability and equity to the financing of the United Mine Workers of America Combined Benefit Fund by eliminating the liability of reachback operators, to provide additional sources of revenue to the Fund, and for other purposes.",Combined Fund Stability and Fairness Act,1,enforcement,The bill modifies employer obligations under ERISA-related coal industry health benefit plans by redefining which operators are liable for Combined Benefit Fund premiums and restructuring funding mechanisms for retiree health benefits.
s2285-109,109,2006-02-14,Government Operations and Politics,Administrative remedies|Appropriations|Civil actions and liability|Confidential communications|Congressional investigations|Congressional reporting requirements|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Evidence (Law)|Federal employees|Federal officials|Fines (Penalties)|Fraud|Government contractors|Governmental investigations|Grievance procedures|Informers|Inspectors general|Intelligence officers|Leave of absence|Legal fees|Members of Congress|Misconduct in office|Murder|Removal of officials|Reprogramming of appropriated funds|Security clearances|Special prosecutors|Victims of crimes|Waste in government spending|Whistle blowing|Witnesses,"A bill to improve the protection of witnesses, victims, and informants.","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006",,,"This bill addresses whistleblower protections for federal employees and government contractors reporting misconduct to inspectors general, not private employer violations of wage, hour, or benefit obligations."
hr1557-112,112,2011-04-14,Immigration,Administrative remedies|Civil actions and liability|Crime victims|Foreign labor|Immigration status and procedures|Terrorism|Visas and passports,To provide the spouses and children of aliens who perished in the September 11 terrorist attacks an opportunity to adjust their status to that of an alien lawfully admitted for permanent residence.,September 11 Family Humanitarian Relief and Patriotism Act of 2011,,,"This bill addresses immigration status adjustment for family members of September 11 victims and does not regulate private employer wage, hour, or benefit obligations."
hr6432-114,114,2016-12-02,Foreign Trade and International Finance,,"To require the Secretary of Labor to monitor the trade deficits between the United States and other countries, and for other purposes.",Trade Deficit Reduction Act,,,"This bill addresses international trade deficits and trade policy coordination between countries, which does not relate to private employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
s1605-109,109,2005-07-29,Crime and Law Enforcement,Arrest|Assault|Bribery|Conspiracy|Correctional personnel|Criminal investigation|Damages|Federal officials|Firearms|Fraud|Habeas corpus|Informers|Judges|Judicial officers|Juries|Kidnapping|Law enforcement officers|Legal fees|Liens|Murder|Police|Prosecution|Protection of officials|Public records|Right of privacy|Sentences (Criminal procedure)|Victims of crimes|Violence|Witnesses,"A bill to amend title 18, United States Code, to protect public safety officers, judges, witnesses, victims, and their family members, and for other purposes.",Law-Enforcement Officers' Protection Act of 2005,,,"This bill addresses criminal penalties and protections for public safety officers, judges, and witnesses, but does not regulate private employer wage, hour, or benefit obligations."
s630-110,110,2007-02-15,Health,Access to health care|Clinics|Health insurance|Health maintenance organizations|Hospital care|Hospital rates|Long-term care|Managed care|Medicare|Rural health,A bill to amend part C of title XVIII of the Social Security Act to provide for a minimum payment rate by Medicare Advantage organizations for services furnished by a critical access hospital and a rural health clinic under the Medicare program.,Rural Health Services Preservation Act of 2007,,,"This bill sets Medicare Advantage reimbursement rates for hospitals and clinics, which are government payment rates to healthcare providers, not private employer wage, hour, or benefit obligations."
s1639-113,113,2013-11-04,Transportation and Public Works,"Administrative law and regulatory procedures|Aviation and airports|Civil actions and liability|Congressional oversight|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Criminal procedure and sentencing|Department of Transportation|Evidence and witnesses|Federal Trade Commission (FTC)|Government information and archives|Government liability|Government studies and investigations|Intelligence activities, surveillance, classified information|Law enforcement administration and funding|Legal fees and court costs|Licensing and registrations|Right of privacy","A bill to amend the FAA Modernization and Reform Act of 2012 to provide guidance and limitations regarding the integration of unmanned aircraft systems into United States airspace, and for other purposes.",Drone Aircraft Privacy and Transparency Act of 2013,,,"This bill regulates drone operation privacy requirements and law enforcement surveillance procedures, not private employer wage, hour, or benefit obligations."
hr1452-110,110,2007-03-09,Government Operations and Politics,Campaign funds|Congressional elections|Election forecasting|Fund raising|Government paperwork|Political advertising|Presidential elections|Social surveys|Telephone,"To amend the Federal Election Campaign Act of 1971 to require the disclosure of certain information by persons conducting phone banks during campaigns for election for Federal office, and for other purposes.",Voters' Right to Know Act of 2007,,,"This bill regulates campaign finance disclosure requirements for phone banks during federal elections and does not address private employer wage, hour, or benefit obligations."
hr3691-110,110,2007-09-27,Commerce,Administrative procedure|Administrative remedies|Advertising|Child safety|Consumer Product Safety Commission|Consumer education|Consumer protection|Defective products|Electronics|Federal preemption|Federal-state relations|Fines (Penalties)|Government publicity|Independent regulatory commissions|Internet|Labeling|Lead|Packaging|Product safety|Quality control|Warning labels,To reauthorize and improve the Consumer Product Safety Act.,SAFE Consumer Product Act,,,"This bill focuses on consumer product safety standards, recalls, labeling, and CPSC regulatory authority, with no provisions addressing private employer wage, hour, overtime, pension, or leave obligations."
s831-107,107,2001-05-03,Taxation,Business income tax|Costs|Expense accounts|Income tax|Recreation|Tax deductions,A bill to amend the Internal Revenue Code of 1986 to provide for a 100 percent deduction for business meals.,,,,"Bill modifies tax deductions for business meal expenses, which relates to general business tax treatment rather than private employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
hr823-111,111,2009-02-03,Crime and Law Enforcement,"Criminal justice information and records|Hate crimes|Sex, gender, sexual orientation discrimination",To amend the Hate Crime Statistics Act to require the Attorney General to acquire data about crimes that manifest evidence of prejudice based on gender.,Hate Crime Statistics Improvement Act of 2009,,,"This bill addresses hate crime data collection by law enforcement agencies, not private employer wage, hour, or benefit obligations."
hr3940-110,110,2007-10-23,Health,Administrative procedure|Case management|Department of Health and Human Services|Medicaid,To amend the Deficit Reduction Act of 2005.,,,,"This bill addresses federal rulemaking procedures for Medicaid case management regulations, which govern government healthcare program administration rather than private employer wage, hour, or benefit obligations."
s714-116,116,2019-03-07,Taxation,Income tax deductions|Mining,A bill to amend the Internal Revenue Code of 1986 to repeal the percentage depletion allowance for certain hardrock mines.,Elimination of Double Subsidies for the Hardrock Mining Industry Act of 2019,,,"This bill modifies tax deductions for hardrock mining operations but does not relate to employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
hr2649-109,109,2005-05-26,Transportation and Public Works,Access to airports|Administrative procedure|Administrative remedies|Air cargo|Air routes|Aircraft|Aircraft pilots|Airline employees|Airline passenger traffic|Airlines|Airports|Aviation safety|Biological warfare|Business records|Chemical industries|Chemical warfare|Civil actions and liability|Collective bargaining|Congressional reporting requirements|Criminal justice information|Damages|Data banks|Department of Homeland Security|Department of Labor|Directories|Disciplining of employees|Discrimination in employment|Dismissal of employees|Emergency communication systems|Employee training|Federal aid to transportation|Federal employees|Federal law enforcement officers|Firearms|Flight crews|Freight forwarders|Government contractors|Governmental investigations|Grievance procedures|Identification devices|Identification of criminals|Industrial buildings|Infrastructure|Labor unions|Legal fees|Nuclear facilities|Nuclear reactors|Nuclear terrorism|Nuclear weapons|Parking facilities|Police communication systems|Police training|Risk|Security measures|Social security numbers|Standards|Subcontractors|Terrorism|Transportation workers|Wage restitution|Whistle blowing|Wireless communication,To strengthen aviation security.,Strengthen Aviation Security Act,,,"This bill addresses aviation security measures, airport worker background checks, and whistleblower protections for TSA and airport employees, but does not regulate private employer wage, hour, overtime, pension, or leave obligations that would constitute Wage Hour & Benefits violations."
hr3613-108,108,2003-11-21,Taxation,Auditing|Earnings|Federal aid to education|Government contractors|Government lending|Higher education|Income|Income tax|Scholarships|Student aid|Student employment|Student loan funds|Tax returns,To amend the Internal Revenue Code of 1986 to provide for the disclosure of return information for student financial assistance purposes.,Student Aid Streamlined Disclosure Act of 2003,,,"This bill addresses disclosure of tax return information for federal student aid purposes, not private employer wage, hour, or benefit obligations."
hr1473-112,112,2011-04-11,Economics and Public Finance,"Academic performance and assessments|Administrative Conference of the U.S.|Adult education and literacy|Advisory bodies|Afghanistan|Africa|African Development Foundation|Aging|Agricultural conservation and pollution|Agricultural marketing and promotion|Agricultural prices, subsidies, credit|Agricultural research|Agricultural trade|Alaska|Alternative and renewable resources|Alternative treatments|American Battle Monuments Commission|Animal and plant health|Appalachian Regional Commission|Appropriations|Architect of the Capitol|Arms control and nonproliferation|Army Corps of Engineers|Art, artists, authorship|Asia|Aviation and airports|Bahrain|Banking and financial institutions regulation|Border security and unlawful immigration|Broadcasting Board of Governors|Broadcasting, cable, digital technologies|Building construction|Business investment and capital|Buy American requirements|California|Caribbean area|Census and government statistics|Centers for Disease Control and Prevention (CDC)|Central Intelligence Agency (CIA)|Chad|Chemical and biological weapons|Child care and development|Child health|Civil actions and liability|Climate change and greenhouse gases|Coal|Coast guard|Colombia|Commemorative events and holidays|Commodity Futures Trading Commission|Comprehensive health care|Computers and information technology|Congressional Budget Office (CBO)|Congressional Research Service (CRS)|Congressional agencies|Congressional committees|Congressional officers and employees|Congressional oversight|Consumer Financial Protection Bureau|Consumer Product Safety Commission|Corporation for National and Community Service|Corporation for Public Broadcasting|Correctional facilities and imprisonment|Crimes against women|Cuba|Cultural exchanges and relations","Making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.","Department of Defense and Full-Year Continuing Appropriations Act, 2011",,,"This is a comprehensive government appropriations bill funding numerous federal agencies and programs, including military operations, veterans' healthcare, education grants, and public infrastructure; it does not regulate private employer wage, hour, or benefit obligations."
hr4946-113,113,2014-06-24,Crime and Law Enforcement,"Criminal investigation, prosecution, interrogation|Criminal justice information and records|Firearms and explosives|Law enforcement administration and funding|Law enforcement officers","To promote the tracing of firearms used in crimes, and for other purposes.",Crime Gun Tracing Act,,,"This bill concerns law enforcement grant preferences for firearm tracing and has no connection to private employer wage, hour, benefit obligations, or related misconduct."
hr5230-107,107,2002-07-25,Agriculture and Food,Administrative remedies|Business records|Civil actions and liability|Collection of accounts|Consumer education|Defective products|Department of Agriculture|Fines (Penalties)|Food adulteration and inspection|Food industry|Food safety|Government paperwork|Judicial review of administrative acts|Labeling|Meat inspection|Poultry industry|Poultry inspection,"To amend the Federal Meat Inspection Act, the Poultry Products Inspection Act, and the Federal Food, Drug, and Cosmetic Act to provide for improved public health and food safety through enhanced enforcement, and for other purposes.","Safe And Fair Enforcement and Recall for Meat, Poultry, and Food Act",,,"This bill addresses food safety enforcement and recall procedures for meat, poultry, and food products, which relates to product safety regulation rather than employer wage, hour, or benefit obligations."
s3000-111,111,2010-02-04,Health,Economic performance and conditions|Hospital care|Intergovernmental relations|Medicaid|State and local finance|Unemployment,A bill to extend the increase in the FMAP provided in the American Recovery and Reinvestment Act of 2009 for an additional 6 months.,,,,"This bill adjusts federal Medicaid reimbursement rates (FMAP) to states and addresses government financing mechanisms, not private employer wage, hour, or benefit obligations."
s61-111,111,2009-01-06,Finance and Financial Sector,Bankruptcy|Consumer credit|Housing finance and home ownership,"A bill to amend title 11 of the United States Code with respect to modification of certain mortgages on principal residences, and for other purposes.",Helping Families Save Their Homes in Bankruptcy Act of 2009,,,"This bill addresses bankruptcy procedures and mortgage modification for homeowners facing foreclosure, which involves debtor-creditor relationships in consumer finance rather than employer wage, hour, or benefit obligations to employees."
s1508-110,110,2007-05-24,Taxation,Air pollution control|Alternative energy sources|Bonds|Carbon cycle|Carbon dioxide|Coal|Corporation taxes|Electric power production|Electric power transmission|Foreign corporations|Fuel cells|Imports|Income tax|Investment tax credit|Leases|Losses|Solar energy|Tax administration|Tax credits|Tax evasion|Tax havens|Tax penalties|Tax shelters|Taxation of foreign income,"A bill to amend the Internal Revenue Code of 1986 to extend and expand various tax incentives for production of renewable energy and clean energy sources, and for other purposes.",Clean Energy Production Tax Incentives Act of 2007,,,"This bill extends and expands tax credits for renewable energy production and addresses corporate tax avoidance through foreign entities, but does not regulate private employer wage, hour, or benefit obligations."
s2155-108,108,2004-03-02,Taxation,Accounting|Administrative procedure|Affiliated corporations|Capital gains tax|Corporate finance|Corporate mergers|Corporation taxes|Department of the Treasury|Depreciation and amortization|Dislocated workers|Foreign corporations|Income tax|Leases|Limitation of actions|Location of industries|Lumber trade|Manufacturing industries|Minimum tax|Mutual funds|Partnerships|Profit|Reforestation|Stockholders|Stocks|Tax credits|Tax deductions|Tax evasion|Tax penalties|Tax shelters|Taxation of foreign income|Timber sales|Wages,"A bill to amend the Internal Revenue Code of 1986 to provide for a manufacturer's jobs credit, and for other purposes.",Growing Our Manufacturing Employment (GoME) Act,,,"This bill establishes a manufacturer's jobs credit based on wages paid and domestic production levels, but it is a general business tax credit for manufacturing activity rather than a credit specifically incentivizing compliance with wage/hour obligations or discouraging violations like unpaid overtime or pension mismanagement."
hr4423-108,108,2004-05-20,Armed Forces and National Security,Ambulatory care|Appropriations|Auditing|Building construction|Cemeteries and funerals|Collection of accounts|Congressional oversight|Congressional reporting requirements|Construction costs|Counseling|Department of Veterans Affairs|Disabled|Disasters|Drugs|East Asia|Family services|Federal aid to health facilities|Financial disclosure|Government insurance|Government paperwork|Government vehicles|Grants-in-aid|Hospital care|Income tax|Inspectors general|Job hunting|Leases|Life insurance|Maintenance and repair|Medical research|Mental health services|Parking facilities|Philippines|Prosthesis|Rent|Revolving funds|Soldiers' homes|Tax rates|Veterans' benefits|Veterans' employment|Veterans' hospitals|Veterans' medical care|Veterans' rehabilitation,"Making appropriations for the Department of Veterans Affairs for the fiscal year ending September 30, 2005, and for other purposes.",,,,"This is a VA appropriations bill funding government-operated veterans' hospitals, nursing homes, cemeteries, and healthcare programs; it does not regulate private employer wage, hour, or benefit obligations."
s3975-111,111,2010-11-18,Taxation,Adoption and foster care|Capital gains tax|Employee benefits and pensions|Income tax credits|Income tax exclusion|Income tax rates|Transfer and inheritance taxes,"A bill to permanently extend the 2001 and 2003 tax relief provisions, and to permanently repeal the estate tax, and to provide permanent alternative minimum tax relief, and for other purposes.",Tax Relief Certainty Act,,,"This bill makes permanent various general tax provisions (income tax rates, capital gains rates, estate tax repeal, AMT relief) but does not regulate or enforce private employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
hr3823-106,106,2000-03-02,Finance and Financial Sector,Bank accounts|Bank loans|Checking accounts|Checks|Class actions (Civil procedure)|Collection of accounts|Consumer credit|Consumer education|Consumer protection|Credit unions|Damages|Debtor and creditor|Fees|Interest rates|Liability (Law)|Personal loans,"To amend the Federal Deposit Insurance Act and the Truth in Lending Act to prohibit federally insured institutions from engaging in high-cost payday loans, to expand protections for consumers in connection with the making of such loans by uninsured entities, and for other purposes.",Federal Payday Loan Consumer Protection Amendments of 2000,,,"This bill regulates payday lending practices by financial institutions and creditors, focusing on consumer protection in credit transactions rather than employer obligations related to wages, hours, benefits, or workplace protections."
hr5632-110,110,2008-03-13,Energy,Import restrictions|Licenses|Radioactive wastes,To prohibit the importation of certain low-level radioactive waste into the United States.,,,,"This bill regulates the importation of radioactive waste by the Nuclear Regulatory Commission and does not address private employer wage, hour, benefit obligations, or any conduct covered under FLSA, WARN Act, ERISA, or FMLA."
hr4057-111,111,2009-11-06,Foreign Trade and International Finance,Government trust funds|Manufacturing|Tariffs,"To amend the Wool Suit and Textile Trade Extension Act of 2004 to provide for certain payments from the Wool Apparel Manufacturers Trust Fund, and for other purposes.",,,,"This bill concerns payments from a trust fund to wool manufacturers based on tariffs on imported wool, which relates to trade policy and industry subsidies rather than private employer wage, hour, or benefit obligations."
s3569-109,109,2006-06-26,Foreign Trade and International Finance,Administrative remedies|Clothing|Congress and foreign policy|Customs administration|Free trade|Government trust funds|Governmental investigations|Import relief|Middle East and North Africa|Oman|President and foreign policy|Tariff|Tariff preferences|Textile fabrics|Trade agreements|U.S. International Trade Commission|User charges|Valuation,A bill to implement the United States-Oman Free Trade Agreement.,United States-Oman Free Trade Agreement Implementation Act,,,"This bill implements a free trade agreement with Oman, addressing tariffs, customs procedures, import relief, and government procurement, but does not regulate private employer wage, hour, or benefit obligations."
s1086-113,113,2013-06-03,Families,"Adoption and foster care|Allergies|Cardiovascular and respiratory health|Child care and development|Child health|Child safety and welfare|Consumer affairs|Crimes against children|Criminal justice information and records|Disability and paralysis|Domestic violence and child abuse|Emergency medical services and trauma care|Emergency planning and evacuation|Foreign language and bilingual programs|Government information and archives|Health promotion and preventive care|Licensing and registrations|Medicaid|Nutrition and diet|Personnel records|Physical fitness and lifestyle|Poverty and welfare assistance|Preschool education|Sex offenses|State and local government operations|Teaching, teachers, curricula","A bill to reauthorize and improve the Child Care and Development Block Grant Act of 1990, and for other purposes.",Child Care and Development Block Grant Act of 2014,,,"This bill reauthorizes and improves the Child Care and Development Block Grant program, which provides federal funding to states for child care assistance to low-income families; it does not regulate private employer wage, hour, or benefit obligations."
s1078-114,114,2015-04-23,Public Lands and Natural Resources,"Child health|Disability and paralysis|Family services|Hunting and fishing|Intergovernmental relations|Mental health|Nutrition and diet|Outdoor recreation|Parks, recreation areas, trails|Physical fitness and lifestyle|Public participation and lobbying|Public transit|Wildlife conservation and habitat protection","A bill to authorize the Secretary of the Interior to carry out programs and activities that connect people in the United States, especially children, youth, and families, with the outdoors.",Healthy Kids Outdoors Act of 2015,,,"This bill authorizes federal programs to promote outdoor physical activity for children and families through state strategies and grants, which relates to public health and recreation policy rather than private employer wage, hour, or benefit obligations."
hr3685-107,107,2002-02-05,Taxation,Compensatory education|Computer software|Computers|Costs|Disabled|Educational technology|Educational tests|Elementary and secondary education|Elementary education|Home schooling|Income tax|Personal income tax|Private schools|Public schools|School buses|Secondary education|Special education|Tax credits|Tax refunds|Textbooks|Tuition tax credits|User charges,To amend the Internal Revenue Code of 1986 to allow a refundable credit against income tax for educational expenses incurred for each qualifying child of the taxpayer in attending public or private elementary or secondary school.,"Education, Achievement, and Opportunity Act",,,"This bill provides a tax credit to individual taxpayers for their children's educational expenses, not to employers for conduct related to wage, hour, or benefit obligations."
hr1265-110,110,2007-03-01,Commerce,Disabled|Government contractors|Government paperwork|Government procurement|Small business|Veterans' benefits,To amend the Small Business Act to authorize the Administrator of the Small Business Administration to award contracts to small business concerns owned and controlled by service-disabled veterans under the section 8(a) program.,Service-Disabled Veteran-Owned Small Business Equity Act of 2007,,,"This bill addresses federal government procurement contracts for service-disabled veteran-owned small businesses, not private employer wage, hour, or benefit obligations."
hr2587-113,113,2013-06-28,Education,"Elementary and secondary education|Employee leave|Government employee pay, benefits, personnel management|Science and engineering education|Social work, volunteer service, charitable organizations|Teaching, teachers, curricula","To provide for Federal agencies and employees to support science, technology, engineering, and mathematics (STEM) activities in classrooms.",Planting STEM in the Classroom Act,,,"Bill addresses federal government employee leave and volunteer programs for STEM education; it does not regulate private employer wage, hour, or benefit obligations."
hr6289-111,111,2010-09-29,Congress,Advisory bodies|Congressional Research Service (CRS)|Congressional agencies|Congressional operations and organization|Government information and archives|Internet and video services|Libraries and archives|Library of Congress,"To direct the Librarian of Congress to make available to the public the bulk legislative summary and status data used to provide the information posted on the THOMAS website, and for other purposes.",Legislative Data Transparency and Public Access Act of 2010,,,"This bill concerns public access to legislative data through the Library of Congress website and does not address any private employer wage, hour, benefit obligations, or related corporate misconduct."
hr6253-114,114,2016-09-28,Armed Forces and National Security,,To establish an advisory commission to examine licensing and certification challenges confronting members of the Armed Forces and their spouses upon post-service entry into the civilian workforce and to make recommendations to Congress for the development of a new class of uniform veteran's certifications for selected occupations that can be accepted by States and United States territories.,CERT Act,,,"This bill addresses credentialing and licensing challenges for military service members and spouses transitioning to civilian employment, which involves government programs and public-sector workforce issues rather than private employer wage, hour, or benefit obligations."
hr1057-108,108,2003-03-04,Taxation,Adoption|Costs|Employee benefit plans|Income tax|Sunset legislation|Tax credits|Tax exclusion,To repeal the sunset of the Economic Growth and Tax Relief Reconciliation Act of 2001 with respect to the expansion of the adoption credit and adoption assistance programs.,Adoption Tax Relief Guarantee Act,,,"This bill makes permanent tax credits and exclusions for adoption expenses, which are general tax benefits unrelated to private employer wage, hour, overtime, pension, or leave obligations under FLSA, WARN, ERISA, or FMLA."
hr6484-112,112,2012-09-21,Water Resources Development,"California|Congressional oversight|Dams and canals|Environmental assessment, monitoring, research|Floods and storm protection|Government studies and investigations|Water resources funding|Water use and supply","To amend the Calfed Bay-Delta Authorization Act to authorize the Secretary of the Interior to provide assistance to non-Federal interests for levee stability improvements located within the Sacramento-San Joaquin Delta related to Bureau of Reclamation Central Valley Project water deliveries, and for other purposes.",SAFE Levee Act,,,"This bill authorizes federal assistance for levee infrastructure improvements to facilitate water deliveries in California's Sacramento-San Joaquin Delta; it does not regulate private employer wage, hour, or benefit obligations."
