bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,bill_type,reason,summary
hr330-114,114,2015-01-13,"To amend title 54, United States Code, to provide for congressional approval of national monuments and restrictions on the use of national monuments, to establish requirements for declaration of marine national monuments, and for other purposes.",Marine Access and State Transparency,Public Lands and Natural Resources,"Congressional oversight|Environmental assessment, monitoring, research|Intergovernmental relations|Land use and conservation|Marine and coastal resources, fisheries|Monuments and memorials|Parks, recreation areas, trails|Presidents and presidential powers, Vice Presidents|State and local government operations",,,,"This bill concerns the designation of national monuments and requires congressional approval for such designations, and does not relate to private employer wage, hour, or benefit obligations.","Marine Access and State Transparency or the MAST Act

 Amends the Antiquities Act of 1906 to bar the President from declaring any area of the exclusive economic zone to be a national monument unless:

 such a declaration is specifically authorized by an Act of Congress; the President has submitted a proposal to make the declaration to the governor of each state or territory located within 100 nautical miles of that area; each governor submits to the President a notice that the legislature of that state or territory has approved the proposal; and the declaration is substantially the same as the proposal. Prohibits the Department of the Interior or the Department of Commerce, with respect to any area of the exclusive economic zone that is designated as a national monument, from implementing any restrictions on the public use of such a national monument until the expiration of an appropriate review period providing for public input and congressional approval."
hr3923-106,106,2000-03-14,For the relief of En Chung Wu.,,,Private Legislation,,,,"This is a private bill for immigration relief for a specific individual and does not relate to any corporate conduct regarding wage, hour, or benefit obligations.",Declares a named individual to be eligible for issuance of an immigrant visa or for adjustment of status to that of an alien lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.
hr5072-115,115,2018-02-20,To provide for the adjustment of status of certain nationals of Liberia to that of lawful permanent residents and for other purposes.,Liberian Refugee Immigration Fairness Act of 2018,Immigration,Administrative law and regulatory procedures|Africa|Department of Homeland Security|Foreign labor|Immigration status and procedures|Liberia,,,,"This bill concerns immigration status for Liberian nationals and does not relate to the wage, hour, or benefit obligations of non-governmental employers.","Liberian Refugee Immigration Fairness Act of 2018 

 This bill directs the Department of Homeland Security to adjust to permanent resident status a qualifying Liberian national who: (1) has been continuously present in the United States between November 20, 2014, through the date of status adjustment application; or (2) is the spouse, child, or unmarried son or daughter of such an alien.

 Adjustment applications must be filed not later than one year after the date of enactment of this bill."
s1126-115,115,2017-05-15,"A bill to prohibit certain Federal funds from being available to sanctuary jurisdictions that refuse to cooperate with the Federal Government on immigration matters or retaliate against border security contractors, and for other purposes.",Securing the Border and Protecting Our Communities Act,Immigration,Border security and unlawful immigration|Detention of persons|Immigration status and procedures|Intergovernmental relations|Law enforcement administration and funding|Public contracts and procurement|Public transit|Roads and highways|State and local government operations|Transportation programs funding,,,,"This bill concerns federal funding for border security and penalizes 'sanctuary jurisdictions' for non-cooperation with immigration enforcement; it does not regulate private employer wage, hour, or benefit obligations.","Securing the Border and Protecting Our Communities Act

This bill prohibits any sanctuary jurisdiction from receiving any federal infrastructure or transportation funds authorized under: (1) the Transportation Investment Generating Economic Recovery (TIGER) discretionary grant program, (2) the Fostering Advancements in Shipping and Transportation for the Long-Term Achievement of National Efficiencies (FASTLANE) grant program, or (3) the surface transportation block grant program.

 Funds that are not allocated to a sanctuary jurisdiction because of such prohibition shall be available for activities carried out under the Secure Fence Act of 2006.

""Sanctuary jurisdiction"" is defined as a state or state political subdivision that the Department of Justice determines has in effect a statute, ordinance, policy, or practice that: (1) prohibits or interferes with a government entity or official or a person sharing information with federal immigration authorities regarding an individual's immigration status; (2) prohibits any government entity or official from complying with a lawfully-issued Department of Homeland security detainer or notification request concerning the release of an alien; or (3) restricts a person's ability to bid for or be awarded a contract or otherwise retaliates against a person that assists in construction activity pursuant to the Secure Fence Act of 2006."
hr4713-106,106,2000-06-21,"To amend the Internal Revenue Code of 1986 and the Surface Mining Control and Reclamation Act of 1977 to restore stability and equity to the financing of the United Mine Workers of America Combined Benefit Fund by eliminating the liability of reachback operators, to provide additional sources of revenue to the Fund, and for other purposes.",Combined Fund Stability and Fairness Act,Health,Auditing|Authorization|Coal|Collective bargaining agreements|Congressional investigations|Congressional reporting requirements|Employee health benefits|Fees|Government trust funds|Insurance premiums|Insurance rates|Interest|Labor unions|Pension funds|Reclamation of land|Retiree health benefits|Small business|Strip mining|Trusts and trustees,1,Wage Hour & Benefits,tax_credit_introduction,"The bill provides for a refund of premiums paid to the Combined Benefit Fund for certain small entities which are not 1988 agreement operators, effectively introducing a tax credit-like benefit to encourage participation and reduce financial burden on those employers.","TABLE OF CONTENTS: Title I: Reachback Provisions Title II: Financing Provisions Subtitle A: Premiums Subtitle B: Transfers From Abandoned Mine Reclamation Fund Subtitle C: Authorization Combined Fund Stability and Fairness Act - Amends chapter 99 (Coal Industry Health Benefits) of the Internal Revenue Code and the Surface Mining Control and Reclamation Act of 1977 to redefine the term ""coal wage agreement"" to include only the 1988 agreement which became effective on February 1, 1988, and any predecessor to the 1988 agreement. Redefines the term ""signatory operator"" in a similar manner (as a 1988 operator).Provides for a reduction in health benefit premiums to coal miners if there is a surplus in the Combined Benefit Fund.Provides for a refund of premiums paid to the Fund for certain small entities which are not 1988 agreement operators.Provides for the transfer of certain amounts of interest from the Abandoned Mine Reclamation Fund to the Combined Fund.Reduces Abandoned Mine Reclamation Fund fees. Extends the Abandoned Mine Reclamation Fee program for an additional six years.Authorizes appropriations for the transfer of $38 million from the 1950 United Mine Workers of America Pension Plan annually to the Combined Fund to cover any shortfall in the premium account of the Combined Fund."
s2285-109,109,2006-02-14,"A bill to improve the protection of witnesses, victims, and informants.","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006",Government Operations and Politics,Administrative remedies|Appropriations|Civil actions and liability|Confidential communications|Congressional investigations|Congressional reporting requirements|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Evidence (Law)|Federal employees|Federal officials|Fines (Penalties)|Fraud|Government contractors|Governmental investigations|Grievance procedures|Informers|Inspectors general|Intelligence officers|Leave of absence|Legal fees|Members of Congress|Misconduct in office|Murder|Removal of officials|Reprogramming of appropriated funds|Security clearances|Special prosecutors|Victims of crimes|Waste in government spending|Whistle blowing|Witnesses,1,Wage Hour & Benefits,enforcement,"The bill addresses retaliation against whistleblowers, which can include retaliation for reporting wage, hour, or benefit violations, and modifies federal law relating to prohibited personnel practices, which can encompass employer misconduct related to employee compensation and benefits.","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006 - Modifies federal criminal law provisions relating to tampering with or retaliating against a witness, victim, or an informant. Allows a victim of a prohibited personnel practice to bring a civil action against a covered entity and to recover damages. Makes any prospective waiver of the right of any individual to file a civil action under this Act void and unenforceable. Amends the Inspector General Act of 1978 to allow an Inspector General (IG) to be removed from office prior to the expiration of that IG's term only on one of the following grounds: (1) permanent incapacity; (2) inefficiency; (3) neglect of duty; (4) malfeasance; or (5) conviction of a felony or conduct involving moral turpitude. Establishes the term of office of an IG as seven years and permits reappointment. Authorizes an IG to annually transmit an appropriation estimate and request to the Director of the Office of Management and Budget (OMB) and to the appropriate congressional committees, in addition to the head of the establishment concerned. Requires the President to include in each annual budget specified IG appropriation information. Prohibits any funds appropriated for activities under the supervision of an IG from being reprogrammed, transferred, or otherwise spent for any other purpose without such IG's written consent. Directs each IG to: (1) create and maintain a hotline for employees confidentially reporting alleged violations; and (2) compile a statistical summary of all allegations for annual reporting to Congress. Sets forth a special rule regarding revocation of security clearances. Permits the creation of whistleblower affairs directorates within offices of IGs. Includes coverage of certain planned disclosures of information under prohibited personnel practices provisions. Permits petitions for the appointment of special prosecutor to handle cases alleging prohibited personnel practices. Directs the Comptroller General to study the costs of retaliation against or suppression of whistleblowers."
hr1557-112,112,2011-04-14,To provide the spouses and children of aliens who perished in the September 11 terrorist attacks an opportunity to adjust their status to that of an alien lawfully admitted for permanent residence.,September 11 Family Humanitarian Relief and Patriotism Act of 2011,Immigration,Administrative remedies|Civil actions and liability|Crime victims|Foreign labor|Immigration status and procedures|Terrorism|Visas and passports,,,,"This bill concerns immigration status for spouses and children of 9/11 victims and does not relate to any private employer wage, hour, or benefit obligations.","September 11 Family Humanitarian Relief and Patriotism Act of 2011 - Provides permanent resident status adjustment for an applicant alien who: (1) was on September 10, 2001, the spouse, child, or unmarried son or daughter of an alien who died as a direct result of the September 11, 2001, terrorist activity against the United States; (2) was deemed to be a beneficiary of, and by, the September 11th Victim Compensation Fund of 2001; (3) has no federal tax liability; (4) made a proffer of information to the Secretary of Homeland Security (DHS) between April 24, 2008, and August 15, 2008, in connection with a request for immigration relief; and (5) applies not later than one year from the date of enactment of this Act. Makes the provisions of this Act inapplicable to an alien who is inadmissible or deportable under criminal or security grounds, including September 11, 2001, terrorist activity."
hr6432-114,114,2016-12-02,"To require the Secretary of Labor to monitor the trade deficits between the United States and other countries, and for other purposes.",Trade Deficit Reduction Act,Foreign Trade and International Finance,,,,,"This bill focuses on trade deficits and requires the Department of Labor to monitor and develop reduction plans with specific countries; it does not regulate or incentivize private employer wage, hour, or benefit conduct.","Trade Deficit Reduction Act

This bill requires the Department of Labor to annually identify each country for which the following apply:

 the value of goods and services imported into the United States exceeds twice the value of goods and services exported from the United States to that country, or $100 billion; or the value of goods and services imported into and exported from the United States exceeds $1 billion. Labor shall convene a meeting of the Trade Policy Review Group to develop trade deficit reduction plans with such countries."
s1605-109,109,2005-07-29,"A bill to amend title 18, United States Code, to protect public safety officers, judges, witnesses, victims, and their family members, and for other purposes.",Law-Enforcement Officers' Protection Act of 2005,Crime and Law Enforcement,Arrest|Assault|Bribery|Conspiracy|Correctional personnel|Criminal investigation|Damages|Federal officials|Firearms|Fraud|Habeas corpus|Informers|Judges|Judicial officers|Juries|Kidnapping|Law enforcement officers|Legal fees|Liens|Murder|Police|Prosecution|Protection of officials|Public records|Right of privacy|Sentences (Criminal procedure)|Victims of crimes|Violence|Witnesses,,,,"This bill focuses on protecting law enforcement officers, judges, and witnesses from violence and intimidation; it does not relate to private employer wage, hour, or benefit obligations.","Law-Enforcement Officers' Protection Act of 2005 - Amends the federal criminal code to prohibit killing or attempting to kill a federally funded public safety officer (including a judicial officer). Establishes or increases penalties for: (1) assaulting such an officer, federal judge, and other federal official; (2) retaliating against such an officer, judge, or official by murdering or assaulting a family member; and (3) murder, manslaughter, and related crimes under federal jurisdiction. Dr. John B. Jamison Act - Amends the federal judicial code to deny a court, justice, or judge jurisdiction to consider any claim relating to the judgment or sentence in an application for a writ of habeas corpus on behalf of a person in custody pursuant to a state court judgment for killing a public safety officer, unless specified conditions apply. Requires the court to ensure that, in a federal habeas corpus proceeding arising out of a state conviction, a crime victim is afforded specified rights. Limits to out of pocket expenditures and other monetary loss the damages that may be recovered (and prohibits the recovery of attorney fees) by an individual seeking redress for a deprivation of any rights, privileges, or immunities incurred in or resulting from felony or criminally violent conduct by such individual, including any deprivation in the course of his or her arrest, apprehension, investigation, prosecution, or adjudication. Redefines ""qualified retired law enforcement officer"" for purposes of a provision allowing such an officer to carry a concealed firearm by lowering from 15 to 10 years the amount of time such officer must have been regularly employed as a law enforcement officer. Increases penalties for: (1) injuring or influencing a judicial officer or juror; and (2) tampering with, or retaliating against, a witness, victim, or informant. Prohibits: (1) filing in any public record or private record which is generally available to the public a false lien or encumbrance against the property of a federally funded public safety officer or other federal officer or employee; and (2) knowingly making restricted personal information about a federal officer or employee, juror, witness, officer of any court, or officer serving at any proceeding before a U.S. magistrate judge publicly available with the intent that it be used to threaten or intimidate such official or to kidnap, injure, or threaten such official or an immediate family member."
s630-110,110,2007-02-15,A bill to amend part C of title XVIII of the Social Security Act to provide for a minimum payment rate by Medicare Advantage organizations for services furnished by a critical access hospital and a rural health clinic under the Medicare program.,Rural Health Services Preservation Act of 2007,Health,Access to health care|Clinics|Health insurance|Health maintenance organizations|Hospital care|Hospital rates|Long-term care|Managed care|Medicare|Rural health,,,,Bill adjusts Medicare payment rates to hospitals and clinics; it does not relate to private employer wage or benefit obligations.,"Rural Health Services Preservation Act of 2007 - Amends part C (Medicare+Choice) of title XVIII (Medicare) of the Social Security Act to require Medicare Advantage organizations to provide for a payment rate for critical access hospital services and rural health clinic services that is: (1) at least the applicable payment rate established under Medicare part A (Hospital Insurance) or part B (Supplementary Medical Insurance) for such services; or (2) 103% of the otherwise applicable payment rate, if the critical access hospital or the rural health clinic determines appropriate."
s1639-113,113,2013-11-04,"A bill to amend the FAA Modernization and Reform Act of 2012 to provide guidance and limitations regarding the integration of unmanned aircraft systems into United States airspace, and for other purposes.",Drone Aircraft Privacy and Transparency Act of 2013,Transportation and Public Works,"Administrative law and regulatory procedures|Aviation and airports|Civil actions and liability|Congressional oversight|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Criminal procedure and sentencing|Department of Transportation|Evidence and witnesses|Federal Trade Commission (FTC)|Government information and archives|Government liability|Government studies and investigations|Intelligence activities, surveillance, classified information|Law enforcement administration and funding|Legal fees and court costs|Licensing and registrations|Right of privacy",,,,"This bill regulates the use of drones and focuses on privacy concerns related to data collection; it does not directly regulate or incentivize employer wage, hour, or benefit obligations.","Drone Aircraft Privacy and Transparency Act of 2013 - Amends the FAA Modernization and Reform Act of 2012 to direct the Secretary of Transportation (DOT) to study and identify any potential threats to privacy protections posed by the integration of unmanned aircraft (drone) systems into the national airspace system, including any potential violations of privacy principles.

Directs the Secretary to establish certain procedures to allow for civil operation in the national airspace system of small drone systems that do not meet expedited operational authorization requirements. Requires such procedures to ensure that the integration of drone systems into the national airspace system is done in compliance with privacy principles.

Prohibits the Secretary from approving, issuing, or awarding any certificate, license, or other grant of authority to operate a drone system in the national airspace system unless the application for it includes a data collection statement, meeting certain requirements, that provides reasonable assurance that the applicant will operate the drone system in accordance with privacy principles. Applies the same privacy principles requirement to any drone system to be operated by a law enforcement agency or a law enforcement agency contractor or subcontractor, except that the application for it shall include a data minimization statement, meeting certain requirements, instead of a data collection statement.

Directs the Administrator of the Federal Aviation Administration (FAA) to make any approved certificate, license, or other grant of authority, plus other specified information, available in a searchable format on the public FAA website.

Prohibits a governmental entity from using a drone system, or requesting information or data collected by another entity through use of a drone system, for protective activities, or for law enforcement or intelligence purposes, except pursuant to a warrant issued using the procedures described in the Federal Rules of Criminal Procedure (or, in the case of a state court, issued using state warrant procedures) by a court of competent jurisdiction, or as permitted under the Foreign Intelligence Surveillance Act of 1978. Makes an exception to this prohibition in exigent circumstances when a law enforcement entity reasonably believes there is: (1) an imminent danger of death or serious physical injury; or (2) a high risk of a terrorist attack by a specific individual or organization, according to the Secretary of Homeland Security (DHS).

Makes it unlawful to operate a drone system in a manner that is not in accordance with the terms of a data collection statement or in a manner violating any portion of the final rule for the procedures for civil operation of small drone systems required by this Act. Grants enforcement authority to the Federal Trade Commission (FTC).

Authorizes a state to bring a civil action on behalf of state residents in state or U.S. district court for injunctive relief against violations of this Act or related regulations if the state attorney general has reason to believe that an interest of state residents has been or is threatened or adversely affected by a prohibited act or practice.

Creates a private right of action in state or U.S. district court for persons injured by a prohibited act.

Allows a suit against a governmental entity.

Requires the FAA to revoke the certificate, license, or other grant of authority to operate a drone system operated in a prohibited manner.

Declares that nothing in this Act may be construed to apply to model aircraft flown strictly for hobby or recreational purposes and meeting certain other criteria."
hr1452-110,110,2007-03-09,"To amend the Federal Election Campaign Act of 1971 to require the disclosure of certain information by persons conducting phone banks during campaigns for election for Federal office, and for other purposes.",Voters' Right to Know Act of 2007,Government Operations and Politics,Campaign funds|Congressional elections|Election forecasting|Fund raising|Government paperwork|Political advertising|Presidential elections|Social surveys|Telephone,,,,"This bill concerns campaign finance disclosure requirements and does not relate to private employer wage, hour, or benefit obligations.","Voters' Right to Know Act of 2007 - Amends the Federal Election Campaign Act of 1971 to require any person conducting a federal election phone bank (except through non-political general media facilities) to report to the Federal Election Commission specified information about phone bank costs, funding sources, household contacts, and questions asked or information provided to respondents. Limits such requirement to projects contacting at least 1,500 households during the 25 days before a federal election."
hr3691-110,110,2007-09-27,To reauthorize and improve the Consumer Product Safety Act.,SAFE Consumer Product Act,Commerce,Administrative procedure|Administrative remedies|Advertising|Child safety|Consumer Product Safety Commission|Consumer education|Consumer protection|Defective products|Electronics|Federal preemption|Federal-state relations|Fines (Penalties)|Government publicity|Independent regulatory commissions|Internet|Labeling|Lead|Packaging|Product safety|Quality control|Warning labels,,,,"This bill focuses on consumer product safety and the powers of the Consumer Product Safety Commission; it does not relate to private employer wage, hour, or benefit obligations.","Safety Assurance For Every Consumer Product Act or the SAFE Consumer Product Act - Amends the Consumer Product Safety Act to require (in current law, authorize) the Consumer Product Safety Commission (CPSC) to prescribe consumer product testing programs. Requires nongovernmental, independent third party testing of children's products. Increases the actions the CPSC may take in ordering recalls of products presenting substantial hazards. Makes recalled product retail sale unlawful. Requires manufacturers to mark products or packaging to enable purchasers to determine the product's source, date, and production cohort. Removes the cap on Consumer Product Safety Act civil penalties. Removes a requirement that criminal penalties may only be imposed after noncompliance notice. Reduces the period after CPSC notification to manufacturers and private labelers before public disclosure of information obtained under the Act. Requires any person who must give public notice of a substantial product hazard to post a notice on the Internet. Declares any children's product containing more than a specified amount of lead to be a banned hazardous substance under the Federal Hazardous Substances Act, allowing a temporary exception for electronic devices. Requires certain actions to facilitate recalls of children's products and authorizes the CPSC to extend the requirements to consumer products other than children's products. Requires children's product's warning labels to be included in Internet advertisements. Removes provisions requiring a minimum number of CPSC members to transact business. Modifies rulemaking notice requirements. Declares the sense of Congress that the full complement of five CPSC members is necessary to conduct CPSC business and the President should fill vacancies expeditiously. Prohibits any consumer product safety standard or other CPSC action after enactment of this Act from containing a preemption provision which affects any action under state statutory or common law unless the provision is expressly authorized by statute."
s831-107,107,2001-05-03,A bill to amend the Internal Revenue Code of 1986 to provide for a 100 percent deduction for business meals.,,Taxation,Business income tax|Costs|Expense accounts|Income tax|Recreation|Tax deductions,,,,"The bill relates to a 100% deduction for business meals, which does not directly regulate or incentivize employer wage, hour, or benefit obligations as defined by the Violation Tracker category.","Amends the Internal Revenue Code to provide for a 100 percent deduction for qualifying business meal expenses, including individuals subject to Federal hours of service percentages."
hr823-111,111,2009-02-03,To amend the Hate Crime Statistics Act to require the Attorney General to acquire data about crimes that manifest evidence of prejudice based on gender.,Hate Crime Statistics Improvement Act of 2009,Crime and Law Enforcement,"Criminal justice information and records|Hate crimes|Sex, gender, sexual orientation discrimination",,,,"This bill focuses on data collection related to hate crimes based on gender and does not relate to any private employer wage, hour, or benefit obligations.",Hate Crime Statistics Improvement Act of 2009 - Amends the Hate Crime Statistics Act to require the Attorney General to acquire data about crimes that manifest evidence of prejudice based on gender.
hr3940-110,110,2007-10-23,To amend the Deficit Reduction Act of 2005.,,Health,Administrative procedure|Case management|Department of Health and Human Services|Medicaid,,,,"This bill relates to Medicaid regulations and case management procedures within the Department of Health and Human Services; it does not directly regulate or incentivize private employer wage, hour, or benefit obligations.","Amends the Deficit Reduction Act of 2005 to require the Secretary of Health and Human Services to promulgate final regulations revising case management and targeted case management under title XIX (Medicaid) of the Social Security Act. (Currently, such regulations may be effective and final immediately on an interim basis as of their publication date.)Requires such regulations to be consistent with: (1) federal rule making notice and comment requirements, except that the period of public comment on them shall be at least 80 days; and (2) congressional review requirements.Makes the regulations effective at least 90 days after publication in the Federal Register or presentation to each chamber or the Comptroller General, whichever occurs later.Repeals the Secretary's authority to change or revise such regulations after completion of the comment period."
