bill_id,category_ids,category_labels,bill_type,reason
s174-110,,,,"The bill regulates parental consent requirements for physical examinations in Head Start programs, which is a matter of child health and education policy, not private employer wage, hour, or benefit obligations."
s2848-108,,,,"The bill transfers land jurisdiction for the construction of VA medical facilities, which involves government services and public lands rather than regulating private employer wage, hour, or benefit obligations."
hr3639-111,,,,"The bill regulates consumer credit card practices, interest rates, and fees under the Truth in Lending Act, which pertains to consumer financial protection rather than private employer wage, hour, or benefit obligations."
s3196-106,,,,"The bill focuses on federal energy research, development, and demonstration programs for hydrogen and fuel cells, involving government agencies and appropriations rather than regulating private employer wage, hour, or benefit obligations."
s199-111,,,,"The bill establishes a National Historic Site and involves land acquisition by the federal government, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr6272-111,,,,"The bill addresses a Department of Defense program for military personnel, which is a government benefit and not a private employer wage, hour, or benefit obligation."
hr4305-110,,,,"The bill focuses on elementary and secondary education standards, testing methods, and data privacy, which are unrelated to private employer wage, hour, or benefit obligations."
hr5480-107,,,,"The bill focuses on terminating federal tobacco marketing quotas and providing transition payments to tobacco farmers and quota owners, which constitutes agricultural subsidy policy rather than regulation of private employer wage, hour, or benefit obligations."
hr4999-110,,,,"The bill extends a temporary suspension of duty on a specific chemical (Mesosulfuronmethyl) under the Harmonized Tariff Schedule, which relates to foreign trade and tariffs rather than private employer wage, hour, or benefit obligations."
s1588-111,,,,"The bill addresses capital gains tax treatment for oil and natural gas commodities, which is a general tax policy issue unrelated to private employer wage, hour, or benefit obligations."
hr4321-110,,,,"The bill focuses on federal grants and research for medical simulation technologies in healthcare education, which does not regulate private employer wage, hour, or benefit obligations."
hr4850-108,,,,"The bill is an appropriations act for the District of Columbia government, funding public-sector operations and government employee benefits (such as the D.C. Retirement Board and Other Post Employee Benefits Trust Fund), which does not regulate private non-governmental employer wage, hour, or benefit obligations."
s1610-110,,,,"The bill focuses on national security reviews of foreign investments and corporate mergers via CFIUS, which does not involve private employer wage, hour, or benefit obligations."
hr1569-115,,,,"The bill appropriates funds for federal science research agencies (NSF, DOE, NASA, etc.) and adjusts discretionary spending limits, which does not involve regulating private employer wage, hour, or benefit obligations."
hr4961-115,,,,"The bill addresses compensation for federal employees during a government shutdown, which involves public-sector pay rather than private employer wage, hour, or benefit obligations."
s1035-107,,,,"The bill focuses on environmental conservation and water resource management in the Great Lakes region, containing no provisions related to private employer wage, hour, or benefit obligations."
hr5776-110,,,,"The bill provides a tax exclusion for individuals using retirement funds for mortgage payments, which is a general tax policy change for taxpayers rather than a regulation of private employer wage, hour, or benefit obligations or a tax credit incentivizing employer conduct."
hjres38-107,,,,"The bill disapproves a Department of Health and Human Services rule regarding the privacy of individually identifiable health information (HIPAA), which regulates data privacy standards rather than private employer wage, hour, or benefit obligations."
hr1337-107,,,,"The bill authorizes federal funding for Native American language education programs and facilities, which does not involve private employer wage, hour, or benefit obligations."
hr230-112,,,,"The bill authorizes loan guarantees and grants for cellulosic ethanol production technology, which relates to energy policy and business investment rather than private employer wage, hour, or benefit obligations."
s3474-112,,,,"The bill regulates institutions of higher education regarding student consumer protections and federal financial aid eligibility, not private employer wage, hour, or benefit obligations."
s2484-113,,,,"The bill implements an international fisheries conservation convention and regulates commercial fishing vessels and government agencies, containing no provisions related to private employer wage, hour, or benefit obligations."
hr422-116,,,,"The bill addresses EPA regulations on diesel engine emissions in remote Alaska, which is an environmental compliance issue unrelated to private employer wage, hour, or benefit obligations."
hr2842-111,,,,"The bill rescinds unobligated federal stimulus funds and does not regulate private employer wage, hour, or benefit obligations."
hr4132-107,,,,"The bill suspends import duties on a specific chemical, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr730-111,,,,"The bill focuses on nuclear forensics capabilities, international agreements, and academic scholarships within the Department of Homeland Security, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr2314-115,,,,"The bill regulates security clearances and nepotism for federal employees and relatives of the President, which involves government operations and ethics rather than private employer wage, hour, or benefit obligations."
hr118-109,1,Wage Hour & Benefits,tax_credit_introduction,"Introduces a refundable tax credit for small businesses to offset the costs of providing health insurance to employees, incentivizing private employers to offer employer-sponsored group health benefits."
hr484-114,,,,"The bill focuses on government operations, budget deficits, and eliminating duplicative federal programs, rather than regulating private employer wage, hour, or benefit obligations."
hr5575-106,,,,"The bill amends the Social Security Act to adjust eligibility for divorced spouse's benefits, which is a public assistance program administered by the government, not a regulation of private employer wage, hour, or benefit obligations."
hr2258-115,,,,"The bill addresses commercial driver's license testing exemptions for military personnel, which is a transportation licensing and regulatory matter, not a private employer wage, hour, or benefit obligation."
hr609-115,,,,"The bill designates a Department of Veterans Affairs health care center, which is a government facility, and does not regulate private employer wage, hour, or benefit obligations."
s1766-113,,,,"The bill regulates the allocation of Universal Service Fund contributions among rural states and interstate telecommunications providers, which is a telecommunications policy issue unrelated to private employer wage, hour, or benefit obligations."
hr1535-115,,,,"The bill designates river segments as part of the National Wild and Scenic Rivers System and addresses land management and hydroelectric licensing; it does not regulate private employer wage, hour, or benefit obligations."
s2466-108,,,,"The bill regulates medical providers regarding informed consent and abortion procedures, which does not involve private employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
hr5606-112,,,,"The bill suspends import duties on children's wallets, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
s1235-111,1,Wage Hour & Benefits,enforcement,"The bill amends ERISA to mandate that private employer-sponsored group health plans cover specific reconstructive surgeries for minors, directly imposing obligations on non-governmental employers regarding their employee benefit plans."
hr2222-107,,,,"The bill amends Title 38 to improve government-administered life insurance programs for members of the Armed Forces and veterans, which are federal benefits rather than private employer wage, hour, or benefit obligations."
s361-110,,,,"The bill designates a U.S. courthouse name as a commemorative tribute and does not regulate private employer wage, hour, or benefit obligations."
hr2513-108,,,,"The bill addresses estate tax provisions for family-owned businesses and farms, which is a matter of general taxation and estate planning rather than private employer wage, hour, or benefit obligations."
hr4131-111,,,,"The bill regulates smoking in federal buildings and imposes fines on individuals, addressing government property rules rather than private employer wage, hour, or benefit obligations."
s1850-108,,,,"The bill directs a study of maritime heritage sites and tourism benefits, which does not involve private employer wage, hour, or benefit obligations."
hr2309-116,,,,"The bill addresses tax treatment for real estate like-kind exchanges involving Puerto Rico, which is a general tax policy matter unrelated to private employer wage, hour, or benefit obligations."
hr4362-107,,,,"The bill adjusts import duties on a specific chemical (FOE Hydroxy) under the Harmonized Tariff Schedule, which is a matter of foreign trade policy and does not regulate private employer wage, hour, or benefit obligations."
s2480-107,,,,"The bill addresses firearm carry rights for law enforcement officers and does not regulate private employer wage, hour, or benefit obligations."
hr5341-114,,,,"The bill addresses the recalculation of annuity benefits for federal air traffic controllers, which are government employees; therefore, it does not involve private employer wage, hour, or benefit obligations."
hr2248-112,,,,"The bill regulates Medicare Part D drug pricing negotiations between the government and pharmaceutical manufacturers, which is a matter of government reimbursement rates and public health policy, not private employer wage, hour, or benefit obligations."
hr1926-110,,,,"The bill adjusts Medicare reimbursement rates for colorectal cancer screening services, which falls under the exclusion for bills setting government reimbursement rates rather than regulating private employer wage or benefit obligations."
s3543-112,,,,"The bill addresses water resource management and exemptions from the Lacey Act regarding zebra mussel barriers, which is unrelated to private employer wage, hour, or benefit obligations."
hr2883-113,,,,"The bill authorizes the Secretary of Defense to transfer appropriated funds within the Department of Defense to address sequestration impacts, which involves government budget management and does not regulate private employer wage, hour, or benefit obligations."
s1251-111,,,,"The bill primarily addresses Medicare and Medicaid coverage, payment rates, and public health initiatives for end-of-life care, which are government reimbursement and public health matters rather than private employer wage, hour, or benefit obligations."
s2032-113,,,,"The bill regulates mobile service providers and device manufacturers regarding consumer data security and theft prevention, which does not involve private employer wage, hour, or benefit obligations."
s348-116,,,,"The bill adjusts Medicare payment rates for graduate medical education residency positions, which falls under the exclusion for bills setting government reimbursement rates rather than regulating private employer wage or benefit obligations."
hr4974-110,,,,"The bill suspends import duties on perfluorocarbons, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
s1226-114,,,,"The bill regulates federal land leasing for helium production under the Department of the Interior and does not impose wage, hour, or benefit obligations on private employers."
s3773-109,,,,"The bill addresses the appointment of federal judges to handle immigration caseloads, which is a matter of judicial administration and does not regulate private employer wage, hour, or benefit obligations."
hr2736-111,,,,"The bill regulates federal agency procurement and the use of contractors versus federal employees, which pertains to government operations and public-sector personnel management rather than private employer wage, hour, or benefit obligations."
hr4447-110,,,,"The bill suspends import duties on a specific chemical product, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr4148-110,,,,"The bill adjusts eligibility requirements for educational assistance for military reserve members under Title 10, which is a government-administered benefit program for service members, not a regulation of private employer wage, hour, or benefit obligations."
hr948-107,,,,"The bill addresses Department of Defense policy regarding landmines and victim assistance programs, which involves government military conduct and international agreements rather than private employer wage, hour, or benefit obligations."
hr2319-112,,,,"The bill focuses on federal budget caps, deficit reduction, and government spending procedures, and explicitly addresses Social Security and Medicare as public assistance programs rather than private employer wage, hour, or benefit obligations."
s590-107,,,,"The bill provides a refundable tax credit to individuals for health insurance costs and funds for child health assistance, which are general tax and family policy measures rather than regulations or incentives targeting private employer wage, hour, or benefit obligations."
s1842-108,,,,"The bill concerns international arms trade regulations and bilateral agreements with Australia and the United Kingdom, which are unrelated to private employer wage, hour, or benefit obligations."
s1408-107,,,,"The bill adjusts copayment income thresholds for veterans' healthcare administered by the VA, which is a government service and does not regulate private employer wage, hour, or benefit obligations."
hr2090-109,,,,"The bill focuses on FDA regulatory fees, drug safety oversight, and postmarket studies, which are unrelated to private employer wage, hour, or benefit obligations."
s2202-113,,,,"The bill primarily concerns offshore oil and gas leasing, revenue sharing, and the establishment of a government-funded training fund for veterans, rather than regulating private employer wage, hour, or benefit obligations."
hr4627-113,,,,"The bill amends Medicare coverage rules for durable medical equipment, which sets government reimbursement rates rather than regulating private employer wage, hour, or benefit obligations."
s3050-110,,,,"The bill adjusts tariff duties on isotopic separation machinery for a specific facility, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr4658-113,,,,"The bill amends the Social Security Act regarding civil monetary penalties for physician inducements under Medicare/Medicaid, which relates to government reimbursement rules and healthcare fraud rather than private employer wage, hour, or benefit obligations."
hr2792-113,,,,"The bill appropriates funds for the Legislative Branch, including salaries and benefits for congressional employees and the Capitol Police, which are government entities; it does not regulate private employer wage, hour, or benefit obligations."
hr501-113,,,,"The bill imposes an excise tax on marijuana enterprises and requires permits, which relates to drug regulation and general taxation rather than private employer wage, hour, or benefit obligations."
hr1636-115,,,,"The bill reauthorizes a grant program for school security and emergency notification technology, which does not regulate private employer wage, hour, or benefit obligations."
s2255-108,,,,"The bill designates a U.S. Postal Service facility name, which is a commemorative act involving a government entity and does not regulate private employer wage, hour, or benefit obligations."
hr2385-115,,,,"The bill addresses tariff inversions and trade policy to prevent companies from moving production overseas, but it does not regulate private employer wage, hour, or benefit obligations, nor does it impose duties on employers regarding employee compensation or benefits."
hr5455-112,,,,"The bill suspends import duties on a specific chemical product (Pigment Violet 23) and does not regulate private employer wage, hour, or benefit obligations."
hr317-114,,,,"The bill concerns the admission of a new state into the Union and related governmental procedures, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr5597-112,,,,"The bill extends a temporary suspension of duty on a specific chemical product under the Harmonized Tariff Schedule, which relates to foreign trade and tariffs rather than private employer wage, hour, or benefit obligations."
hr882-114,,,,"The bill focuses on environmental literacy education grants and teacher training under the Elementary and Secondary Education Act, which does not involve private employer wage, hour, or benefit obligations."
s150-109,,,,"The bill primarily regulates environmental emissions from electric power plants under the Clean Air Act and does not impose wage, hour, or benefit obligations on private employers."
hr567-107,,,,"The bill amends Medicaid eligibility rules for disabled children, which is a government-administered public assistance program, not a regulation of private employer wage, hour, or benefit obligations."
hr43-112,,,,"The bill addresses immigration visa allocation and eligibility criteria under the Immigration and Nationality Act, which does not regulate private employer wage, hour, or benefit obligations."
hr6376-114,,,,"The bill modifies a tax deduction for energy-efficient commercial buildings, which is a general business investment incentive unrelated to private employer wage, hour, or benefit obligations."
hr419-111,,,,"The bill designates wilderness areas and adjusts boundaries within Rocky Mountain National Park and the Arapaho National Forest, which relates to public lands and natural resources rather than private employer wage, hour, or benefit obligations."
s1085-113,,,,"The bill provides general tax deductions and depreciation allowances for small business capital expenditures and accounting methods, which are general tax policy measures unrelated to private employer wage, hour, or benefit obligations."
s3976-111,,,,"The bill extends economic recovery payments to recipients of Social Security, SSI, railroad retirement benefits, and veterans' benefits, which are government-administered public assistance programs rather than obligations imposed on private non-governmental employers."
hr1770-116,,,,"The bill provides a tax exclusion for student agriculturists on income from personal property sales, which is a general tax policy matter unrelated to private employer wage, hour, or benefit obligations."
hr3809-106,,,,"The bill establishes a voluntary postage stamp program to fund organ donation awareness through the Postal Service and HHS, involving no private employer wage, hour, or benefit obligations."
hr1913-110,,,,"The bill focuses on wildlife conservation and international environmental cooperation, containing no provisions related to private employer wage, hour, or benefit obligations."
hr6429-112,,,,"The bill primarily addresses immigration policy, visa allocation for STEM graduates, and labor certification procedures for foreign workers, rather than regulating private employer wage, hour, or benefit obligations such as minimum wage, overtime, or ERISA compliance."
hr693-107,,,,"The bill regulates firearm manufacturing and safety technology to prevent youth violence, which does not involve private employer wage, hour, or benefit obligations."
s117-115,,,,"The bill designates a mountain peak in Montana as a tribute and does not regulate private employer wage, hour, or benefit obligations."
hr4183-115,,,,"The bill focuses on criminal justice information sharing and domestic violence record reporting requirements for states, not on private employer wage, hour, or benefit obligations."
hr1126-112,,,,"The bill directs the disposal of federal lands and does not regulate private employer wage, hour, or benefit obligations."
hr2742-114,,,,"The bill addresses the retirement and transport of military working dogs under Title 10, United States Code, which pertains to armed forces operations and animal welfare, not private employer wage, hour, or benefit obligations."
hr5403-109,,,,"The bill regulates state government procedures for interstate foster care placement and adoption, which involves public-sector entities and child welfare services rather than private employer wage, hour, or benefit obligations."
hr606-109,,,,"The bill authorizes appropriations for the restoration of a historic site (Angel Island Immigration Station) and does not regulate private employer wage, hour, or benefit obligations."
hr416-109,,,,"The bill prohibits the expenditure of Department of Defense funds for a specific study, which is a government appropriations restriction and does not regulate private employer wage, hour, or benefit obligations."
s1482-115,,,,"The bill grants a land easement to a Native Corporation for transportation access and does not regulate private employer wage, hour, or benefit obligations."
s631-115,,,,"The bill regulates drone operations and privacy compliance under the FAA and FTC, which does not involve private employer wage, hour, or benefit obligations."
hr4728-113,1,Wage Hour & Benefits,enforcement,"The bill directly regulates private employer obligations under the Affordable Care Act by suspending the employer shared responsibility payment (assessment) for failing to offer minimum essential coverage, which constitutes a change in the enforcement of employer-sponsored health benefit mandates."
s1091-113,,,,"The bill directs the USPS to issue a semipostal stamp for Alzheimer's research funding, which involves government operations and public health research rather than private employer wage, hour, or benefit obligations."
hr6487-111,,,,"The bill addresses international law enforcement and the forfeiture of foreign criminal assets, which is unrelated to private employer wage, hour, or benefit obligations."
hr3497-114,,,,"The bill regulates firearms and ammunition to protect law enforcement officers, which does not involve private employer wage, hour, or benefit obligations."
hr5102-110,,,,"The bill establishes a fee on imported and exported goods to fund transportation infrastructure projects, which does not regulate private employer wage, hour, or benefit obligations."
hr5837-114,,,,"The bill adjusts Medicaid payment rates and coverage rules for substance use disorder treatment, which constitutes government reimbursement policy rather than regulating private employer wage, hour, or benefit obligations."
hr5565-109,,,,"The bill focuses on infrastructure modernization, water rights, and tribal development funds for the Oglala Sioux Tribe, involving government agencies and tribal entities rather than regulating private employer wage, hour, or benefit obligations."
hr1331-109,,,,"The bill addresses the settlement of denied employer claims for the Work Opportunity Tax Credit, which is a hiring incentive unrelated to private employer wage, hour, or benefit obligations such as minimum wage, overtime, or ERISA compliance."
hr5281-106,,,,"The bill adjusts federal block grant funding formulas for the State Children's Health Insurance Program (SCHIP), which is a government-administered public assistance program, and does not regulate private employer wage, hour, or benefit obligations."
s3182-114,,,,"The bill focuses on federal debt management, Treasury reporting requirements, and fiscal responsibility, which are matters of public finance and government operations rather than private employer wage, hour, or benefit obligations."
s2093-112,,,,"The bill establishes pilot programs for shared appreciation mortgage modifications to preserve homeownership, which relates to housing finance and investor returns rather than private employer wage, hour, or benefit obligations."
hr4236-106,,,,"The bill adjusts Medicare+Choice payment rates and capitation methodologies for health plans, which constitutes setting government reimbursement rates rather than regulating private employer wage, hour, or benefit obligations."
s1227-111,,,,"The bill addresses labor-management relations and unfair labor practices under the National Labor Relations Act, which falls outside the scope of wage, hour, and benefit obligations (such as FLSA, WARN, ERISA, or FMLA) targeted by this category."
hr2213-114,,,,"The bill addresses mortgage loan disclosure requirements under RESPA and TILA, which relate to consumer financial protection and lending practices, not private employer wage, hour, or benefit obligations."
hr2993-114,,,,"The bill authorizes federal funding for water recycling projects and drought relief, which is unrelated to private employer wage, hour, or benefit obligations."
hr5714-114,,,,"The bill primarily addresses the financial solvency and governance of the U.S. Postal Service, a government entity, and regulates benefits for federal employees and retirees, which are excluded from the non-governmental employer misconduct category."
hr1474-109,,,,"The bill addresses the classification of functions performed by Federal Aviation Administration employees as inherently governmental, which pertains to federal government employment and privatization policy rather than private employer wage, hour, or benefit obligations."
s3038-109,,,,"The bill suspends import duties on a specific chemical product, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr2916-113,,,,"The bill focuses on congressional review of EPA regulations regarding energy production and air quality, not on private employer wage, hour, or benefit obligations."
hr5666-114,,,,"The bill restricts state and local governments from imposing taxes on firearm sales and background checks; it does not regulate private employer wage, hour, or benefit obligations."
hr5526-106,,,,"The bill is an appropriations act for foreign operations, export financing, and international assistance, which does not regulate private employer wage, hour, or benefit obligations."
hr6050-110,,,,"The bill imposes mandatory criminal sentences for sexual abuse of children and does not regulate private employer wage, hour, or benefit obligations."
hr367-115,,,,"The bill addresses firearm silencer taxation and regulation, which is unrelated to private employer wage, hour, or benefit obligations."
hr5483-115,,,,"The bill regulates DEA special registration for telemedicine practitioners under the Controlled Substances Act, which does not involve private employer wage, hour, or benefit obligations."
hr1231-115,,,,"The bill regulates drug development and FDA requirements for pharmaceutical sponsors regarding pediatric cancer treatments, which does not involve private employer wage, hour, or benefit obligations."
s280-112,,,,"The bill focuses on elementary and secondary education policy, including student assessments, teacher qualifications, and funding for educational programs, and does not regulate private employer wage, hour, or benefit obligations."
hr270-113,,,,"The bill focuses on public financing for presidential and congressional elections and campaign finance regulations, which does not involve private employer wage, hour, or benefit obligations."
hr383-114,,,,"The bill prohibits federal contributions to international climate organizations and does not regulate private employer wage, hour, or benefit obligations."
hr5485-110,,,,"The bill focuses on evaluating U.S. government-financed global HIV/AIDS programs (PEPFAR) for accountability and transparency, which involves foreign policy and public health administration rather than regulating private employer wage, hour, or benefit obligations."
hr5067-111,,,,"The bill prohibits the Department of Defense from using eminent domain to expand a military facility, which involves government land use and property rights rather than private employer wage, hour, or benefit obligations."
s2151-106,,,,"The bill suspends import duties on viscose rayon yarn, which is a trade and tariff measure unrelated to private employer wage, hour, or benefit obligations."
hr4781-109,,,,"The bill authorizes grants for establishing information technology centers in rural areas and does not regulate private employer wage, hour, or benefit obligations."
hr492-111,,,,"This is a private relief bill for an individual, which does not regulate private employer wage, hour, or benefit obligations or corporate misconduct."
s1536-113,,,,"The bill regulates EPA administrative procedures and inter-agency funding offsets for greenhouse gas rules, involving no private employer wage, hour, or benefit obligations."
s2743-111,,,,"The bill authorizes a military service medal for Armed Forces members, which relates to military recognition and benefits administered by the government, not private employer wage, hour, or benefit obligations."
hr258-108,,,,"The bill concerns the design of U.S. currency and the establishment of a federal advisory committee for coinage, which does not involve private employer wage, hour, or benefit obligations."
hr2841-108,,,,"The bill addresses immigration enforcement, deportation grounds for terrorist activities, and passport regulations, which are unrelated to private employer wage, hour, or benefit obligations."
s3619-110,,,,"The bill establishes a National Heritage Area in Pennsylvania and designates a management entity, which relates to public lands and cultural preservation rather than private employer wage, hour, or benefit obligations."
hr4051-116,,,,"The bill primarily establishes a carbon fee and rebate fund for individuals, and while it mandates prevailing wages for public works projects under the Davis-Bacon Act, this applies to government-funded contracts rather than regulating general private employer wage, hour, or benefit obligations."
hr1804-112,,,,"The bill addresses state taxation of video programming services and does not regulate private employer wage, hour, or benefit obligations."
hr3406-110,,,,"The bill provides grants to states and local educational agencies to improve middle school academic performance and does not regulate private employer wage, hour, or benefit obligations."
hr613-110,,,,"The bill adjusts federal Medicare reimbursement rates for emergency health services in Puerto Rico, which is a government reimbursement policy rather than a regulation of private employer wage, hour, or benefit obligations."
s1797-107,,,,"The bill suspends import duties on railway car components, which is a trade policy measure unrelated to private employer wage, hour, or benefit obligations."
hr6515-112,,,,"The bill regulates toll increases on bridges and tunnels to protect local economies and families, but it does not impose wage, hour, or benefit obligations on private employers."
s1170-109,,,,"The bill establishes a National Conservation Area for cave resources and manages federal land use, containing no provisions related to private employer wage, hour, or benefit obligations."
hr545-109,,,,"The bill addresses computer access for military personnel in combat zones and involves the Department of Defense, not private employer wage, hour, or benefit obligations."
hr4953-112,,,,"The bill provides a tax credit for the production of renewable chemicals, which is a general manufacturing incentive unrelated to private employer wage, hour, or benefit obligations."
s969-115,,,,"The bill amends the Elementary and Secondary Education Act to expand a student identifier program for children of military reservists, which is an education policy matter and does not regulate private employer wage, hour, or benefit obligations."
hr6316-114,,,,"The bill regulates the Department of the Army's recoupment of bonuses from National Guard members, which involves government military personnel and not private non-governmental employer wage or benefit obligations."
s667-109,,,,"The bill primarily addresses the Temporary Assistance for Needy Families (TANF) program, which is a public assistance program administered by the government, not a regulation of private employer wage, hour, or benefit obligations."
hr5701-114,1,Wage Hour & Benefits,enforcement,"The bill amends the Family and Medical Leave Act (FMLA) to expand the definition of covered family members for leave purposes, directly regulating private employer obligations regarding protected leave and preventing retaliation for taking such leave."
s1987-108,,,,"The bill implements an international agreement regarding nuclear safeguards and nonproliferation with the IAEA, focusing on government access, recordkeeping, and sanctions, rather than regulating private employer wage, hour, or benefit obligations."
hr560-113,,,,"The bill establishes a national conservation area and wilderness designations in New Mexico, focusing on public lands and natural resources rather than private employer wage, hour, or benefit obligations."
hr998-115,,,,"The bill establishes a commission to review and repeal federal regulations generally, rather than directly imposing or modifying specific wage, hour, or benefit obligations on private non-governmental employers."
hr1381-110,,,,"The bill focuses on election administration, voting rights, and poll worker training under the Help America Vote Act, which does not involve private employer wage, hour, or benefit obligations."
hr5636-110,,,,"The bill focuses on consumer product safety, recall notifications, and public information dissemination, which does not involve private employer wage, hour, or benefit obligations."
hr722-110,,,,"The bill increases federal Pell Grant awards for students, which is a public assistance/education funding program and does not regulate private employer wage, hour, or benefit obligations."
hr829-113,,,,"The bill designates a segment of Illabot Creek as part of the National Wild and Scenic Rivers System and regulates land acquisition by the USDA, which is unrelated to private employer wage, hour, or benefit obligations."
hr3215-107,,,,"The bill regulates interstate gambling and internet betting activities, which falls under crime and law enforcement rather than private employer wage, hour, or benefit obligations."
hr4454-114,,,,"The bill amends Title 38 to expand eligibility for the Post-9/11 Educational Assistance Program, which is a government-administered veterans' benefit program, not a regulation of private employer wage, hour, or benefit obligations."
hr608-115,,,,"The bill prohibits federal funding for assistance to terrorist organizations and their supporting countries, which is a matter of foreign policy and national security, not private employer wage, hour, or benefit obligations."
s1335-112,,,,"The bill regulates FAA administrative procedures and pilot certification appeals, which are matters of transportation safety and government licensing rather than private employer wage, hour, or benefit obligations."
hr4017-106,,,,"The bill concerns the export controls of Alaskan North Slope crude oil and does not address private employer wage, hour, or benefit obligations."
hr5747-109,,,,"The bill addresses immigration status and adjustment of status for aliens, which is unrelated to private employer wage, hour, or benefit obligations."
hr3386-107,,,,"The bill concerns the conveyance of federal land parcels to private individuals and does not regulate private employer wage, hour, or benefit obligations."
s1529-114,,,,"The bill focuses on crime gun tracing and law enforcement grant requirements, which are unrelated to private employer wage, hour, or benefit obligations."
hr5629-106,,,,"The bill permits a specific ship to be placed under a foreign registry, which is a matter of maritime law and vessel registration, not private employer wage, hour, or benefit obligations."
hr4789-113,,,,"The bill addresses individual taxpayer deductions for state and local sales taxes under the Internal Revenue Code, which is a general tax policy matter unrelated to private employer wage, hour, or benefit obligations."
s3134-114,,,,"The bill mandates the collection of demographic data by federal agencies for statistical purposes and does not regulate private employer wage, hour, or benefit obligations."
hr5483-106,,,,"The bill is an appropriations act for federal agencies (Department of Defense, Department of the Interior, Department of Energy, etc.) and does not regulate private employer wage, hour, or benefit obligations."
hr5839-109,,,,"The bill regulates political action committees and campaign finance under the Federal Election Campaign Act, which is unrelated to private employer wage, hour, or benefit obligations."
s3053-114,,,,"The bill addresses firearm possession restrictions for individuals convicted of misdemeanor hate crimes, which is a criminal justice and public safety issue unrelated to private employer wage, hour, or benefit obligations."
s2351-111,,,,"The bill addresses tariff suspensions for a specific chemical product under the Harmonized Tariff Schedule, which relates to foreign trade policy and does not involve private employer wage, hour, or benefit obligations."
hr3490-109,,,,"The bill suspends import duties on footwear, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
hr1830-114,,,,"The bill addresses federal agency conduct regarding water rights and land use permits, involving no private employer wage, hour, or benefit obligations."
s1071-111,,,,"The bill addresses immigration status, detention, and national security regarding individuals held at Guantanamo Bay, involving government agencies (DOD, DHS) rather than private employer wage, hour, or benefit obligations."
