bill_id,category_ids,category_labels
s1273-113,15;22,Competition-related Offenses;Government Contracting
hr125-109,15;22,Competition-related Offenses;Government Contracting
hr5371-106,,
s3758-109,,
s2920-111,6,Transportation Safety
hr5538-113,,
s243-115,23,Healthcare Fraud & Compliance
s2505-113,10;15,Securities & Investor Protection;Competition-related Offenses
hr3380-109,1,Wage Hour & Benefits
s2342-108,18;17,Earth Violation;Water Violation
s1949-111,15,Competition-related Offenses
hr1364-114,7,Infrastructure & Nuclear Safety
s2489-114,10;12;15;22;24,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;Government Contracting;Government Reporting & Compliance"
s3519-110,21,Animal Welfare
s1323-114,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr2548-115,,
hr2195-113,,
hr4513-110,15,Competition-related Offenses
hr3578-108,10;15,Securities & Investor Protection;Competition-related Offenses
s1443-107,17,Water Violation
hr1029-115,18,Earth Violation
hr666-111,,
s855-109,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr1473-108,14,Consumer Protection
hr5142-112,15,Competition-related Offenses
hr6117-111,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
s525-113,24,Government Reporting & Compliance
hr1235-113,7;15,Infrastructure & Nuclear Safety;Competition-related Offenses
hr2778-112,10,Securities & Investor Protection
hr3807-110,20,Energy Efficiency
s2159-107,15,Competition-related Offenses
hr857-111,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
s767-115,16,Air Violation
hr335-116,17,Water Violation
hr6049-112,,
hr1162-112,,
s1798-115,17,Water Violation
hr785-107,11,Accounting Financial Reporting & Tax
hr4588-114,,
s3014-112,15,Competition-related Offenses
hr2419-113,10;14,Securities & Investor Protection;Consumer Protection
s2088-114,,
s1139-114,24,Government Reporting & Compliance
hr3659-115,11,Accounting Financial Reporting & Tax
s2361-106,10,Securities & Investor Protection
hr255-107,10;15,Securities & Investor Protection;Competition-related Offenses
hr1339-112,,
hr97-115,1,Wage Hour & Benefits
s1430-110,9;10;15;24,Banking AML & Sanctions;Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
hr914-107,2,Employment Discrimination
hr1766-107,,
hr6269-109,10;15,Securities & Investor Protection;Competition-related Offenses
hr5720-114,6,Transportation Safety
hr2819-109,15,Competition-related Offenses
hr1049-107,1,Wage Hour & Benefits
hr1394-111,,
hr3857-110,24,Government Reporting & Compliance
hr706-110,,
hr1941-114,9;10;24,Banking AML & Sanctions;Securities & Investor Protection;Government Reporting & Compliance
s2721-111,15,Competition-related Offenses
hr1017-114,25,National Security & Cybercrime
hr1384-107,12,"Fraud, Corruption & Criminal Conduct"
s1820-109,,
hr684-115,,
hr808-114,,
hr4474-114,11,Accounting Financial Reporting & Tax
hr1823-109,,
s2458-107,,
s1404-111,,
hr3387-108,1,Wage Hour & Benefits
hr1083-108,,
hr5617-106,17,Water Violation
hr4445-109,,
hr1756-116,14,Consumer Protection
s1910-111,15,Competition-related Offenses
s2298-111,,
s2708-106,23,Healthcare Fraud & Compliance
s74-114,1,Wage Hour & Benefits
s1213-115,6;18,Transportation Safety;Earth Violation
hr2250-108,24,Government Reporting & Compliance
hr2337-108,,
hr2417-108,10;12;24,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr1461-114,6;14,Transportation Safety;Consumer Protection
hr5353-106,15,Competition-related Offenses
s932-107,16;17;18,Air Violation;Water Violation;Earth Violation
hr3371-114,,
hr2645-109,22,Government Contracting
hr1253-110,,
s46-112,17;18,Water Violation;Earth Violation
hr4606-113,4,Workplace Safety
hr965-110,,
s11-108,10;12;14;23,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Consumer Protection;Healthcare Fraud & Compliance"
s2238-114,18,Earth Violation
s2055-107,12,"Fraud, Corruption & Criminal Conduct"
s513-112,5;12,"Consumer Safety;Fraud, Corruption & Criminal Conduct"
s2585-106,,
hr6315-110,16,Air Violation
hr5761-111,1,Wage Hour & Benefits
hr1804-107,23,Healthcare Fraud & Compliance
hr4681-111,,
hr1593-112,11,Accounting Financial Reporting & Tax
s2016-111,15,Competition-related Offenses
hr6170-112,6;15,Transportation Safety;Competition-related Offenses
hr1279-116,12,"Fraud, Corruption & Criminal Conduct"
hr1970-107,,
hr4630-109,,
s1674-109,15,Competition-related Offenses
hr5912-109,14,Consumer Protection
hr5394-111,,
s1086-113,1,Wage Hour & Benefits
hr1439-112,11;15,Accounting Financial Reporting & Tax;Competition-related Offenses
hr1851-107,22,Government Contracting
s2534-106,15,Competition-related Offenses
s3409-115,,
hr4364-110,15,Competition-related Offenses
s106-112,11,Accounting Financial Reporting & Tax
hr4196-113,,
hr1582-116,24,Government Reporting & Compliance
hr4520-108,10;11;15;24,Securities & Investor Protection;Accounting Financial Reporting & Tax;Competition-related Offenses;Government Reporting & Compliance
hr4039-109,,
s2236-106,1,Wage Hour & Benefits
hr1874-113,,
s2286-111,15,Competition-related Offenses
s1442-114,,
hr5354-108,1,Wage Hour & Benefits
hr1634-112,18,Earth Violation
s1528-110,12;14,"Fraud, Corruption & Criminal Conduct;Consumer Protection"
hr4837-113,1;10,Wage Hour & Benefits;Securities & Investor Protection
hr5458-113,23,Healthcare Fraud & Compliance
hr2071-114,6,Transportation Safety
hr827-113,10,Securities & Investor Protection
hr3443-113,,
hr2303-109,15,Competition-related Offenses
s1107-107,3,Labor Relations
s826-115,21,Animal Welfare
hr3615-115,,
hr1123-110,4;22,Workplace Safety;Government Contracting
s3439-109,,
hr1993-113,24,Government Reporting & Compliance
s1979-113,1;10;11;22,Wage Hour & Benefits;Securities & Investor Protection;Accounting Financial Reporting & Tax;Government Contracting
s1075-108,1,Wage Hour & Benefits
hr3187-113,,
s1343-113,17,Water Violation
hr5523-112,15,Competition-related Offenses
hr4230-106,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr580-109,,
s3173-106,,
hr2485-111,1,Wage Hour & Benefits
hr2908-114,,
s807-110,17,Water Violation
hr3379-110,7;10,Infrastructure & Nuclear Safety;Securities & Investor Protection
s1668-107,10;15,Securities & Investor Protection;Competition-related Offenses
s508-108,,
hr1181-109,18;22,Earth Violation;Government Contracting
hr6681-112,,
hr2574-110,22,Government Contracting
hr961-107,1,Wage Hour & Benefits
hr1389-110,,
hr4050-109,23,Healthcare Fraud & Compliance
hr5527-106,17;22,Water Violation;Government Contracting
hr259-114,1,Wage Hour & Benefits
s1688-113,,
s769-113,18,Earth Violation
hr1342-109,,
s414-109,24,Government Reporting & Compliance
hr2472-107,14,Consumer Protection
hr1432-108,12,"Fraud, Corruption & Criminal Conduct"
s2456-110,5;10,Consumer Safety;Securities & Investor Protection
s2138-107,15,Competition-related Offenses
s1368-115,10;15,Securities & Investor Protection;Competition-related Offenses
hr3555-112,15,Competition-related Offenses
hr3971-108,11;12;24,"Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s3447-114,,
hr4532-111,1,Wage Hour & Benefits
hr1521-111,,
hr1140-110,17,Water Violation
hr3690-114,3,Labor Relations
hr5218-110,10;15,Securities & Investor Protection;Competition-related Offenses
s1499-115,9;10,Banking AML & Sanctions;Securities & Investor Protection
hr337-112,2,Employment Discrimination
hr5032-115,,
s15-107,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr2418-107,7;18,Infrastructure & Nuclear Safety;Earth Violation
hr8-108,11,Accounting Financial Reporting & Tax
s2206-113,24,Government Reporting & Compliance
hr5142-109,,
s20-107,15,Competition-related Offenses
s2738-114,10;24,Securities & Investor Protection;Government Reporting & Compliance
hr400-108,6,Transportation Safety
s1545-110,22,Government Contracting
s565-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr4319-113,18,Earth Violation
sjres4-109,15,Competition-related Offenses
s3223-109,15,Competition-related Offenses
hr6659-112,10;15,Securities & Investor Protection;Competition-related Offenses
s2498-113,10,Securities & Investor Protection
hr263-112,27,Firearms Violation
hr2183-111,24,Government Reporting & Compliance
hr2782-111,,
hr4066-114,,
s214-108,,
hjres62-114,10;15,Securities & Investor Protection;Competition-related Offenses
hr5115-106,,
s2156-110,17,Water Violation
hr3727-108,,
hr75-112,15,Competition-related Offenses
hr1576-116,,
hr2812-111,,
hr3257-110,,
hr331-112,11,Accounting Financial Reporting & Tax
hr1443-113,,
s196-110,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr4750-109,17,Water Violation
s454-115,16,Air Violation
s3229-111,,
hr1311-108,,
hr3456-107,5;14,Consumer Safety;Consumer Protection
s587-116,,
s640-111,24,Government Reporting & Compliance
s378-116,10;14;23,Securities & Investor Protection;Consumer Protection;Healthcare Fraud & Compliance
hr2967-111,11,Accounting Financial Reporting & Tax
hr5177-109,11,Accounting Financial Reporting & Tax
s379-113,,
hjres70-110,,
hr1249-114,1,Wage Hour & Benefits
s3450-114,,
hr4213-113,14,Consumer Protection
hr3665-112,10;15,Securities & Investor Protection;Competition-related Offenses
hr1263-113,,
s1845-113,1,Wage Hour & Benefits
s1004-113,15,Competition-related Offenses
hr2548-107,,
hr3949-113,11,Accounting Financial Reporting & Tax
hr5290-108,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
hr1645-108,18,Earth Violation
s1191-113,20,Energy Efficiency
hr3991-109,,
s2476-106,24,Government Reporting & Compliance
hr4193-106,12,"Fraud, Corruption & Criminal Conduct"
s1403-109,23,Healthcare Fraud & Compliance
hr5191-112,,
hr1571-111,6,Transportation Safety
hr6445-112,1,Wage Hour & Benefits
s1378-109,22,Government Contracting
hr3803-110,,
hr7106-110,,
s1071-107,16,Air Violation
s1708-113,6,Transportation Safety
s22-109,10;12;14;23,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Consumer Protection;Healthcare Fraud & Compliance"
hr2281-108,,
hr4056-108,6;10;15;24,Transportation Safety;Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
s3984-111,1,Wage Hour & Benefits
s1167-108,22,Government Contracting
hr1903-112,,
hr5764-111,11,Accounting Financial Reporting & Tax
hr4936-108,,
s1256-110,10;15,Securities & Investor Protection;Competition-related Offenses
s3599-111,4;10;24,Workplace Safety;Securities & Investor Protection;Government Reporting & Compliance
hr2105-112,9;10;15,Banking AML & Sanctions;Securities & Investor Protection;Competition-related Offenses
s2189-110,,
hr4089-115,11;12;24,"Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s517-115,16,Air Violation
s2723-112,,
hr904-115,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr5479-107,4;10;24,Workplace Safety;Securities & Investor Protection;Government Reporting & Compliance
s3317-114,,
s530-108,1,Wage Hour & Benefits
hr5335-106,24,Government Reporting & Compliance
hr4711-110,15,Competition-related Offenses
hr454-115,,
s2011-110,25,National Security & Cybercrime
hr5823-114,12,"Fraud, Corruption & Criminal Conduct"
s2281-114,21,Animal Welfare
hr3500-107,,
hr4358-115,11,Accounting Financial Reporting & Tax
hr5504-112,15,Competition-related Offenses
hr3442-110,10;15,Securities & Investor Protection;Competition-related Offenses
s3208-110,16,Air Violation
hr4454-113,11,Accounting Financial Reporting & Tax
hr4924-113,15;22,Competition-related Offenses;Government Contracting
s2642-112,,
hr144-111,,
hr5654-106,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr1585-107,18,Earth Violation
hr3013-109,18,Earth Violation
hr4480-110,15,Competition-related Offenses
hr1629-111,1,Wage Hour & Benefits
hr692-111,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
hr5547-114,14;23,Consumer Protection;Healthcare Fraud & Compliance
hjres11-108,,
hr3926-108,23,Healthcare Fraud & Compliance
hr6895-110,7,Infrastructure & Nuclear Safety
s1237-115,11;22,Accounting Financial Reporting & Tax;Government Contracting
hr6124-114,,
hr2706-112,15,Competition-related Offenses
hr1829-111,1,Wage Hour & Benefits
hr5729-115,6,Transportation Safety
s1289-107,,
s2617-111,,
hr3547-109,23,Healthcare Fraud & Compliance
hr1362-115,,
s2832-108,1,Wage Hour & Benefits
s829-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr1958-115,14,Consumer Protection
hr4555-114,15,Competition-related Offenses
hr7120-115,24,Government Reporting & Compliance
s2915-108,,
s2906-110,15,Competition-related Offenses
s2038-116,,
s3574-109,,
hr5059-113,1,Wage Hour & Benefits
s3070-106,5;6;14;15,Consumer Safety;Transportation Safety;Consumer Protection;Competition-related Offenses
hr1196-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr3880-113,25,National Security & Cybercrime
s1275-108,12,"Fraud, Corruption & Criminal Conduct"
hr5561-113,6,Transportation Safety
s177-109,18,Earth Violation
hr2461-110,11,Accounting Financial Reporting & Tax
hr1496-115,12,"Fraud, Corruption & Criminal Conduct"
s1053-113,23,Healthcare Fraud & Compliance
hr116-114,14,Consumer Protection
s751-112,,
hr6429-111,12;25,"Fraud, Corruption & Criminal Conduct;National Security & Cybercrime"
s1530-115,23,Healthcare Fraud & Compliance
s2316-114,1,Wage Hour & Benefits
s2975-113,14;22,Consumer Protection;Government Contracting
s3807-111,16,Air Violation
s2284-107,15,Competition-related Offenses
hr6285-114,,
s1862-114,,
hr1075-115,,
s1008-112,11,Accounting Financial Reporting & Tax
hr5808-110,,
hr2653-111,,
hr4093-107,,
sjres11-112,,
hr4186-112,24,Government Reporting & Compliance
hr6390-111,14,Consumer Protection
hr4128-111,3;15;22,Labor Relations;Competition-related Offenses;Government Contracting
hr6777-110,12,"Fraud, Corruption & Criminal Conduct"
hr2420-114,,
s670-113,15,Competition-related Offenses
hr2085-115,,
hr3560-111,,
s397-113,,
s2163-110,11,Accounting Financial Reporting & Tax
s511-108,,
hr5020-106,12;14,"Fraud, Corruption & Criminal Conduct;Consumer Protection"
hr3422-110,,
s285-107,17,Water Violation
hr4252-108,22,Government Contracting
hr2770-112,23,Healthcare Fraud & Compliance
hr1271-112,,
hr5336-108,,
s2486-106,1,Wage Hour & Benefits
hr3502-112,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting
s546-115,15,Competition-related Offenses
hr1841-111,16;17,Air Violation;Water Violation
s994-112,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s65-114,,
hr731-115,18;15,Earth Violation;Competition-related Offenses
hr1742-115,24,Government Reporting & Compliance
hr3545-107,23,Healthcare Fraud & Compliance
hr1411-115,,
s2864-111,,
hr890-115,13,Intellectual Property & Trade Secrets
s2482-109,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting
s1730-108,1,Wage Hour & Benefits
hr5878-110,,
sjres22-112,10;15,Securities & Investor Protection;Competition-related Offenses
hr1911-113,,
hr536-114,,
hr5621-114,,
hr768-114,,
s1364-112,,
s2993-112,15,Competition-related Offenses
hr5636-106,12,"Fraud, Corruption & Criminal Conduct"
hr6207-112,18;19,Earth Violation;Lead Violation
s1255-115,1,Wage Hour & Benefits
s3006-106,12,"Fraud, Corruption & Criminal Conduct"
s2681-107,5,Consumer Safety
hr3084-107,24,Government Reporting & Compliance
hr284-109,2,Employment Discrimination
hr1875-110,,
s1069-116,,
hr3923-114,,
s614-107,6,Transportation Safety
s1631-111,10;15,Securities & Investor Protection;Competition-related Offenses
hr5650-111,,
hr3442-107,,
hr2841-113,,
s2183-110,,
hr5589-114,23,Healthcare Fraud & Compliance
hr1223-116,11,Accounting Financial Reporting & Tax
hr863-114,1,Wage Hour & Benefits
hr1209-108,,
hr5864-111,10;15,Securities & Investor Protection;Competition-related Offenses
hr266-107,1,Wage Hour & Benefits
hr6853-110,12;14;15,"Fraud, Corruption & Criminal Conduct;Consumer Protection;Competition-related Offenses"
s3417-110,,
hr1268-111,10;14,Securities & Investor Protection;Consumer Protection
hr2669-110,,
hr4539-111,11,Accounting Financial Reporting & Tax
hr1137-107,10;11;13,Securities & Investor Protection;Accounting Financial Reporting & Tax;Intellectual Property & Trade Secrets
hr654-107,14,Consumer Protection
s827-107,1,Wage Hour & Benefits
hr5343-109,12,"Fraud, Corruption & Criminal Conduct"
s1182-113,12;25,"Fraud, Corruption & Criminal Conduct;National Security & Cybercrime"
s1406-114,5,Consumer Safety
s566-109,1,Wage Hour & Benefits
s1124-110,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr6097-112,1,Wage Hour & Benefits
hr3445-108,,
hr4012-113,16;24,Air Violation;Government Reporting & Compliance
hr5832-111,10;15;24,Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
s3161-106,23,Healthcare Fraud & Compliance
hr3742-114,23,Healthcare Fraud & Compliance
s1470-113,17,Water Violation
hr4349-111,7;22,Infrastructure & Nuclear Safety;Government Contracting
hr2200-115,26,Exploitation & Trafficking
s466-116,,
s341-115,9;10;12;15,"Banking AML & Sanctions;Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
s2841-113,,
hr1460-107,12;27,"Fraud, Corruption & Criminal Conduct;Firearms Violation"
hr21-114,16,Air Violation
hr6470-112,21,Animal Welfare
hr5267-107,10;12,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct"
s3414-109,14,Consumer Protection
hr6310-114,,
hr6335-115,,
sjres7-111,,
hr4781-108,,
hr4800-111,,
s3938-111,,
hr389-113,5;15,Consumer Safety;Competition-related Offenses
s3061-106,6;14,Transportation Safety;Consumer Protection
hr4271-109,17,Water Violation
hr2743-114,7,Infrastructure & Nuclear Safety
hr5540-112,,
hr1120-115,,
hr2822-114,4;16;17;18,Workplace Safety;Air Violation;Water Violation;Earth Violation
hr3467-112,11,Accounting Financial Reporting & Tax
hr5821-109,1,Wage Hour & Benefits
hr2272-115,18,Earth Violation
hr1614-113,11,Accounting Financial Reporting & Tax
hr493-109,,
s3730-111,24,Government Reporting & Compliance
s973-111,23,Healthcare Fraud & Compliance
hr2471-114,,
hr2585-107,17,Water Violation
hr4354-112,15,Competition-related Offenses
hr5699-114,,
s3092-110,,
s2024-113,2,Employment Discrimination
hr4487-114,10;15,Securities & Investor Protection;Competition-related Offenses
hr4730-110,15,Competition-related Offenses
s3549-112,17;18,Water Violation;Earth Violation
hjres96-115,18;22,Earth Violation;Government Contracting
s454-111,22,Government Contracting
s3441-114,26,Exploitation & Trafficking
hr2454-116,,
hr3213-107,18;17,Earth Violation;Water Violation
hr1359-115,,
s3697-109,,
s308-110,,
s1477-111,5,Consumer Safety
hr4858-114,6,Transportation Safety
hr3945-109,9;10,Banking AML & Sanctions;Securities & Investor Protection
hr3129-107,10;12;15;24,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;Government Reporting & Compliance"
hr2341-107,10;15,Securities & Investor Protection;Competition-related Offenses
hr3304-107,,
hr1262-111,17,Water Violation
s2557-108,12;27,"Fraud, Corruption & Criminal Conduct;Firearms Violation"
s330-113,23,Healthcare Fraud & Compliance
hr491-116,1,Wage Hour & Benefits
hr6083-111,23,Healthcare Fraud & Compliance
hr680-114,,
s365-111,12;14;15,"Fraud, Corruption & Criminal Conduct;Consumer Protection;Competition-related Offenses"
hr350-115,16,Air Violation
hr2217-113,10;15,Securities & Investor Protection;Competition-related Offenses
hr903-108,,
hr1606-115,1,Wage Hour & Benefits
hr4198-111,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
s2389-115,12,"Fraud, Corruption & Criminal Conduct"
hr1225-115,,
s1205-114,,
s172-113,9;14,Banking AML & Sanctions;Consumer Protection
hr4389-114,22,Government Contracting
hr3668-113,23,Healthcare Fraud & Compliance
hr6139-109,6,Transportation Safety
hr1107-109,2,Employment Discrimination
hr1589-113,,
s3744-111,18,Earth Violation
hr766-108,24,Government Reporting & Compliance
hr934-109,,
hr744-115,3,Labor Relations
hr4396-106,6,Transportation Safety
hr2303-111,11,Accounting Financial Reporting & Tax
hr5841-112,,
hr980-107,12;18,"Fraud, Corruption & Criminal Conduct;Earth Violation"
s809-116,,
hr5442-114,5,Consumer Safety
hr5538-111,,
hr1167-110,12;27,"Fraud, Corruption & Criminal Conduct;Firearms Violation"
hjres41-114,1,Wage Hour & Benefits
s3795-109,23,Healthcare Fraud & Compliance
hr5254-109,16;24,Air Violation;Government Reporting & Compliance
hr3672-113,,
hr6051-109,,
hr288-112,,
s1290-113,12,"Fraud, Corruption & Criminal Conduct"
s3669-109,15,Competition-related Offenses
hr4698-108,,
hr3666-107,11;12;14;22;24,"Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct;Consumer Protection;Government Contracting;Government Reporting & Compliance"
hr5029-110,,
s1557-113,23,Healthcare Fraud & Compliance
hr2396-113,16;17;22,Air Violation;Water Violation;Government Contracting
s544-107,15,Competition-related Offenses
