primary_offense,secondary_offense,description,penalty_date,penalty,company,agency
wage and hour violation,,Meal & Rest Periods for 16-17-year-olds (WAC 296-125-0287),20210804,9400,Breit Federal Way TRS LLC,Washington State Department of Labor & Industries
wage and hour violation,,Other Social Advocacy Organizations,20230726,8622,"Community Housing Partnership,",California Labor Commissioner's Office
WARN Act violation,,Worker Adjustment and Retraining Notification Act,20181119,516250,Mechel Bluestone Inc.,
wage and hour violation,,Home Health Care Services,20191205,46961,Serenity Care Health EA Corporation,California Labor Commissioner's Office
Family and Medical Leave Act,,The DFEH announced that it reached a $6 million settlement with Verizon to resolve a lawsuit concerning inconsistencies in the company's family medical leave practices.,20101130,6011190,Verizon Communication,California Civil Rights Department
wage and hour violation,,Apparel Manufacturing,20190603,56097,"HC Fashion, Inc.",California Labor Commissioner's Office
wage and hour violation,,Other Personal Care Services,20230620,32764,Bloom Beauty and Wellness LLC,California Labor Commissioner's Office
wage and hour violation,,Illinois Wage Payment and Collection Act,20150611,14782,KRIL LLC,Illinois Department of Labor
wage and hour violation,,Illinois Wage Payment and Collection Act,20140805,11083,1660 NORTH LASALLE CONDOMINIUM,Illinois Department of Labor
wage and hour violation,,prevailing wage violation,20081224,32297,Darr Construction,Pennsylvania Department of Labor & Industry
wage and hour violation,,Transportation,20190422,9532,"XPO LOGISTICS MANAGED TRANSPORTATION, LLC",Illinois Department of Labor
wage and hour violation,,Remediation Services,20210902,175501,"Brazilian Academy of Mixed Martial Arts, LLC",California Labor Commissioner's Office
Family and Medical Leave Act,,"Tire Kingdom Inc. paid $15,875 in back wages and medical expenses to an employee who was allegedly not reinstated to the same or an equivalent position after returning to work from an approved absence. The agreement followed an investigation by the U.S. Labor Department's Wage and Hour Division, which found that the company's action violated the Family and Medical Leave Act (FMLA).",20040427,15875,Tire Kingdom Inc.,Labor Department Wage and Hour Division
benefit plan administrator violation,,Deficient Filer,20110509,10001,"ANCHOR HEALTH CENTERS, P.A.",Employee Benefits Security Administration
wage and hour violation,child labor or youth employment violation,child labor penalties included,20020930,12600,"Gateway Starship, LLC",Labor Department Wage and Hour Division
wage and hour violation,,minimum wage violation,20141215,7600000,Nordstrom,
wage and hour violation,,Department Stores,20170530,5577,"Toy Planet, LLC",California Labor Commissioner's Office
Family and Medical Leave Act,,"Armstrong and Eshelman, PA paid $24,477 in back wages to an employee terminated while on approved leave for a serious medical condition. The agreement followed an investigation by the U.S. Labor Department's Wage and Hour Division, which found that the termination violated the Family and Medical Leave Act (FMLA).",20040409,24477,"Armstrong and Eshelman, PA",Labor Department Wage and Hour Division
wage and hour violation,,General Freight Trucking,20201104,36098,N Transport LLC,California Labor Commissioner's Office
wage and hour violation,Fair Labor Standards Act,Migrant and Seasonal Agricultural Worker Protection Act penalties included,20130809,6175,"Margarito Martinez, FLC",Labor Department Wage and Hour Division
wage and hour violation,,Apparel Manufacturing,20180521,36680,"Milkyway Jeans, Inc.",California Labor Commissioner's Office
Family and Medical Leave Act,,"Columbus-based American Family Life Assurance Co., known as Aflac, agreed to pay a former employee $16,882 after an investigation by the U.S. Department of Labor found that the company violated the Family and Medical Leave Act by terminating an employee who took intermittent leave for a serious health condition.",20120402,16882,"American Family Life Assurance Co., known as Aflac",Labor Department Wage and Hour Division
wage and hour violation,,Motion Picture and Video Industries,20191023,18692,"Motion Coded, Inc.",California Labor Commissioner's Office
wage and hour violation,,Other,20190807,5100,NU-AGAIN INC,Illinois Department of Labor
WARN Act violation,,"While in bankruptcy, New England Motor Freight agreed to pay $625,000 to a group of laid off workers who alleged they were not given proper notice under the Worker Adjustment and Retraining Notification Act.",20191213,625000,New England Motor Freight Inc.,
wage and hour violation,,Construction,20230620,18750,Bay Pro Property Solutions Inc,California Labor Commissioner's Office
wage and hour violation,Fair Labor Standards Act,"A federal investigation determined that Fresno Roofing Company, with offices at 5950 E. Olive Ave., paid roofing installers and some maintenance employees straight hourly pay regardless of the number of hours worked. In addition, an office manager, two secretaries and a yard supervisor were misclassified as salaried workers and exempt from overtime pay.",20031211,70000,Fresno Roofing Company,Labor Department Wage and Hour Division
wage and hour violation,,overtime violation,20180207,17399,"UGRS, Inc.",Labor Department Wage and Hour Division
wage and hour violation,,Commission,20210630,5000,"Prime Comms Retail, LLC",Illinois Department of Labor
wage and hour violation,,Illinois Wage Payment and Collection Act,20140403,17726,WHITE WAY SIGN & MAINTENANCE CO.,Illinois Department of Labor
wage and hour violation,,Agriculture,20190214,5921,"5J1A, LLC dba J & J AG Management",California Labor Commissioner's Office
wage and hour violation,Fair Labor Standards Act,Migrant and Seasonal Agricultural Workers Protection Act penalties included,20160514,14837,"Star Labor, LLC",Labor Department Wage and Hour Division
WARN Act violation,,"While in bankruptcy, People's Choice Home Loan agreed to pay $1.7 million to a group of laid off workers who alleged they were not given proper notice under the Worker Adjustment and Retraining Notification Act.",20090206,1700000,"People's Choice Home Loan, Inc.",
WARN Act violation,,Worker Adjustment and Retraining Notification Act,20181106,1427574,Dowling College,
wage and hour violation,,Rochester Bituminous Products was cited for over $1.2 million in restitution and penalties for alleged failures to pay prevailing wages and furnish accurate payroll records.,20220119,1200000,"Rochester Bituminous Products, Inc.",Massachusetts Attorney General
WARN Act violation,,Worker Adjustment and Retraining Notification Act,20141217,4000000,Archway Cookies LLC,
benefit plan administrator violation,,Non Filer,20070601,10001,Academic Financial Services,Employee Benefits Security Administration
wage and hour violation,,minimum wage violation,20161214,7440,Hertz Transporting Inc,Washington State Department of Labor & Industries
wage and hour violation,,prevailing wage violation,20090519,26058,McCarty & Sons Electric Inc,Pennsylvania Department of Labor & Industry
wage and hour violation,,minimum wage violation,20141125,3140000,NCBI Investment Inc. and HC Global Inc.,California Labor Commissioner's Office
wage and hour violation,,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",20201215,18471,"Alta Devices, Inc.",California Labor Commissioner's Office
WARN Act violation,,"Scribe Opco agreed to pay $350,000 to settle allegations it violated the WARN Act by failing to provide required notice before laying off a group of workers at the start of the COVID-19 epidemic.",20230317,350000,Scribe Opco Inc. aka Koozie Group,
wage and hour violation,,overtime violation,20140416,7013,WRC Refrigeration Engineering Contractors,Washington State Department of Labor & Industries
