bill_id,official_title,short_title,policy_area,subjects,category_g4,bill_type_g4,reason_g4,category_4o,bill_type_4o,reason_4o,category_sonnet,bill_type_sonnet,reason_sonnet
hr5165-114,"To amend the Family and Medical Leave Act of 1993 to provide a partial exemption to veterans from the eligibility requirements, and for other purposes.",Medical Leave for Disabled Veterans Act,Labor and Employment,"Disability and paralysis|Employee leave|Hospital care|Veterans' education, employment, rehabilitation|Veterans' medical care",1.0,enforcement,"The bill amends the Family and Medical Leave Act (FMLA) to expand eligibility for medical leave for disabled veterans, thereby increasing the legal obligations of private employers regarding protected leave.",,,"The bill modifies FMLA eligibility specifically for veterans, focusing on their medical care and service-connected disabilities, without addressing private employer wage or benefit obligations.",,,"This bill modifies FMLA eligibility requirements for disabled veterans but does not address employer violations of wage, hour, or benefit obligations; it adjusts leave entitlements rather than regulating employer misconduct related to retaliation or benefit plan mismanagement."
s1617-108,A bill to amend the employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to provide comprehensive pension protection for women.,Women's Pension Protection Act of 2003,Labor and Employment,Administrative procedure|Annuities|Collective bargaining|Defined contribution plans|Divorce|Income tax|Interest|Married people|Railroad retirement plans|Separation (Law)|Survivors' benefits|Tax-deferred compensation plans|Widowers|Widows|Women|Women's retirement,1.0,enforcement,"The bill amends ERISA to expand requirements for spousal consent and survivor annuities in defined contribution plans, thereby strengthening the benefit obligations of private employers.",1,enforcement,"The bill amends ERISA to enhance pension protections, directly affecting private employer obligations regarding retirement benefit management.",1,enforcement,"Strengthens ERISA pension plan protections by expanding spousal consent requirements for distributions, mandating joint and survivor annuity options, and establishing rules for division of pension benefits upon divorce—directly regulating private employer retirement benefit obligations."
hr2292-111,"To amend the Employee Retirement Income Security Act of 1974, the Public Health Service Act, and the Internal Revenue Code of 1986 to require coverage of preventive care for children.",Healthy Kids for Healthy Futures Act of 2009,Health,Child health|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Health promotion and preventive care|Income tax deductions,1.0,enforcement,"The bill amends ERISA to mandate that group health plans provide specific preventive care coverage for children without cost-sharing, thereby expanding the benefit obligations of non-governmental employers.",,,"The bill mandates preventive care coverage for children under group health plans, which relates to health insurance coverage rather than private employer wage or benefit obligations.",,,"This bill mandates health insurance coverage requirements for preventive care for children, which relates to health insurance policy rather than private employer wage, hour, or benefit plan mismanagement violations covered by ERISA fiduciary duty enforcement."
hr2083-114,"To amend title XVIII of the Social Security Act to provide for patient protection by establishing safe nurse staffing levels at certain Medicare providers, and for other purposes.",Registered Nurse Safe Staffing Act of 2015,Health,Employment discrimination and employee rights|Health care quality|Health information and medical records|Health personnel|Hospital care|Medicare|Nursing,1.0,enforcement,"The bill establishes whistleblower protections against retaliation for employees of private Medicare-participating hospitals, which aligns with the category's focus on protecting employees from retaliation for reporting workplace violations.",,,"The bill focuses on nurse staffing levels at Medicare providers, which involves healthcare quality and patient safety, not private employer wage or benefit obligations.",,,"This bill regulates nurse staffing ratios at Medicare-participating hospitals and includes whistleblower protections, but it addresses healthcare quality and patient safety standards rather than private employer wage, hour, or benefit obligations covered by FLSA, ERISA, FMLA, or WARN Act."
hr4349-109,To require Medicare providers to disclose publicly staffing and performance in order to promote improved consumer information and choice.,Patient Safety Act of 2005,Health,Accreditation (Medical care)|Ambulatory care|Case mix (Medical care)|Clinics|Congressional reporting requirements|Consumer complaints|Consumer education|Disciplining of employees|Discrimination in employment|Dismissal of employees|Drug utilization|Electronic government information|Fines (Penalties)|Government paperwork|Government publicity|Hospital care|Hospital personnel|Hours of labor|Internet|Kidney diseases|Licenses|Medicaid|Medical records|Medical statistics|Medicare|Mortality|Nurses|Occupational health and safety|Paramedical personnel|Psychiatric hospitals|Quality of care|Rural health|Surgery|Ulcers|Urology|Web sites|Whistle blowing,1.0,enforcement,"The bill prohibits adverse employment actions (retaliation) by Medicare providers against employees who report dangerous conditions, which aligns with protected whistleblower disclosures under private-sector employment standards.",,,"The bill focuses on Medicare provider requirements and public disclosure of staffing and performance data, not on private employer wage or benefit obligations.",,,"This bill mandates public disclosure of staffing and performance data by Medicare providers and protects whistleblowers, but it regulates healthcare provider transparency and patient safety rather than addressing private employer wage, hour, or benefit obligations such as unpaid wages, overtime violations, or pension mismanagement."
s1623-113,A bill to amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector.,Working Families Flexibility Act of 2013,Labor and Employment,Administrative remedies|Civil actions and liability|Congressional oversight|Department of Labor|Employee leave|Employment discrimination and employee rights|Government studies and investigations|Labor standards|Labor-management relations|Wages and earnings,1.0,enforcement,"The bill amends the Fair Labor Standards Act (FLSA) to regulate how private employers provide overtime compensation via compensatory time, including establishing liability for violations.",1,enforcement,"Amends the FLSA to regulate private employer practices regarding compensatory time off, directly affecting wage and hour obligations.",1,enforcement,"Amends the FLSA to regulate how private employers may provide compensatory time in lieu of overtime pay, directly affecting employer wage and hour obligations under federal labor standards."
hr1691-107,To amend the Service Contract Act of 1965 to provide for the responsibility in certain cases of a parent corporation of a Federal contractor to provide health care benefits to retired employees of the contractor if the contractor fails to provide such benefits.,Service Contract Health Security Act,Government Operations and Politics,Collective bargaining agreements|Government contractors|Government service contracts|Retiree health benefits|Subsidiary corporations,1.0,enforcement,The bill strengthens the enforcement of retiree health benefit obligations by making parent corporations liable when a federal contractor fails to provide required health care benefits to retired employees.,,,"The bill addresses health care benefits for retired employees of government contractors, focusing on obligations of parent corporations, not private employer wage or benefit obligations under general labor laws.",1,enforcement,"The bill strengthens employer obligations under the Service Contract Act by making parent corporations liable for retiree health benefits when contractors fail to provide them, directly regulating private employer benefit obligations."
hr6409-112,To streamline the administration of whistleblower protections for private sector employees.,Private Sector Whistleblower Protection Streamlining Act of 2012,Labor and Employment,"Administrative remedies|Alternative dispute resolution, mediation, arbitration|Civil actions and liability|Congressional oversight|Department of Labor|Employment discrimination and employee rights|Evidence and witnesses|Executive agency funding and structure|Government studies and investigations|Judicial review and appeals|Right of privacy|Worker safety and health",1.0,enforcement,"The bill strengthens whistleblower protections and streamlines legal remedies for private sector employees who face retaliation for reporting violations of federal law, which aligns with the category's focus on retaliation against employees for protected disclosures.",1,enforcement,"The bill strengthens whistleblower protections for private sector employees, addressing employer retaliation for reporting violations, which relates to enforcement of employee rights under whistleblower statutes.",1,enforcement,"The bill strengthens protections against employer retaliation for whistleblowing activities, including reporting wage violations and unsafe working conditions, which directly relates to private employer obligations under FLSA, OSHA, and other labor statutes covered in the wage and hour category."
hr1499-108,To require health insurance coverage for certain reconstructive surgery.,Reconstructive Surgery Act of 2003,Health,Employee health benefits|Health insurance|Plastic surgery,1.0,enforcement,"The bill expands the mandatory coverage requirements for group health plans and insurance issuers, thereby increasing the benefit obligations of non-governmental employers.",,,"The bill mandates health insurance coverage for reconstructive surgery, which pertains to health insurance policy requirements rather than private employer wage or benefit obligations.",,,"This bill mandates health insurance coverage requirements for reconstructive surgery but does not address private employer wage, hour, or benefit plan mismanagement obligations under FLSA, WARN, ERISA, or FMLA."
hr6097-112,To exempt employers from any excise tax and certain suits and penalties in the case of a failure of a group health plan to provide coverage to which an employer objects on the basis of religious belief or moral conviction.,Religious Freedom Tax Repeal Act of 2012,Health,Civil actions and liability|Comprehensive health care|Employee benefits and pensions|First Amendment rights|Health care costs and insurance|Health care coverage and access|Health promotion and preventive care|Religion|Sales and excise taxes|Women's health,1.0,enforcement,"The bill amends ERISA and the Internal Revenue Code to exempt private employers from penalties and enforcement actions for failing to provide certain health benefits, directly affecting the stringency of employer benefit obligations.",,,"The bill exempts employers from penalties related to health plan coverage based on religious beliefs, which does not directly address private employer wage, hour, or benefit obligations as defined.",1,enforcement,"The bill weakens enforcement of employer obligations under ERISA and related health benefit laws by exempting employers from penalties for failing to provide required health coverage based on religious or moral objections, directly affecting private employer benefit obligations."
hr4219-115,To amend the Employee Retirement Income Security Act of 1974 to include a voluntary option for qualified flexible workplace arrangements.,Workflex in the 21st Century Act,Labor and Employment,Employee benefits and pensions|Employee leave|Employment discrimination and employee rights|Federal preemption|Labor-management relations|State and local government operations|Temporary and part-time employment,1.0,enforcement,The bill amends ERISA to regulate private employer benefit obligations by establishing requirements for paid leave and flexible work arrangements in exchange for state and local law exemptions.,1,enforcement,"The bill amends ERISA to establish a voluntary workflex option, affecting private employer obligations related to employee benefits and paid leave.",1,enforcement,"Amends ERISA to establish requirements for employer-provided paid leave and flexible work arrangements, directly regulating private employer benefit obligations and preempting state/local laws on these matters."
hr1656-115,To amend the Internal Revenue Code of 1986 to provide incentives for employers to establish student loan repayment programs and to make contributions to qualified tuition programs on behalf of children of employees.,HELP for Students and Parents Act,Taxation,"Bank accounts, deposits, capital|Employee benefits and pensions|Higher education|Income tax credits|Income tax exclusion|Student aid and college costs",1.0,tax_credit_introduction,Introduces a business tax credit and expands tax exclusions to incentivize private employers to provide student loan repayments and 529 contributions as employee benefits.,,,"The bill provides tax incentives for employer contributions to student loan repayments and tuition programs, which do not directly relate to private employer wage, hour, or benefit obligations.",,,"This bill introduces tax credits and exclusions for employer-provided student loan repayment assistance and 529 contributions, which are general employee benefits unrelated to wage, hour, overtime, pension plan mismanagement, or leave retaliation obligations."
s20-109,"A bill to expand access to preventive health care services that help reduce unintended pregnancy, reduce the number of abortions, and improve access to women's health care.",Prevention First Act,Health,AIDS (Disease)|Access to health care|Ambulatory care|Child development|Child health|Church and social problems|Civics education|Coinsurance|Community health services|Condoms|Congressional reporting requirements|Consumer discounts|Consumer education|Contraceptives|Discrimination in insurance|Discrimination in medical care|Drugs|Elementary and secondary education|Emergency medicine|Employee health benefits|Evaluation research (Social action programs)|Family planning and birth control|Federal aid to health facilities|Generic drugs|Government publicity|Grants-in-aid|Health education|Health insurance|Hospital care|Hospitals|Human immunodeficiency viruses|Immigrant health|Insurance companies|Language and languages|Marriage|Medicaid|Medical fees|Medically uninsured|Nonprofit organizations|Prescription pricing|Preventive medicine|Public service advertising|Rebates|Religion|School health programs|School-age child care|Service learning|Sex|Sex education|Sexual abstinence|Teenage pregnancy|Victims of crimes|Welfare eligibility|Women|Youth services,1.0,enforcement,"The bill amends ERISA to prohibit group health plans from excluding or restricting prescription contraceptive benefits, thereby expanding the benefit obligations of non-governmental employers.",,,"The bill primarily addresses access to preventive health care services and contraceptive coverage, which does not involve private employer wage or benefit obligations.",1,enforcement,"The bill amends ERISA to prohibit group health plans from excluding or restricting benefits for prescription contraceptive drugs and devices if they cover other prescription drugs, directly regulating private employer-sponsored health benefit obligations."
hr30-114,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,Save American Workers Act of 2015,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,enforcement,"The bill modifies the legal definition of a 'full-time employee' to change the threshold for the employer mandate to provide health care coverage, thereby altering the regulatory obligations of private employers regarding employee benefits.",,,"The bill modifies the definition of full-time employee for healthcare coverage mandates under the ACA, which does not directly relate to private employer wage, hour, or benefit obligations as defined by the Violation Tracker category.",,,"This bill modifies the ACA employer mandate's definition of full-time employee for health coverage purposes, which is a tax penalty provision under the ACA rather than a regulation of core wage, hour, or benefit obligations like FLSA overtime, ERISA pension duties, or FMLA leave protections."
s157-114,A bill to repeal the medical device tax and the employer and individual responsibility requirements of the Patient Protection and Affordable Care Act.,No Obamacare Mandate Act,Health,"Business records|Comprehensive health care|Employee benefits and pensions|Government information and archives|Health care costs and insurance|Health care coverage and access|Health technology, devices, supplies|Sales and excise taxes|Wages and earnings",1.0,enforcement,"The bill repeals the penalty on large employers who fail to offer health care coverage to eligible employees, thereby reducing the enforcement of private employer benefit obligations.",,,"The bill primarily addresses the repeal of health-related mandates and taxes under the Affordable Care Act, not private employer wage or benefit obligations.",,,"This bill repeals ACA provisions including the employer mandate penalty, but the employer mandate is a healthcare coverage requirement under the ACA, not a wage, hour, overtime, pension mismanagement, WARN Act, or FMLA retaliation issue covered by the Wage Hour & Benefits category."
s1396-108,"A bill to require equitable coverage of prescription contraceptive drugs and devices , and contraceptive services under health plans.",Equity in Prescription Insurance and Contraceptive Coverage Act of 2003,Health,Ambulatory care|Coinsurance|Contraceptives|Discrimination in insurance|Discrimination in medical care|Employee health benefits|Health insurance|Physicians|Rebates|Standards,1.0,enforcement,"The bill amends ERISA to prohibit group health plans from restricting or excluding contraceptive benefits, thereby expanding the benefit obligations of non-governmental employers.",,,"The bill addresses health insurance coverage for contraceptives, not private employer wage, hour, or benefit obligations.",1,enforcement,"The bill mandates that private employer-sponsored group health plans provide equitable coverage for contraceptive drugs and services, directly regulating employer-provided health benefit obligations under ERISA."
s857-113,"A bill to amend the Family and Medical Leave Act of 1993 to permit leave to care for a same-sex spouse, domestic partner, parent-in-law, adult child, sibling, grandchild, or grandparent who has a serious health condition.",Family and Medical Leave Inclusion Act,Labor and Employment,"Employee leave|Government employee pay, benefits, personnel management|Home and outpatient care|Marriage and family status|Sex, gender, sexual orientation discrimination",1.0,enforcement,"The bill expands the scope of protected family members under the Family and Medical Leave Act (FMLA), thereby increasing the legal obligations of private employers regarding employee leave.",1,enforcement,"Expands FMLA leave eligibility to include care for additional family members, directly affecting private employer obligations under the FMLA.",1,enforcement,"Expands FMLA leave protections to cover additional family relationships including same-sex spouses and domestic partners, directly strengthening private employer obligations under federal leave law."
hr7003-110,"To amend title 38, United States Code, to prohibit discrimination and acts of reprisal against persons who receive treatment for illnesses, injuries, and disabilities incurred in or aggravated by service in the uniformed services.",Wounded Veteran Job Security Act,Armed Forces and National Security,"Disability and health-based discrimination|Employee leave|Employment discrimination and employee rights|Health care costs and insurance|Veterans' education, employment, rehabilitation|Veterans' medical care",1.0,enforcement,"The bill prohibits employment discrimination and acts of reprisal against wounded veterans, which relates to the enforcement of employee rights and protections against retaliation by non-governmental employers.",,,"The bill addresses employment discrimination against veterans, which does not involve private employer wage or benefit obligations.",,,"This bill prohibits employment discrimination against veterans based on service-connected injuries or disabilities, which is an anti-discrimination measure rather than a regulation of private employer wage, hour, or benefit obligations covered by FLSA, WARN, ERISA, or FMLA."
hr2341-112,"To amend the Fair Labor Standards Act with regard to certain exemptions under that Act for direct care workers and to improve the systems for the collection and reporting of data relating to the direct care workforce, and for other purposes.",Direct Care Job Quality Improvement Act of 2011,Labor and Employment,"Allied health services|Census and government statistics|Employment and training programs|Government information and archives|Health personnel|Home and outpatient care|Labor standards|Long-term, rehabilitative, and terminal care|Medicaid|Wages and earnings",1.0,enforcement,"The bill amends the Fair Labor Standards Act (FLSA) to modify exemptions from minimum wage and maximum hour requirements for direct care workers, directly affecting private employer wage and hour obligations.",1,enforcement,"Amends the Fair Labor Standards Act to address exemptions affecting direct care workers, directly impacting private employer wage obligations.",1,enforcement,"The bill amends the Fair Labor Standards Act to modify exemptions from minimum wage and maximum hour requirements for direct care workers providing companionship services, directly affecting private employer wage and hour obligations under FLSA."
