bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,bill_category_qwen,reason_qwen,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet,category_opus,bill_type_opus,bill_category_opus,reason_opus
hr4064-113,To amend the Internal Revenue Code of 1986 to provide that the individual health insurance mandate not apply until the employer health insurance mandate is enforced without exceptions.,FAIR Act of 2014,Taxation,"Comprehensive health care|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Tax administration and collection, taxpayers",1.0,enforcement,healthcare,"The bill seeks to enforce the ACA employer mandate by delaying the individual mandate until the employer mandate is applied without exceptions, directly regulating private employer obligations to provide health coverage.",,,,"The bill delays the individual health insurance mandate until the employer mandate is enforced, but does not impose new obligations on private employers regarding wage, hour, or benefit compliance.",,,,"Bill addresses the timing of ACA individual and employer mandate enforcement but does not substantively regulate private employer wage, hour, or benefit obligations; it merely delays one mandate pending certification of another's enforcement.",1,enforcement,healthcare,"The bill directly ties the individual health insurance mandate to the enforcement of the ACA employer mandate (the requirement that private employers provide health care coverage to employees), effectively conditioning one obligation on the full enforcement of private employer health benefit obligations without exceptions."
hr5727-112,"To rebuild the American middle class by creating jobs, investing in our future, building opportunity for working families, and restoring balance to the tax code.",Rebuild America Act,Economics and Public Finance,"Administrative law and regulatory procedures|Advanced technology and technological innovations|Advisory bodies|Aging|Alternative and renewable resources|Army Corps of Engineers|Aviation and airports|Bankruptcy|Business investment and capital|Capital gains tax|Census and government statistics|Child care and development|Civil actions and liability|Community life and organization|Competitiveness, trade promotion, trade deficits|Congressional agencies|Congressional officers and employees|Congressional oversight|Contracts and agency|Corporate finance and management|Department of Labor|Department of the Treasury|Disability and paralysis|Domestic violence and child abuse|Economic development|Education programs funding|Educational facilities and institutions|Elementary and secondary education|Emergency planning and evacuation|Employee benefits and pensions|Employee hiring|Employee leave|Employment and training programs|Employment discrimination and employee rights|Employment taxes|Energy assistance for the poor and aged|Energy efficiency and conservation|Environmental health|Environmental regulatory procedures|Financial crises and stabilization|Financial services and investments|First responders and emergency personnel|Government Accountability Office (GAO)|Government employee pay, benefits, personnel management|Government information and archives|Government lending and loan guarantees|Government liability|Government studies and investigations|Government trust funds|Housing and community development funding|Human rights|Income tax credits|Income tax rates|Inflation and prices|Infrastructure development|International monetary system and foreign exchange|Labor-management relations|Law enforcement administration and funding|Law enforcement officers|Library of Congress|Manufacturing|Pension Benefit Guaranty Corporation|Poverty and welfare assistance|Preschool education|Public transit|Research and development",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to increase the minimum wage and revise salary thresholds for overtime pay, directly imposing new wage and hour obligations on private employers.",1,enforcement,wage_hour,"Amends the Fair Labor Standards Act to increase the minimum wage and revise salary thresholds for overtime pay, directly affecting private employer wage obligations.",1,enforcement,wage_hour,"The bill increases the minimum wage and revises overtime salary thresholds under the Fair Labor Standards Act, directly tightening private employer wage and hour obligations.",1,enforcement,wage_hour,"This omnibus bill directly regulates private employer wage and hour obligations by increasing the FLSA minimum wage, revising overtime salary thresholds, mandating paid sick leave (Healthy Families Act), and addressing independent contractor classification (Fair Playing Field Act); it also amends ERISA to expand defined benefit pension protections and strengthen PBGC governance, making it substantively related to private employer wage, hour, and benefit obligations."
hr1534-112,"To amend the Internal Revenue Code of 1986 to encourage retirement savings by modifying requirements with respect to employer-established IRAs, and for other purposes.",SAVE Act of 2011,Taxation,"Administrative law and regulatory procedures|Consumer affairs|Department of Labor|Department of the Treasury|Elementary and secondary education|Employee benefits and pensions|Financial literacy|Income tax credits|Income tax deductions|Income tax deferral|Sales and excise taxes|Small business|Teaching, teachers, curricula",1.0,enforcement,pension,"The bill amends ERISA to impose new disclosure obligations on private employers regarding lifetime income from pension plans and annuities, and modifies rules for employer-established retirement accounts, directly regulating private employer conduct related to retirement benefits.",1,enforcement,pension,"Amends ERISA to permit payroll deduction plans for IRAs and requires disclosures relating to lifetime income from pension plans, directly affecting private employer obligations as plan sponsors.",1,enforcement,pension,"Amends ERISA and the Internal Revenue Code to impose new mandatory obligations on private employers regarding retirement plan arrangements, including automatic enrollment requirements and disclosure obligations for pension plans.",1,enforcement,pension,"The bill amends ERISA and the Internal Revenue Code to establish automatic deferral IRAs, create multiple small employer retirement plans with automatic employee contributions, require lifetime income disclosures from pension plans, and impose new obligations on private employers as plan sponsors — directly regulating private employer retirement benefit conduct."
hr557-114,"To amend the Internal Revenue Code of 1986 to modify safe harbor requirements applicable to automatic contribution arrangements, and for other purposes.",Retirement Security Act of 2015,Taxation,"Administrative law and regulatory procedures|Department of the Treasury|Employee benefits and pensions|Financial services and investments|Income tax credits|Small business|Tax administration and collection, taxpayers",1.0,enforcement,pension,"The bill amends ERISA and the Internal Revenue Code to modify requirements for secure deferral arrangements, nondiscrimination rules, and employer matching contributions for private employer pension plans, directly regulating private employer obligations regarding retirement benefits.",1,enforcement,pension,"Amends ERISA to modify requirements for employer pension benefit plans, directly affecting private employer obligations as plan sponsors.",1,enforcement,pension,"Amends ERISA and the Internal Revenue Code to modify private employer obligations regarding pension benefit plans, including automatic contribution arrangements, matching contribution requirements, and multiple employer plan participation rules.",1,enforcement,pension,"The bill amends ERISA and the Internal Revenue Code to impose modified requirements on private employers regarding multiple employer pension plans, automatic contribution arrangements, nondiscrimination rules, and employer matching contributions, directly altering private employer obligations as retirement plan sponsors; it also includes a tax credit for small employers to offset increased matching contribution requirements, but the dominant focus is on new mandatory pension plan obligations."
s305-114,A bill to protect American job creation by striking the Federal mandate on employers to offer health insurance.,American Job Protection Act,Health,Business records|Comprehensive health care|Employee benefits and pensions|Government information and archives|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Wages and earnings,1.0,enforcement,healthcare,"The bill repeals the ACA employer mandate, which imposed obligations on large private employers to offer health insurance coverage to full-time employees, thereby directly altering private employer obligations regarding employer-sponsored group health benefit plans.",1,enforcement,healthcare,"Repeals the ACA employer mandate requiring large employers to offer health insurance, directly affecting private employer obligations under ERISA.",1,enforcement,healthcare,"Repeals the ACA employer mandate requiring large private employers to offer minimum essential health coverage to full-time employees, directly weakening private employer group health benefit obligations under federal law.",1,enforcement,healthcare,"Repeals the ACA employer mandate requiring large private employers to offer minimum essential health insurance coverage to full-time employees, directly weakening private employer obligations regarding employer-sponsored group health plans."
s150-112,"A bill to promote labor force participation of older Americans, with the goals of increasing retirement security, reducing the projected shortage of experienced workers, maintaining future economic growth, and improving the Nation's fiscal outlook.",Health Care and Training for Older Workers Act,Health,Aging|Disability assistance|Employment and training programs|Health care costs and insurance|Health care coverage and access|Performance measurement,1.0,enforcement,healthcare,"The bill amends ERISA to extend COBRA continuation coverage obligations for older workers, directly imposing new requirements on private employers as sponsors of group health benefit plans.",1,enforcement,healthcare,"Amends ERISA to extend COBRA continuation coverage for certain older workers, imposing a new coverage obligation on private employers as plan sponsors.",1,enforcement,healthcare,"Extends COBRA continuation coverage obligations for older workers, directly strengthening private employer responsibilities under ERISA regarding employer-sponsored group health benefit plans.",1,enforcement,healthcare,"Amends ERISA to extend COBRA continuation coverage obligations for certain older workers, directly imposing new health benefit continuation requirements on private employers as group health plan sponsors."
hr4254-114,"To prohibit employers from requiring grocery store employees to enter into covenants not to compete, and for other purposes.",Freedom for Workers to Seek Opportunity Act,Labor and Employment,Civil actions and liability|Contracts and agency|Employee hiring|Employment discrimination and employee rights|Food industry and services|Labor-management relations|Retail and wholesale trades,1.0,enforcement,wage_hour,"The bill prohibits private grocery store employers from using non-compete agreements, which are mechanisms that suppress worker wages and bargaining power, and establishes enforcement mechanisms similar to the FLSA.",1,enforcement,wage_hour,"Prohibits non-compete agreements for grocery store employees, directly regulating private employer wage conduct by enhancing employee mobility and bargaining power.",1,enforcement,wage_hour,"Prohibits private employers from imposing non-compete agreements on grocery store employees, directly regulating employer conduct that suppresses worker wages and mobility under wage and hour enforcement authority.",1,enforcement,wage_hour,"The bill prohibits private employers from imposing non-compete covenants on grocery store employees, requires continuation of seniority and benefits upon acquisition, and enforces violations through FLSA mechanisms — directly regulating private employer wage and benefit conduct."
s1651-115,A bill to provide for temporary financing of short-time compensation programs.,Layoff Prevention Act of 2017,Labor and Employment,Intergovernmental relations|State and local government operations|Unemployment,1.0,enforcement,wage_hour,"The bill regulates private employer conduct regarding wage payments and work hours by establishing a framework for short-time compensation programs, which directly impacts employer obligations to pay wages and avoid layoffs.",,,,"The bill provides temporary financing for state short-time compensation programs, which are voluntary and do not impose new wage or benefit obligations on private employers.",,,,"Bill establishes a state-administered unemployment compensation program (short-time compensation) as an alternative to layoffs; it does not regulate private employer wage, hour, or benefit obligations but rather creates a voluntary government benefit program funded through unemployment insurance systems.",1,enforcement,wage_hour,"The bill directly regulates private employer conduct by creating a short-time compensation framework where employers reduce employee hours instead of conducting layoffs, requiring employers to pay their states one-half of the short-time compensation paid, thereby imposing obligations on private employers related to wage and hour arrangements as an alternative to WARN Act-adjacent layoff situations."
s2301-115,A bill to strengthen parity in mental health and substance use disorder benefits.,Behavioral Health Coverage Transparency Act of 2018,Health,"Accounting and auditing|Administrative law and regulatory procedures|Congressional oversight|Consumer affairs|Department of Health and Human Services|Department of Labor|Department of the Treasury|Drug, alcohol, tobacco use|Employee benefits and pensions|Executive agency funding and structure|Government information and archives|Health care costs and insurance|Health care coverage and access|Health care quality|Health information and medical records|Health programs administration and funding|Mental health",1.0,enforcement,healthcare,Amends ERISA to impose new disclosure and audit obligations on private employers as sponsors of group health plans to ensure compliance with mental health parity laws.,1,enforcement,healthcare,"The bill amends ERISA to require employer-sponsored group health plans to disclose compliance analyses and undergo audits, imposing new obligations on private employers as plan sponsors regarding mental health parity.",1,enforcement,healthcare,"Strengthens enforcement of mental health parity requirements under ERISA and related statutes by mandating disclosure of compliance analyses and establishing audit mechanisms for employer-sponsored group health plans, thereby tightening private employer obligations as plan sponsors.",1,enforcement,healthcare,"The bill amends ERISA to impose new disclosure and compliance obligations on group health plans — including employer-sponsored plans — requiring annual disclosure of mental health parity analyses and subjecting them to annual audits, thereby strengthening private employer obligations as plan sponsors under ERISA."
hr2942-115,"To permit employees to request changes to their work schedules without fear of retaliation and to ensure that employers consider these requests, and to require employers to provide more predictable and stable schedules for employees in certain occupations with evidence of unpredictable and unstable scheduling practices that negatively affect employees, and for other purposes.",Schedules That Work Act,Labor and Employment,Civil actions and liability|Employee leave|Employment and training programs|Employment discrimination and employee rights|Food industry and services|Labor standards|Labor-management relations|Retail and wholesale trades|Wages and earnings|Worker safety and health,1.0,enforcement,wage_hour,"The bill imposes new obligations on private employers regarding work schedule predictability, advance notice, and reporting time pay, and prohibits retaliation for requesting schedule changes, directly regulating wage and hour conduct.",1,enforcement,wage_hour,"The bill enforces new requirements on private employers to provide predictable work schedules and prohibits retaliation against employees requesting schedule changes, directly regulating employer wage and hour obligations.",1,enforcement,wage_hour,"Imposes new obligations on private employers regarding work schedule predictability, reporting time pay, split shift pay, and advance notice requirements for retail, food service, and cleaning employees, directly regulating employer wage and hour practices under labor standards law.",1,enforcement,wage_hour,"The bill directly regulates private employer scheduling practices, requires reporting time and split shift pay, mandates advance notice of work schedules, and prohibits retaliation against employees who request schedule changes, all of which impose new wage, hour, and working condition obligations on private employers."
s1651-113,A bill to amend the Internal Revenue Code of 1986 to allow manufacturing businesses to establish tax-free manufacturing reinvestment accounts to assist them in providing for new equipment and facilities and workforce training.,Manufacturing Reinvestment Account Act of 2013,Taxation,Business investment and capital|Income tax deductions|Income tax exclusion|Manufacturing,1.0,tax_credit_introduction,wage_hour,"The bill introduces a tax deduction (functioning as a tax credit/incentive) for private manufacturing employers to fund employee job training and workforce development, which qualifies under the exception for credits specifically tied to employer-provided job training.",,,,"The bill provides tax benefits for manufacturing reinvestment accounts, focusing on equipment, facilities, and workforce training, but does not directly regulate or enforce private employer wage, hour, or benefit obligations.",1,tax_credit_introduction,wage_hour,"Introduces a tax-advantaged account allowing manufacturers to make tax-deductible contributions for workforce training and job development expenses, incentivizing private employers to invest in employee training programs.",,,,"This bill creates tax-exempt manufacturing reinvestment accounts with deductions for equipment, facilities, and workforce training expenses; it is a general business investment tax incentive rather than a regulation of private employer wage, hour, or benefit obligations."
s2617-113,A bill to repeal the wage rate requirements commonly known as the Davis-Bacon Act.,Davis-Bacon Repeal Act,Labor and Employment,"Building construction|Government buildings, facilities, and property|Labor standards|Public contracts and procurement|Wages and earnings",1.0,enforcement,wage_hour,"The bill repeals the Davis-Bacon Act, which imposes prevailing wage obligations on private contractors working on federally funded construction projects, thereby directly altering private employer wage compliance requirements.",1,enforcement,wage_hour,"Repeals the Davis-Bacon Act, eliminating prevailing wage requirements for federally-financed construction contracts, directly affecting private employer wage obligations.",1,enforcement,wage_hour,"Repeals the Davis-Bacon Act prevailing wage requirements for private contractors on federal construction projects, directly weakening private employer wage obligations under federal procurement law.",1,enforcement,wage_hour,"Repeals the Davis-Bacon Act's prevailing wage requirements for private contractors working on federally-financed construction projects, directly weakening wage obligations imposed on private employers under federal procurement contracts."
hr2654-114,"To eliminate discrimination and promote women's health and economic security by ensuring reasonable workplace accommodations for workers whose ability to perform the functions of a job are limited by pregnancy, childbirth, or a related medical condition.",Pregnant Workers Fairness Act,Labor and Employment,"Administrative law and regulatory procedures|Child care and development|Civil actions and liability|Employee hiring|Employee leave|Employment discrimination and employee rights|Equal Employment Opportunity Commission (EEOC)|Government employee pay, benefits, personnel management|Government liability|Sex and reproductive health|Sex, gender, sexual orientation discrimination|State and local government operations|Women's employment|Women's health",1.0,enforcement,wage_hour,"The bill imposes direct obligations on private employers to provide reasonable accommodations for pregnancy-related limitations, regulating employer conduct regarding leave and employment conditions similar to FMLA protections.",1,enforcement,wage_hour,"The bill mandates reasonable workplace accommodations for pregnant workers, directly affecting private employer obligations related to employment conditions and leave, aligning with wage and hour issues.",1,enforcement,wage_hour,"Imposes new mandatory accommodation obligations on private employers for pregnancy-related limitations and prohibits retaliation, directly regulating employer conduct under employment discrimination and leave-related statutes.",1,enforcement,wage_hour,"The bill imposes new obligations on private employers to provide reasonable workplace accommodations for pregnant workers, prohibits requiring employees to take leave when other accommodations exist, and bars adverse employment actions against employees requesting accommodations — directly regulating private employer conduct regarding working conditions, leave, and employment terms related to pregnancy."
s2122-115,A bill to amend the Fair Labor Standards Act of 1938 regarding reasonable break time for nursing mothers.,Supporting Working Moms Act of 2017,Labor and Employment,Labor standards|Wages and earnings|Women's employment|Women's health|Worker safety and health,1.0,enforcement,wage_hour,"Amends the Fair Labor Standards Act to extend mandatory break time requirements for nursing mothers to exempt employees, directly imposing new obligations on private employers regarding worker benefits and hours.",1,enforcement,wage_hour,"Extends FLSA break time requirements for nursing mothers to additional categories of employees, directly affecting private employer obligations under wage and hour laws.",1,enforcement,wage_hour,"Expands FLSA break time requirements for nursing mothers to cover exempt employees, directly strengthening private employer wage and hour obligations.",1,enforcement,wage_hour,"The bill amends the FLSA to extend the requirement for private employers to provide reasonable break time for nursing mothers to additional categories of exempt employees, directly expanding employer wage and hour obligations."
s1908-112,"A bill to amend the Internal Revenue Code of 1986 to clarify the employment tax treatment and reporting of wages paid by professional employer organization, and for other purposes.",,Taxation,"Accounting and auditing|Contracts and agency|Employment taxes|Licensing and registrations|Social security and elderly assistance|Tax administration and collection, taxpayers|User charges and fees|Wages and earnings",1.0,enforcement,wage_hour,"The bill clarifies the employment tax treatment and reporting obligations for wages paid by professional employer organizations (PEOs), directly regulating private employer conduct regarding wage payment and payroll tax compliance.",,,,"The bill addresses the tax treatment and reporting of wages by professional employer organizations, focusing on tax administration rather than private employer wage or benefit obligations.",,,,"Bill addresses tax administration and employment tax collection procedures for professional employer organizations, not private employer wage, hour, or benefit obligations under FLSA, ERISA, FMLA, or WARN Act.",,,,"This bill clarifies employment tax treatment and reporting responsibilities for professional employer organizations (PEOs) under the Internal Revenue Code; it addresses tax administration and collection mechanics rather than imposing new wage, hour, or benefit obligations on private employers."
hr1619-114,"To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",Paycheck Fairness Act,Labor and Employment,"Administrative law and regulatory procedures|Civil actions and liability|Employment discrimination and employee rights|Equal Employment Opportunity Commission (EEOC)|Government information and archives|Government studies and investigations|Public contracts and procurement|Racial and ethnic relations|Sex, gender, sexual orientation discrimination|Small business|Wages and earnings|Women's employment",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act and Equal Pay Act to strengthen prohibitions against sex-based wage discrimination, revise employer defenses, and enhance remedies for private employers failing to pay equal wages.",1,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to strengthen enforcement against sex-based wage discrimination, directly affecting private employer wage obligations.",1,enforcement,wage_hour,"Strengthens enforcement of equal pay requirements under the Fair Labor Standards Act by expanding remedies for sex-based wage discrimination, limiting employer defenses, prohibiting wage secrecy policies, and authorizing class actions and punitive damages against private employers.",1,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act's Equal Pay Act to strengthen remedies and enforcement against sex-based wage discrimination by private employers, including expanded damages, class action provisions, anti-retaliation protections for wage discussions, and enhanced EEOC enforcement authority — all directly tightening private employer wage obligations."
