bill_id,official_title,short_title,policy_area,subjects,category_step1,reason_step1,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet,category_opus,bill_type_opus,bill_category_opus,reason_opus
hr1397-113,"To create jobs and reinvest in communities through the rehabilitation of abandoned and foreclosed residential and commercial properties, and for other purposes.",Project Rebuild Act of 2013,Housing and Community Development,Appropriations|Buy American requirements|Employee hiring|Fraud offenses and financial crimes|Housing and community development funding|Housing finance and home ownership|Housing supply and affordability|Labor standards|Low- and moderate-income housing|Property rights|Public contracts and procurement|Residential rehabilitation and home repair|Rural conditions and development|Urban and suburban affairs and development|Wages and earnings,1.0,"The bill mandates that contractors and subcontractors on federally-assisted projects pay laborers and mechanics wages at locally prevailing rates under the Davis-Bacon Act, directly regulating private employer wage obligations.",1,enforcement,wage_hour,"The bill enforces Davis-Bacon Act requirements for federally-assisted projects, directly regulating private employer wage obligations by mandating payment of locally prevailing wages.",,,,"Although the bill includes Davis-Bacon prevailing wage requirements, its primary subject is federal housing and community development grants for property rehabilitation; private employer wage obligations are incidental conditions of receiving federal assistance, not the bill's central purpose.",1,enforcement,wage_hour,"The bill requires all laborers and mechanics employed by contractors and subcontractors on federally-assisted projects to be paid prevailing wages under the Davis-Bacon Act, directly imposing wage obligations on private employers performing federal contract work."
hr515-113,To amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.,Parental Bereavement Act of 2013,Labor and Employment,"Employee leave|Family relationships|Government employee pay, benefits, personnel management|Teaching, teachers, curricula",1.0,"The bill amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating employer obligations regarding protected family leave.",1,enforcement,wage_hour,"The bill amends the FMLA to expand leave entitlements for private sector employees, directly regulating employer obligations regarding protected family leave.",1,enforcement,wage_hour,"The bill amends the FMLA to create a new protected leave category for bereavement, directly expanding private employer obligations to provide unpaid leave to eligible employees.",1,enforcement,wage_hour,"The bill amends the FMLA to create a new mandatory leave entitlement for private employers, requiring up to 12 weeks of leave for the death of a son or daughter, directly expanding private employer leave obligations."
s1076-115,"A bill to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to modify certain provisions relating to multiemployer pensions, and for other purposes.",Keep Our Pension Promises Act,Labor and Employment,"Art, artists, authorship|Bankruptcy|Employee benefits and pensions|Income tax deferral|Income tax exclusion|Pension Benefit Guaranty Corporation",1.0,"The bill amends ERISA to restore anti-cutback provisions for multiemployer pension plans and assigns priority to pension obligations in bankruptcy, directly regulating private employer obligations regarding employee retirement benefits.",1,enforcement,pension,"The bill amends ERISA to restore anti-cutback provisions for multiemployer pension plans and assigns priority to pension obligations in bankruptcy, directly regulating private employer obligations regarding employee retirement benefits.",1,enforcement,pension,"The bill strengthens ERISA protections for multiemployer pension plans by repealing benefit reduction provisions, modifying partition procedures, and elevating pension obligations in bankruptcy priority, all of which directly impose or restore mandatory obligations on private employers as plan sponsors.",1,enforcement,pension,"The bill amends ERISA to restore anti-cutback provisions prohibiting reductions in multiemployer pension benefits, modifies partition procedures for financially-troubled plans, and assigns first claim priority to pension obligations in bankruptcy, directly strengthening private employer obligations regarding employee retirement benefits."
hr4764-111,To amend the Internal Revenue Code of 1986 to make employers of spouses of military personnel eligible for the work opportunity credit.,Military Spouses Employment Act,Taxation,Income tax credits|Marriage and family status|Military personnel and dependents|Wages and earnings,1.0,"The bill introduces a tax incentive for private employers to hire military spouses, which aligns with the category's inclusion of tax credits that encourage or discourage employer conduct related to wages and employment.",,,,"The bill offers a tax credit for hiring military spouses, which incentivizes hiring decisions but does not directly impose wage, hour, or benefit obligations on private employers.",,,,"This bill offers a general hiring tax credit for employing military spouses, which incentivizes hiring decisions from specific demographic groups rather than regulating employer wage, hour, or benefit compliance obligations; such hiring credits are explicitly excluded under the detailed classification rules.",,,,"This bill expands the work opportunity tax credit to include military spouses as a targeted group, which is a tax credit for hiring workers from a specific group — this incentivizes hiring decisions, not wage or benefit compliance, and is explicitly excluded under the detailed rules."
s4012-111,A bill to improve the employability of older Americans.,Incentives for Older Workers Act,Labor and Employment,Aging|Employee benefits and pensions|Employment and training programs|Employment discrimination and employee rights|Social security and elderly assistance|Wages and earnings,1.0,"The bill amends ERISA to prohibit private employers from reducing pension benefits for employees in phased retirement, directly regulating employer obligations regarding employee retirement benefits.",1,enforcement,pension,"The bill amends ERISA to prohibit reductions in pension benefits for employees in phased retirement, directly imposing obligations on private employers regarding retirement benefits.",1,enforcement,pension,"The bill amends ERISA to prohibit private employers from reducing defined benefit pension plan benefits for employees entering phased retirement and modifies normal retirement age definitions, directly imposing new mandatory obligations on private employers as pension plan sponsors.",1,enforcement,pension,"The bill amends ERISA to prohibit reductions in defined benefit pension plan benefits for employees in phased retirement and modifies normal retirement age definitions, directly imposing new obligations on private employers as pension plan sponsors."
hr4064-113,To amend the Internal Revenue Code of 1986 to provide that the individual health insurance mandate not apply until the employer health insurance mandate is enforced without exceptions.,FAIR Act of 2014,Taxation,"Comprehensive health care|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Tax administration and collection, taxpayers",1.0,"The bill addresses the enforcement of the employer mandate to provide health care coverage, which directly relates to private employer obligations regarding employer-sponsored group health benefit plans.",1,enforcement,healthcare,"The bill conditions the individual mandate on the enforcement of the employer health insurance mandate, directly relating to private employer obligations under employer-sponsored group health benefit plans.",,,,"The bill's primary subject is delaying the individual mandate under the ACA until the employer mandate is enforced without exceptions; it does not impose, strengthen, or weaken substantive obligations on private employers regarding health benefits, but rather conditions one tax penalty on the enforcement status of another.",1,enforcement,healthcare,"The bill conditions the individual mandate on full enforcement of the employer mandate to provide health care coverage, directly addressing the stringency of enforcement of private employer obligations to offer group health benefits under the ACA."
hr682-112,To amend the Internal Revenue Code of 1986 to increase the contribution limits to dependent care flexible spending accounts and to provide for a carryover of unused dependent care benefits.,,Taxation,Adult day care|Child care and development|Employee benefits and pensions|Income tax deferral,1.0,"The bill modifies tax-advantaged employee benefit structures (dependent care FSAs) for private employers, directly affecting employer-sponsored welfare benefit plan obligations and incentives.",,,,"The bill primarily concerns tax benefits related to dependent care flexible spending accounts, which are general tax policy measures and do not impose new mandatory obligations on private employers regarding wage, hour, or benefit compliance.",,,,"This bill modifies tax treatment of dependent care flexible spending accounts (FSAs) by raising contribution limits and allowing carryovers, but does not impose new wage, hour, or benefit obligations on private employers; it is a general tax benefit for families using employer-offered FSAs, similar to excluded tax credits for dependent care or health savings accounts.",,,,"This bill modifies the tax treatment of dependent care flexible spending accounts by increasing contribution limits and allowing carryovers — these are optional tax-advantaged benefit features, not mandatory employer obligations. It falls under the disqualifying category of tax benefits unrelated to wage/hour obligations (dependent care credits/accounts)."
hr1-113,To amend the Internal Revenue Code of 1986 to provide for comprehensive tax reform.,Tax Reform Act of 2014,Taxation,"Accidents|Accounting and auditing|Administrative law and regulatory procedures|Adoption and foster care|Advisory bodies|Air quality|Alternative and renewable resources|Aviation and airports|Bank accounts, deposits, capital|Books and print media|Building construction|Business expenses|Business investment and capital|Capital gains tax|Caribbean area|Charitable contributions|Child care and development|Civil actions and liability|Coal|Competition and antitrust|Contracts and agency|Corporate finance and management|Department of the Treasury|Economic development|Electric power generation and transmission|Employee benefits and pensions|Employee hiring|Employment taxes|Endangered and threatened species|Energy efficiency and conservation|Environmental technology|Farmland|Foreign and international corporations|Foreign labor|Forests, forestry, trees|Gambling|General taxation matters|Government employee pay, benefits, personnel management|Government studies and investigations|Government trust funds|Great Plains|Hazardous wastes and toxic substances|Health care costs and insurance|Health technology, devices, supplies|Higher education|Housing finance and home ownership|Hybrid, electric, and advanced technology vehicles|Income tax credits|Income tax deductions|Income tax exclusion|Income tax rates|Indian social and development programs|Industrial facilities|Inflation and prices|Insurance industry and regulation|Intellectual property|Interest, dividends, interest rates|Internal Revenue Service (IRS)|Judges|Land transfers|Land use and conservation|Lawyers and legal services|Life, casualty, property insurance|Low- and moderate-income housing|Marine and inland water transportation|Marketing and advertising",1.0,"The bill revises tax treatment for employer-provided retirement plans and SIMPLE 401(k)s, directly affecting private employer obligations regarding employee pension and retirement benefits.",1,enforcement,pension,"The bill revises tax treatment for employer-provided retirement plans and SIMPLE 401(k)s, directly affecting private employer obligations regarding employee pension and retirement benefits.",,,,"This comprehensive tax reform bill modifies the tax treatment of retirement plans and other employer-provided benefits, but does not impose new mandatory obligations on private employers as plan sponsors; it primarily adjusts tax incentives and optional plan features rather than creating enforceable wage, hour, or benefit compliance requirements.",API error,API error,API error,API error
hr176-115,"To amend the Internal Revenue Code of 1986 to clarify that wages paid to unauthorized aliens may not be deducted from gross income, and for other purposes.",New IDEA Act,Taxation,"Border security and unlawful immigration|Employee benefits and pensions|Evidence and witnesses|Foreign labor|Government information and archives|Income tax deductions|Tax administration and collection, taxpayers|Wages and earnings",1.0,"The bill regulates private employer obligations regarding wages and benefits by denying tax deductions for compensation paid to unauthorized aliens and mandating E-Verify usage, directly impacting how employers manage wage payments and employment eligibility verification.",,,,"The bill primarily addresses tax policy and immigration enforcement, not private employer wage, hour, or benefit obligations. Denying tax deductions for wages paid to unauthorized aliens and mandating E-Verify usage are immigration and tax compliance measures, not direct regulations of employer wage or benefit obligations.",,,,"The bill's primary subject is immigration enforcement through tax policy and employment verification mandates, not the regulation of private employer wage, hour, or benefit obligations; the denial of a tax deduction for wages paid to unauthorized aliens is a tax penalty for immigration law violations, not a regulation of wage payment practices or benefit provision requirements.",,,,"This bill's primary purpose is immigration enforcement and tax administration — it denies a tax deduction for wages paid to unauthorized aliens and mandates E-Verify participation. It does not impose new wage, hour, or benefit obligations on private employers regarding their employees; rather, it uses the tax code and employment verification systems to enforce immigration law. The denial of a deduction is a tax penalty for hiring unauthorized workers, not a regulation of employer wage or benefit conduct."
s2410-115,A bill to amend the Internal Revenue Code of 1986 to permit high deductible health plans to provide chronic disease prevention services to plan enrollees prior to satisfying their plan deductible.,Chronic Disease Management Act of 2018,Taxation,,1.0,"The bill amends the Internal Revenue Code to modify the requirements for High Deductible Health Plans (HDHPs) and Health Savings Accounts (HSAs), directly regulating the structure and coverage obligations of employer-sponsored group health benefit plans.",,,,"The bill modifies tax rules for HSAs and HDHPs, which affects insurance plan design but does not impose new mandatory obligations on private employers as plan sponsors under ERISA.",,,,This bill modifies the tax treatment and permissible features of HSAs and HDHPs but does not impose new mandatory obligations on private employers as plan sponsors; it merely expands optional plan design flexibility regarding deductibles for chronic disease services.,,,,This bill modifies the tax treatment of high deductible health plans by allowing them to cover chronic disease services before the deductible is met without losing HSA eligibility; it changes optional plan features and tax qualification rules rather than imposing new mandatory obligations on private employers as plan sponsors.
s176-115,"A bill to amend the Surface Mining Control and Reclamation Act of 1977 to transfer certain funds to the Multiemployer Health Benefit Plan, and for other purposes.",HELP for Coal Miners Health Care Act of 2017,Labor and Employment,Administrative law and regulatory procedures|Coal|Congressional oversight|Employee benefits and pensions|Government studies and investigations|Health care costs and insurance|Mining,1.0,"The bill addresses employer obligations regarding multiemployer health benefit plans for coal miners by amending funding mechanisms and repealing premium payment requirements for private signatories to labor agreements, directly impacting private employer benefit liabilities.",,,,"The bill primarily addresses the funding of a government-managed health benefit plan for retired coal miners, not private employer obligations; it modifies fund transfers and repeals premium requirements, but does not impose new obligations on private employers.",,,,"This bill primarily addresses government financing of a multiemployer health benefit trust fund for retired coal miners through transfers from federal reclamation funds, not private employer wage or benefit obligations; the repeal of backstop premium requirements removes rather than imposes employer obligations, and the bill's central purpose is federal fund solvency, not regulation of private employer conduct.",1,enforcement,healthcare,"The bill directly modifies private employer obligations regarding multiemployer health benefit plans by repealing requirements for current and former signatories to UMWA labor agreements to pay unassigned beneficiaries premiums and backstop premiums, thereby altering private employer benefit liabilities under employer-sponsored retiree health plans."
hr5727-112,"To rebuild the American middle class by creating jobs, investing in our future, building opportunity for working families, and restoring balance to the tax code.",Rebuild America Act,Economics and Public Finance,"Administrative law and regulatory procedures|Advanced technology and technological innovations|Advisory bodies|Aging|Alternative and renewable resources|Army Corps of Engineers|Aviation and airports|Bankruptcy|Business investment and capital|Capital gains tax|Census and government statistics|Child care and development|Civil actions and liability|Community life and organization|Competitiveness, trade promotion, trade deficits|Congressional agencies|Congressional officers and employees|Congressional oversight|Contracts and agency|Corporate finance and management|Department of Labor|Department of the Treasury|Disability and paralysis|Domestic violence and child abuse|Economic development|Education programs funding|Educational facilities and institutions|Elementary and secondary education|Emergency planning and evacuation|Employee benefits and pensions|Employee hiring|Employee leave|Employment and training programs|Employment discrimination and employee rights|Employment taxes|Energy assistance for the poor and aged|Energy efficiency and conservation|Environmental health|Environmental regulatory procedures|Financial crises and stabilization|Financial services and investments|First responders and emergency personnel|Government Accountability Office (GAO)|Government employee pay, benefits, personnel management|Government information and archives|Government lending and loan guarantees|Government liability|Government studies and investigations|Government trust funds|Housing and community development funding|Human rights|Income tax credits|Income tax rates|Inflation and prices|Infrastructure development|International monetary system and foreign exchange|Labor-management relations|Law enforcement administration and funding|Law enforcement officers|Library of Congress|Manufacturing|Pension Benefit Guaranty Corporation|Poverty and welfare assistance|Preschool education|Public transit|Research and development",1.0,"The bill amends the Fair Labor Standards Act to increase the minimum wage and revise overtime pay thresholds, and mandates paid sick leave for private sector employees, directly regulating private employer wage and benefit obligations.",1,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to increase the minimum wage and revise overtime pay thresholds, and mandates paid sick leave for private sector employees, directly regulating private employer wage and benefit obligations.",1,enforcement,wage_hour,"The bill directly strengthens private employer wage and hour obligations by increasing the minimum wage, revising FLSA overtime salary thresholds, and mandating paid sick leave under the Healthy Families Act, all of which are core wage-hour enforcement measures.",1,enforcement,wage_hour,"The bill directly amends the Fair Labor Standards Act to increase the minimum wage and revise overtime pay thresholds, mandates paid sick leave through the Healthy Families Act, addresses independent contractor classification through the Fair Playing Field Act, and amends ERISA to expand defined benefit pension plan protections — all imposing direct obligations on private employers regarding wages, hours, and benefits."
hr1534-112,"To amend the Internal Revenue Code of 1986 to encourage retirement savings by modifying requirements with respect to employer-established IRAs, and for other purposes.",SAVE Act of 2011,Taxation,"Administrative law and regulatory procedures|Consumer affairs|Department of Labor|Department of the Treasury|Elementary and secondary education|Employee benefits and pensions|Financial literacy|Income tax credits|Income tax deductions|Income tax deferral|Sales and excise taxes|Small business|Teaching, teachers, curricula",1.0,"The bill amends ERISA and the Internal Revenue Code to modify requirements for employer-established retirement plans, including SIMPLE IRAs and automatic deferral provisions, which directly regulates private employer obligations regarding employee pension and retirement benefits.",1,enforcement,pension,"The bill amends ERISA and the Internal Revenue Code to modify requirements for employer-established retirement plans, directly regulating private employer obligations regarding employee pension and retirement benefits.",,,,"This bill primarily modifies optional plan features and tax treatment of employer-sponsored retirement arrangements (e.g., SIMPLE IRA rollover rules, contribution flexibility, tax credits for plan startup costs) without creating new mandatory employer conduct obligations; it does not impose minimum funding requirements, fiduciary standards, or other compulsory pension obligations on private employers.",1,enforcement,pension,"The bill amends both the Internal Revenue Code and ERISA to impose new obligations on private employers regarding retirement plans, including establishing automatic deferral IRAs, requiring multiple small employer retirement plans with automatic employee contributions, mandating lifetime income disclosures from pension plans, and permitting payroll deduction plans — these are direct mandatory obligations on private employers as plan sponsors under ERISA."
hr557-114,"To amend the Internal Revenue Code of 1986 to modify safe harbor requirements applicable to automatic contribution arrangements, and for other purposes.",Retirement Security Act of 2015,Taxation,"Administrative law and regulatory procedures|Department of the Treasury|Employee benefits and pensions|Financial services and investments|Income tax credits|Small business|Tax administration and collection, taxpayers",1.0,"The bill amends ERISA and the Internal Revenue Code to modify requirements for employer-sponsored pension benefit plans, including multiple employer plans and automatic contribution arrangements, which directly relates to private employer obligations regarding retirement benefits.",1,enforcement,pension,"The bill amends ERISA to modify requirements for employer-sponsored pension benefit plans, directly imposing obligations on private employers regarding retirement benefits.",1,enforcement,pension,"The bill modifies ERISA and IRC requirements governing employer-sponsored pension plans, including mandatory automatic escalation rules and secure deferral arrangement standards, thereby directly altering private employer retirement benefit obligations.",1,enforcement,pension,"The bill amends ERISA and the Internal Revenue Code to modify requirements for employer-sponsored pension benefit plans, including imposing new mandatory obligations on private employers regarding secure deferral arrangements (nondiscrimination requirements and employer matching contributions), and enabling multiple employer pension plans — these directly regulate private employer pension obligations."
s305-114,A bill to protect American job creation by striking the Federal mandate on employers to offer health insurance.,American Job Protection Act,Health,Business records|Comprehensive health care|Employee benefits and pensions|Government information and archives|Health care costs and insurance|Health care coverage and access|Sales and excise taxes|Wages and earnings,1.0,The bill directly addresses private employer obligations regarding employer-sponsored group health benefit plans by repealing the mandate and associated penalties for large employers to offer coverage.,1,enforcement,healthcare,"The bill repeals the ACA employer mandate, directly affecting private employer obligations to provide health insurance coverage to employees.",1,enforcement,healthcare,"Repeals the ACA employer mandate requiring large private employers to offer minimum essential health coverage to full-time employees, directly weakening private employer healthcare benefit obligations under federal law.",1,enforcement,healthcare,"The bill repeals the ACA employer mandate requiring large private employers to offer minimum essential health insurance coverage to full-time employees and eliminates associated penalties and reporting requirements, directly weakening private employer obligations regarding employer-sponsored group health plans."
